etngrp_src,etngrp_dst,n
Autochtoon,Autochtoon,3983140
Autochtoon,Marokkaans,410350
Autochtoon,Overig,2256430
Autochtoon,Surinaams,367810
Autochtoon,Turks,249240
Marokkaans,Autochtoon,405190
Marokkaans,Marokkaans,518860
Marokkaans,Overig,384660
Marokkaans,Surinaams,121430
Marokkaans,Turks,219930
Overig,Autochtoon,2263600
Overig,Marokkaans,385670
Overig,Overig,7619080
Overig,Surinaams,373750
Overig,Turks,234390
Surinaams,Autochtoon,366700
Surinaams,Marokkaans,121440
Surinaams,Overig,385520
Surinaams,Surinaams,218290
Surinaams,Turks,64040
Turks,Autochtoon,243050
Turks,Marokkaans,216500
Turks,Overig,231710
Turks,Surinaams,64270
Turks,Turks,177750
