etngrp_src,geslacht_src,etngrp_dst,geslacht_dst,n
Autochtoon,Man,Autochtoon,Man,999750
Autochtoon,Man,Autochtoon,Vrouw,986940
Autochtoon,Man,Marokkaans,Man,100060
Autochtoon,Man,Marokkaans,Vrouw,101220
Autochtoon,Man,Overig,Man,573560
Autochtoon,Man,Overig,Vrouw,557480
Autochtoon,Man,Surinaams,Man,89210
Autochtoon,Man,Surinaams,Vrouw,98070
Autochtoon,Man,Turks,Man,65780
Autochtoon,Man,Turks,Vrouw,58400
Autochtoon,Vrouw,Autochtoon,Man,992890
Autochtoon,Vrouw,Autochtoon,Vrouw,1003560
Autochtoon,Vrouw,Marokkaans,Man,104780
Autochtoon,Vrouw,Marokkaans,Vrouw,104290
Autochtoon,Vrouw,Overig,Man,557500
Autochtoon,Vrouw,Overig,Vrouw,567890
Autochtoon,Vrouw,Surinaams,Man,82690
Autochtoon,Vrouw,Surinaams,Vrouw,97840
Autochtoon,Vrouw,Turks,Man,64530
Autochtoon,Vrouw,Turks,Vrouw,60530
Marokkaans,Man,Autochtoon,Man,99440
Marokkaans,Man,Autochtoon,Vrouw,101770
Marokkaans,Man,Marokkaans,Man,128570
Marokkaans,Man,Marokkaans,Vrouw,125770
Marokkaans,Man,Overig,Man,93310
Marokkaans,Man,Overig,Vrouw,98680
Marokkaans,Man,Surinaams,Man,27550
Marokkaans,Man,Surinaams,Vrouw,35590
Marokkaans,Man,Turks,Man,55210
Marokkaans,Man,Turks,Vrouw,53300
Marokkaans,Vrouw,Autochtoon,Man,100830
Marokkaans,Vrouw,Autochtoon,Vrouw,103150
Marokkaans,Vrouw,Marokkaans,Man,126650
Marokkaans,Vrouw,Marokkaans,Vrouw,137870
Marokkaans,Vrouw,Overig,Man,96770
Marokkaans,Vrouw,Overig,Vrouw,95900
Marokkaans,Vrouw,Surinaams,Man,25870
Marokkaans,Vrouw,Surinaams,Vrouw,32420
Marokkaans,Vrouw,Turks,Man,55660
Marokkaans,Vrouw,Turks,Vrouw,55760
Overig,Man,Autochtoon,Man,572030
Overig,Man,Autochtoon,Vrouw,567590
Overig,Man,Marokkaans,Man,92550
Overig,Man,Marokkaans,Vrouw,95380
Overig,Man,Overig,Man,5674770
Overig,Man,Overig,Vrouw,753400
Overig,Man,Surinaams,Man,82790
Overig,Man,Surinaams,Vrouw,98710
Overig,Man,Turks,Man,61810
Overig,Man,Turks,Vrouw,62740
Overig,Vrouw,Autochtoon,Man,560160
Overig,Vrouw,Autochtoon,Vrouw,563820
Overig,Vrouw,Marokkaans,Man,101450
Overig,Vrouw,Marokkaans,Vrouw,96290
Overig,Vrouw,Overig,Man,755620
Overig,Vrouw,Overig,Vrouw,435290
Overig,Vrouw,Surinaams,Man,85920
Overig,Vrouw,Surinaams,Vrouw,106330
Overig,Vrouw,Turks,Man,56220
Overig,Vrouw,Turks,Vrouw,53620
Surinaams,Man,Autochtoon,Man,88880
Surinaams,Man,Autochtoon,Vrouw,83820
Surinaams,Man,Marokkaans,Man,27940
Surinaams,Man,Marokkaans,Vrouw,26190
Surinaams,Man,Overig,Man,88080
Surinaams,Man,Overig,Vrouw,88970
Surinaams,Man,Surinaams,Man,48610
Surinaams,Man,Surinaams,Vrouw,53030
Surinaams,Man,Turks,Man,15920
Surinaams,Man,Turks,Vrouw,14580
Surinaams,Vrouw,Autochtoon,Man,96830
Surinaams,Vrouw,Autochtoon,Vrouw,97170
Surinaams,Vrouw,Marokkaans,Man,34390
Surinaams,Vrouw,Marokkaans,Vrouw,32920
Surinaams,Vrouw,Overig,Man,100330
Surinaams,Vrouw,Overig,Vrouw,108140
Surinaams,Vrouw,Surinaams,Man,52760
Surinaams,Vrouw,Surinaams,Vrouw,63890
Surinaams,Vrouw,Turks,Man,16990
Surinaams,Vrouw,Turks,Vrouw,16550
Turks,Man,Autochtoon,Man,61740
Turks,Man,Autochtoon,Vrouw,63990
Turks,Man,Marokkaans,Man,53850
Turks,Man,Marokkaans,Vrouw,55050
Turks,Man,Overig,Man,62340
Turks,Man,Overig,Vrouw,56120
Turks,Man,Surinaams,Man,16390
Turks,Man,Surinaams,Vrouw,17310
Turks,Man,Turks,Man,43930
Turks,Man,Turks,Vrouw,47190
Turks,Vrouw,Autochtoon,Man,56880
Turks,Vrouw,Autochtoon,Vrouw,60440
Turks,Vrouw,Marokkaans,Man,52400
Turks,Vrouw,Marokkaans,Vrouw,55200
Turks,Vrouw,Overig,Man,60940
Turks,Vrouw,Overig,Vrouw,52310
Turks,Vrouw,Surinaams,Man,13990
Turks,Vrouw,Surinaams,Vrouw,16580
Turks,Vrouw,Turks,Man,45850
Turks,Vrouw,Turks,Vrouw,40780
