etngrp_src,geslacht_src,lft_src,etngrp_dst,geslacht_dst,lft_dst,n
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[0,20)",47690
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[20,30)",19740
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[30,40)",26380
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[40,50)",30460
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[50,60)",30730
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[60,70)",21270
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[70,80)",12310
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[80,120]",3070
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",45790
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",22820
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",26630
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",29780
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",27020
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",20150
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[70,80)",12580
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[80,120]",6140
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[0,20)",8810
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[20,30)",3250
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[30,40)",3690
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[40,50)",4200
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[50,60)",2210
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[60,70)",1040
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[70,80)",670
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[80,120]",20
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",8270
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[20,30)",3810
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",4360
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[40,50)",3500
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[50,60)",1870
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[60,70)",1300
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[70,80)",1430
Autochtoon,Man,"[0,20)",Overig,Man,"[0,20)",26390
Autochtoon,Man,"[0,20)",Overig,Man,"[20,30)",13900
Autochtoon,Man,"[0,20)",Overig,Man,"[30,40)",20930
Autochtoon,Man,"[0,20)",Overig,Man,"[40,50)",15590
Autochtoon,Man,"[0,20)",Overig,Man,"[50,60)",11790
Autochtoon,Man,"[0,20)",Overig,Man,"[60,70)",7110
Autochtoon,Man,"[0,20)",Overig,Man,"[70,80)",3890
Autochtoon,Man,"[0,20)",Overig,Man,"[80,120]",640
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[0,20)",24940
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[20,30)",18370
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[30,40)",21080
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[40,50)",18560
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[50,60)",12910
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[60,70)",7220
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[70,80)",2820
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[80,120]",750
Autochtoon,Man,"[0,20)",Surinaams,Man,"[0,20)",4650
Autochtoon,Man,"[0,20)",Surinaams,Man,"[20,30)",3090
Autochtoon,Man,"[0,20)",Surinaams,Man,"[30,40)",2850
Autochtoon,Man,"[0,20)",Surinaams,Man,"[40,50)",2870
Autochtoon,Man,"[0,20)",Surinaams,Man,"[50,60)",3230
Autochtoon,Man,"[0,20)",Surinaams,Man,"[60,70)",1970
Autochtoon,Man,"[0,20)",Surinaams,Man,"[70,80)",290
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[0,20)",4570
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[20,30)",3150
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[30,40)",3500
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[40,50)",3880
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[50,60)",4250
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[60,70)",2570
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[70,80)",1010
Autochtoon,Man,"[0,20)",Turks,Man,"[0,20)",4510
Autochtoon,Man,"[0,20)",Turks,Man,"[20,30)",2420
Autochtoon,Man,"[0,20)",Turks,Man,"[30,40)",2420
Autochtoon,Man,"[0,20)",Turks,Man,"[40,50)",2930
Autochtoon,Man,"[0,20)",Turks,Man,"[50,60)",1910
Autochtoon,Man,"[0,20)",Turks,Man,"[60,70)",650
Autochtoon,Man,"[0,20)",Turks,Man,"[70,80)",390
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[0,20)",4160
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[20,30)",3390
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[30,40)",2930
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[40,50)",2290
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[50,60)",1230
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[60,70)",490
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[70,80)",430
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[0,20)",18630
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[20,30)",51310
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[30,40)",27870
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[40,50)",15880
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[50,60)",17100
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[60,70)",13020
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[70,80)",7180
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[80,120]",2610
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[0,20)",18600
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[20,30)",49080
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[30,40)",23710
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[40,50)",14120
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[50,60)",15490
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[60,70)",11800
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[70,80)",6800
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[80,120]",3400
Autochtoon,Man,"[20,30)",Marokkaans,Man,"[0,20)",4260
Autochtoon,Man,"[20,30)",Marokkaans,Man,"[20,30)",2580
Autochtoon,Man,"[20,30)",Marokkaans,Man,"[30,40)",2790
Autochtoon,Man,"[20,30)",Marokkaans,Man,"[40,50)",2010
Autochtoon,Man,"[20,30)",Marokkaans,Man,"[50,60)",1210
Autochtoon,Man,"[20,30)",Marokkaans,Man,"[60,70)",760
Autochtoon,Man,"[20,30)",Marokkaans,Man,"[70,80)",250
Autochtoon,Man,"[20,30)",Marokkaans,Man,"[80,120]",110
Autochtoon,Man,"[20,30)",Marokkaans,Vrouw,"[0,20)",4330
Autochtoon,Man,"[20,30)",Marokkaans,Vrouw,"[20,30)",2970
Autochtoon,Man,"[20,30)",Marokkaans,Vrouw,"[30,40)",2820
Autochtoon,Man,"[20,30)",Marokkaans,Vrouw,"[40,50)",1880
Autochtoon,Man,"[20,30)",Marokkaans,Vrouw,"[50,60)",1140
Autochtoon,Man,"[20,30)",Marokkaans,Vrouw,"[60,70)",970
Autochtoon,Man,"[20,30)",Marokkaans,Vrouw,"[70,80)",130
Autochtoon,Man,"[20,30)",Overig,Man,"[0,20)",13000
Autochtoon,Man,"[20,30)",Overig,Man,"[20,30)",19390
Autochtoon,Man,"[20,30)",Overig,Man,"[30,40)",21220
Autochtoon,Man,"[20,30)",Overig,Man,"[40,50)",10150
Autochtoon,Man,"[20,30)",Overig,Man,"[50,60)",8360
Autochtoon,Man,"[20,30)",Overig,Man,"[60,70)",4560
Autochtoon,Man,"[20,30)",Overig,Man,"[70,80)",2690
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[0,20)",12690
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[20,30)",22870
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[30,40)",23380
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[40,50)",8370
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[50,60)",7470
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[60,70)",5070
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[70,80)",1530
Autochtoon,Man,"[20,30)",Surinaams,Man,"[0,20)",2030
Autochtoon,Man,"[20,30)",Surinaams,Man,"[20,30)",3100
Autochtoon,Man,"[20,30)",Surinaams,Man,"[30,40)",2330
Autochtoon,Man,"[20,30)",Surinaams,Man,"[40,50)",1390
Autochtoon,Man,"[20,30)",Surinaams,Man,"[50,60)",1810
Autochtoon,Man,"[20,30)",Surinaams,Man,"[60,70)",1330
Autochtoon,Man,"[20,30)",Surinaams,Man,"[70,80)",250
Autochtoon,Man,"[20,30)",Surinaams,Vrouw,"[0,20)",1990
Autochtoon,Man,"[20,30)",Surinaams,Vrouw,"[20,30)",3010
Autochtoon,Man,"[20,30)",Surinaams,Vrouw,"[30,40)",2130
Autochtoon,Man,"[20,30)",Surinaams,Vrouw,"[40,50)",1850
Autochtoon,Man,"[20,30)",Surinaams,Vrouw,"[50,60)",2510
Autochtoon,Man,"[20,30)",Surinaams,Vrouw,"[60,70)",1590
Autochtoon,Man,"[20,30)",Surinaams,Vrouw,"[70,80)",480
Autochtoon,Man,"[20,30)",Surinaams,Vrouw,"[80,120]",350
Autochtoon,Man,"[20,30)",Turks,Man,"[0,20)",2510
Autochtoon,Man,"[20,30)",Turks,Man,"[20,30)",1670
Autochtoon,Man,"[20,30)",Turks,Man,"[30,40)",2900
Autochtoon,Man,"[20,30)",Turks,Man,"[40,50)",1500
Autochtoon,Man,"[20,30)",Turks,Man,"[50,60)",1260
Autochtoon,Man,"[20,30)",Turks,Man,"[60,70)",260
Autochtoon,Man,"[20,30)",Turks,Man,"[70,80)",110
Autochtoon,Man,"[20,30)",Turks,Vrouw,"[0,20)",2030
Autochtoon,Man,"[20,30)",Turks,Vrouw,"[20,30)",1640
Autochtoon,Man,"[20,30)",Turks,Vrouw,"[30,40)",1600
Autochtoon,Man,"[20,30)",Turks,Vrouw,"[40,50)",1070
Autochtoon,Man,"[20,30)",Turks,Vrouw,"[50,60)",890
Autochtoon,Man,"[20,30)",Turks,Vrouw,"[60,70)",300
Autochtoon,Man,"[20,30)",Turks,Vrouw,"[70,80)",170
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[0,20)",25930
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[20,30)",28530
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[30,40)",37850
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[40,50)",23240
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[50,60)",18980
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[60,70)",14980
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[70,80)",8050
Autochtoon,Man,"[30,40)",Autochtoon,Man,"[80,120]",1730
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[0,20)",24900
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[20,30)",35010
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[30,40)",33710
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[40,50)",19260
Autochtoon,Man,"[30,40)",Autochtoon,Vrouw,"[50,60)",16680
