etngrp_src,geslacht_src,lft_src,oplniv_src,etngrp_dst,geslacht_dst,lft_dst,oplniv_dst,n
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",1,43120
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",2,2140
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",3,40
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",1,1420
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",2,7890
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",3,8970
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",1,1300
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",2,4940
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",3,18900
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",1,1610
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",2,6270
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",3,21110
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",1,3830
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",2,8520
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",3,16470
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",1,3230
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",2,5910
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",3,10720
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[70,80)",1,2300
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[70,80)",2,3470
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[70,80)",3,5820
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[80,120]",1,1290
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[80,120]",2,1130
