etngrp_src,geslacht_src,oplniv_src,etngrp_dst,geslacht_dst,oplniv_dst,n
Autochtoon,Man,1,Autochtoon,Man,1,88020
Autochtoon,Man,1,Autochtoon,Man,2,65000
Autochtoon,Man,1,Autochtoon,Man,3,115360
Autochtoon,Man,1,Autochtoon,Vrouw,1,93750
Autochtoon,Man,1,Autochtoon,Vrouw,2,58240
Autochtoon,Man,1,Autochtoon,Vrouw,3,119700
Autochtoon,Man,1,Marokkaans,Man,1,26870
Autochtoon,Man,1,Marokkaans,Man,2,11040
Autochtoon,Man,1,Marokkaans,Man,3,3710
Autochtoon,Man,1,Marokkaans,Vrouw,1,25720
Autochtoon,Man,1,Marokkaans,Vrouw,2,10510
Autochtoon,Man,1,Marokkaans,Vrouw,3,4550
Autochtoon,Man,1,Overig,Man,1,56040
Autochtoon,Man,1,Overig,Man,2,38700
Autochtoon,Man,1,Overig,Man,3,51270
Autochtoon,Man,1,Overig,Vrouw,1,54070
Autochtoon,Man,1,Overig,Vrouw,2,41170
Autochtoon,Man,1,Overig,Vrouw,3,62180
Autochtoon,Man,1,Surinaams,Man,1,17440
Autochtoon,Man,1,Surinaams,Man,2,11190
Autochtoon,Man,1,Surinaams,Man,3,4690
Autochtoon,Man,1,Surinaams,Vrouw,1,13370
Autochtoon,Man,1,Surinaams,Vrouw,2,14030
Autochtoon,Man,1,Surinaams,Vrouw,3,7780
Autochtoon,Man,1,Turks,Man,1,15190
Autochtoon,Man,1,Turks,Man,2,7170
Autochtoon,Man,1,Turks,Man,3,3110
Autochtoon,Man,1,Turks,Vrouw,1,13290
Autochtoon,Man,1,Turks,Vrouw,2,6050
Autochtoon,Man,1,Turks,Vrouw,3,2790
Autochtoon,Man,2,Autochtoon,Man,1,63780
Autochtoon,Man,2,Autochtoon,Man,2,69340
Autochtoon,Man,2,Autochtoon,Man,3,111230
Autochtoon,Man,2,Autochtoon,Vrouw,1,67920
Autochtoon,Man,2,Autochtoon,Vrouw,2,59850
Autochtoon,Man,2,Autochtoon,Vrouw,3,117540
Autochtoon,Man,2,Marokkaans,Man,1,17990
Autochtoon,Man,2,Marokkaans,Man,2,7050
Autochtoon,Man,2,Marokkaans,Man,3,2490
Autochtoon,Man,2,Marokkaans,Vrouw,1,18680
Autochtoon,Man,2,Marokkaans,Vrouw,2,6460
Autochtoon,Man,2,Marokkaans,Vrouw,3,3790
Autochtoon,Man,2,Overig,Man,1,49810
Autochtoon,Man,2,Overig,Man,2,40030
Autochtoon,Man,2,Overig,Man,3,60040
Autochtoon,Man,2,Overig,Vrouw,1,44090
Autochtoon,Man,2,Overig,Vrouw,2,33870
Autochtoon,Man,2,Overig,Vrouw,3,58650
Autochtoon,Man,2,Surinaams,Man,1,11780
Autochtoon,Man,2,Surinaams,Man,2,8910
Autochtoon,Man,2,Surinaams,Man,3,4870
Autochtoon,Man,2,Surinaams,Vrouw,1,9540
Autochtoon,Man,2,Surinaams,Vrouw,2,11500
Autochtoon,Man,2,Surinaams,Vrouw,3,7160
Autochtoon,Man,2,Turks,Man,1,10290
Autochtoon,Man,2,Turks,Man,2,5240
Autochtoon,Man,2,Turks,Man,3,3020
Autochtoon,Man,2,Turks,Vrouw,1,10680
Autochtoon,Man,2,Turks,Vrouw,2,4280
Autochtoon,Man,2,Turks,Vrouw,3,2550
Autochtoon,Man,3,Autochtoon,Man,1,114300
Autochtoon,Man,3,Autochtoon,Man,2,110350
Autochtoon,Man,3,Autochtoon,Man,3,262370
Autochtoon,Man,3,Autochtoon,Vrouw,1,108260
Autochtoon,Man,3,Autochtoon,Vrouw,2,96320
Autochtoon,Man,3,Autochtoon,Vrouw,3,265360
Autochtoon,Man,3,Marokkaans,Man,1,18120
Autochtoon,Man,3,Marokkaans,Man,2,9430
Autochtoon,Man,3,Marokkaans,Man,3,3360
Autochtoon,Man,3,Marokkaans,Vrouw,1,19220
Autochtoon,Man,3,Marokkaans,Vrouw,2,7850
Autochtoon,Man,3,Marokkaans,Vrouw,3,4440
Autochtoon,Man,3,Overig,Man,1,71700
Autochtoon,Man,3,Overig,Man,2,59530
Autochtoon,Man,3,Overig,Man,3,146440
Autochtoon,Man,3,Overig,Vrouw,1,63780
Autochtoon,Man,3,Overig,Vrouw,2,54720
Autochtoon,Man,3,Overig,Vrouw,3,144950
Autochtoon,Man,3,Surinaams,Man,1,12030
Autochtoon,Man,3,Surinaams,Man,2,10940
Autochtoon,Man,3,Surinaams,Man,3,7360
Autochtoon,Man,3,Surinaams,Vrouw,1,12330
Autochtoon,Man,3,Surinaams,Vrouw,2,12630
Autochtoon,Man,3,Surinaams,Vrouw,3,9730
Autochtoon,Man,3,Turks,Man,1,11090
Autochtoon,Man,3,Turks,Man,2,6090
Autochtoon,Man,3,Turks,Man,3,4580
Autochtoon,Man,3,Turks,Vrouw,1,10240
Autochtoon,Man,3,Turks,Vrouw,2,4740
Autochtoon,Man,3,Turks,Vrouw,3,3780
Autochtoon,Vrouw,1,Autochtoon,Man,1,95370
Autochtoon,Vrouw,1,Autochtoon,Man,2,67850
