etngrp_src,lft_src,etngrp_dst,lft_dst,n
Autochtoon,"[0,20)",Autochtoon,"[0,20)",183980
Autochtoon,"[0,20)",Autochtoon,"[20,30)",85020
Autochtoon,"[0,20)",Autochtoon,"[30,40)",104330
Autochtoon,"[0,20)",Autochtoon,"[40,50)",117280
Autochtoon,"[0,20)",Autochtoon,"[50,60)",113160
Autochtoon,"[0,20)",Autochtoon,"[60,70)",78740
Autochtoon,"[0,20)",Autochtoon,"[70,80)",48870
Autochtoon,"[0,20)",Autochtoon,"[80,120]",18300
Autochtoon,"[0,20)",Marokkaans,"[0,20)",33860
Autochtoon,"[0,20)",Marokkaans,"[20,30)",13440
Autochtoon,"[0,20)",Marokkaans,"[30,40)",15800
Autochtoon,"[0,20)",Marokkaans,"[40,50)",15320
Autochtoon,"[0,20)",Marokkaans,"[50,60)",8240
Autochtoon,"[0,20)",Marokkaans,"[60,70)",4650
Autochtoon,"[0,20)",Marokkaans,"[70,80)",3620
Autochtoon,"[0,20)",Marokkaans,"[80,120]",160
Autochtoon,"[0,20)",Overig,"[0,20)",100960
Autochtoon,"[0,20)",Overig,"[20,30)",71400
Autochtoon,"[0,20)",Overig,"[30,40)",85140
Autochtoon,"[0,20)",Overig,"[40,50)",67090
Autochtoon,"[0,20)",Overig,"[50,60)",48240
Autochtoon,"[0,20)",Overig,"[60,70)",28310
Autochtoon,"[0,20)",Overig,"[70,80)",12500
Autochtoon,"[0,20)",Overig,"[80,120]",2820
Autochtoon,"[0,20)",Surinaams,"[0,20)",17800
Autochtoon,"[0,20)",Surinaams,"[20,30)",12030
Autochtoon,"[0,20)",Surinaams,"[30,40)",12660
Autochtoon,"[0,20)",Surinaams,"[40,50)",12620
Autochtoon,"[0,20)",Surinaams,"[50,60)",14350
Autochtoon,"[0,20)",Surinaams,"[60,70)",8620
Autochtoon,"[0,20)",Surinaams,"[70,80)",2240
Autochtoon,"[0,20)",Turks,"[0,20)",16430
Autochtoon,"[0,20)",Turks,"[20,30)",10120
Autochtoon,"[0,20)",Turks,"[30,40)",11200
Autochtoon,"[0,20)",Turks,"[40,50)",9690
Autochtoon,"[0,20)",Turks,"[50,60)",6750
Autochtoon,"[0,20)",Turks,"[60,70)",2300
Autochtoon,"[0,20)",Turks,"[70,80)",1800
Autochtoon,"[20,30)",Autochtoon,"[0,20)",80530
Autochtoon,"[20,30)",Autochtoon,"[20,30)",224660
Autochtoon,"[20,30)",Autochtoon,"[30,40)",115800
Autochtoon,"[20,30)",Autochtoon,"[40,50)",65380
Autochtoon,"[20,30)",Autochtoon,"[50,60)",67570
Autochtoon,"[20,30)",Autochtoon,"[60,70)",52310
Autochtoon,"[20,30)",Autochtoon,"[70,80)",29970
Autochtoon,"[20,30)",Autochtoon,"[80,120]",13750
Autochtoon,"[20,30)",Marokkaans,"[0,20)",18590
Autochtoon,"[20,30)",Marokkaans,"[20,30)",12240
Autochtoon,"[20,30)",Marokkaans,"[30,40)",11670
Autochtoon,"[20,30)",Marokkaans,"[40,50)",8620
Autochtoon,"[20,30)",Marokkaans,"[50,60)",5250
Autochtoon,"[20,30)",Marokkaans,"[60,70)",4140
Autochtoon,"[20,30)",Marokkaans,"[70,80)",1210
Autochtoon,"[20,30)",Marokkaans,"[80,120]",110
Autochtoon,"[20,30)",Overig,"[0,20)",56330
Autochtoon,"[20,30)",Overig,"[20,30)",101150
Autochtoon,"[20,30)",Overig,"[30,40)",113500
Autochtoon,"[20,30)",Overig,"[40,50)",43710
Autochtoon,"[20,30)",Overig,"[50,60)",34210
Autochtoon,"[20,30)",Overig,"[60,70)",20410
Autochtoon,"[20,30)",Overig,"[70,80)",9180
Autochtoon,"[20,30)",Overig,"[80,120]",1030
Autochtoon,"[20,30)",Surinaams,"[0,20)",8440
Autochtoon,"[20,30)",Surinaams,"[20,30)",12890
Autochtoon,"[20,30)",Surinaams,"[30,40)",9380
Autochtoon,"[20,30)",Surinaams,"[40,50)",7790
Autochtoon,"[20,30)",Surinaams,"[50,60)",8890
Autochtoon,"[20,30)",Surinaams,"[60,70)",5890
Autochtoon,"[20,30)",Surinaams,"[70,80)",1490
Autochtoon,"[20,30)",Surinaams,"[80,120]",350
Autochtoon,"[20,30)",Turks,"[0,20)",9510
Autochtoon,"[20,30)",Turks,"[20,30)",7060
Autochtoon,"[20,30)",Turks,"[30,40)",7880
Autochtoon,"[20,30)",Turks,"[40,50)",5190
Autochtoon,"[20,30)",Turks,"[50,60)",4740
Autochtoon,"[20,30)",Turks,"[60,70)",1310
Autochtoon,"[20,30)",Turks,"[70,80)",760
Autochtoon,"[30,40)",Autochtoon,"[0,20)",102320
Autochtoon,"[30,40)",Autochtoon,"[20,30)",119000
Autochtoon,"[30,40)",Autochtoon,"[30,40)",137770
Autochtoon,"[30,40)",Autochtoon,"[40,50)",84080
Autochtoon,"[30,40)",Autochtoon,"[50,60)",70230
Autochtoon,"[30,40)",Autochtoon,"[60,70)",57760
Autochtoon,"[30,40)",Autochtoon,"[70,80)",33650
Autochtoon,"[30,40)",Autochtoon,"[80,120]",13090
Autochtoon,"[30,40)",Marokkaans,"[0,20)",18250
Autochtoon,"[30,40)",Marokkaans,"[20,30)",10070
Autochtoon,"[30,40)",Marokkaans,"[30,40)",11390
Autochtoon,"[30,40)",Marokkaans,"[40,50)",8470
Autochtoon,"[30,40)",Marokkaans,"[50,60)",5460
Autochtoon,"[30,40)",Marokkaans,"[60,70)",3150
Autochtoon,"[30,40)",Marokkaans,"[70,80)",1420
Autochtoon,"[30,40)",Marokkaans,"[80,120]",30
Autochtoon,"[30,40)",Overig,"[0,20)",62290
Autochtoon,"[30,40)",Overig,"[20,30)",67500
Autochtoon,"[30,40)",Overig,"[30,40)",112880
Autochtoon,"[30,40)",Overig,"[40,50)",50700
Autochtoon,"[30,40)",Overig,"[50,60)",32010
Autochtoon,"[30,40)",Overig,"[60,70)",21810
Autochtoon,"[30,40)",Overig,"[70,80)",8650
Autochtoon,"[30,40)",Overig,"[80,120]",1610
Autochtoon,"[30,40)",Surinaams,"[0,20)",8470
Autochtoon,"[30,40)",Surinaams,"[20,30)",7640
Autochtoon,"[30,40)",Surinaams,"[30,40)",9310
Autochtoon,"[30,40)",Surinaams,"[40,50)",8460
Autochtoon,"[30,40)",Surinaams,"[50,60)",8450
Autochtoon,"[30,40)",Surinaams,"[60,70)",5610
Autochtoon,"[30,40)",Surinaams,"[70,80)",1550
Autochtoon,"[30,40)",Surinaams,"[80,120]",310
Autochtoon,"[30,40)",Turks,"[0,20)",9100
Autochtoon,"[30,40)",Turks,"[20,30)",5790
Autochtoon,"[30,40)",Turks,"[30,40)",7070
Autochtoon,"[30,40)",Turks,"[40,50)",5340
Autochtoon,"[30,40)",Turks,"[50,60)",5180
Autochtoon,"[30,40)",Turks,"[60,70)",1800
Autochtoon,"[30,40)",Turks,"[70,80)",1030
Autochtoon,"[40,50)",Autochtoon,"[0,20)",116800
Autochtoon,"[40,50)",Autochtoon,"[20,30)",68290
Autochtoon,"[40,50)",Autochtoon,"[30,40)",84880
Autochtoon,"[40,50)",Autochtoon,"[40,50)",88880
Autochtoon,"[40,50)",Autochtoon,"[50,60)",79290
Autochtoon,"[40,50)",Autochtoon,"[60,70)",57860
Autochtoon,"[40,50)",Autochtoon,"[70,80)",36710
Autochtoon,"[40,50)",Autochtoon,"[80,120]",13500
Autochtoon,"[40,50)",Marokkaans,"[0,20)",15460
Autochtoon,"[40,50)",Marokkaans,"[20,30)",7040
Autochtoon,"[40,50)",Marokkaans,"[30,40)",8060
Autochtoon,"[40,50)",Marokkaans,"[40,50)",8560
Autochtoon,"[40,50)",Marokkaans,"[50,60)",4170
Autochtoon,"[40,50)",Marokkaans,"[60,70)",2190
Autochtoon,"[40,50)",Marokkaans,"[70,80)",2190
Autochtoon,"[40,50)",Overig,"[0,20)",64290
Autochtoon,"[40,50)",Overig,"[20,30)",42690
Autochtoon,"[40,50)",Overig,"[30,40)",83030
Autochtoon,"[40,50)",Overig,"[40,50)",51860
Autochtoon,"[40,50)",Overig,"[50,60)",32680
Autochtoon,"[40,50)",Overig,"[60,70)",20010
Autochtoon,"[40,50)",Overig,"[70,80)",8490
Autochtoon,"[40,50)",Overig,"[80,120]",640
Autochtoon,"[40,50)",Surinaams,"[0,20)",8890
Autochtoon,"[40,50)",Surinaams,"[20,30)",6050
Autochtoon,"[40,50)",Surinaams,"[30,40)",6970
Autochtoon,"[40,50)",Surinaams,"[40,50)",6970
Autochtoon,"[40,50)",Surinaams,"[50,60)",8600
Autochtoon,"[40,50)",Surinaams,"[60,70)",5190
Autochtoon,"[40,50)",Surinaams,"[70,80)",710
Autochtoon,"[40,50)",Turks,"[0,20)",8080
Autochtoon,"[40,50)",Turks,"[20,30)",5040
Autochtoon,"[40,50)",Turks,"[30,40)",5680
Autochtoon,"[40,50)",Turks,"[40,50)",5270
Autochtoon,"[40,50)",Turks,"[50,60)",3190
Autochtoon,"[40,50)",Turks,"[60,70)",1110
Autochtoon,"[40,50)",Turks,"[70,80)",650
Autochtoon,"[50,60)",Autochtoon,"[0,20)",111560
Autochtoon,"[50,60)",Autochtoon,"[20,30)",70760
Autochtoon,"[50,60)",Autochtoon,"[30,40)",70850
Autochtoon,"[50,60)",Autochtoon,"[40,50)",79200
Autochtoon,"[50,60)",Autochtoon,"[50,60)",101530
Autochtoon,"[50,60)",Autochtoon,"[60,70)",82350
Autochtoon,"[50,60)",Autochtoon,"[70,80)",43410
Autochtoon,"[50,60)",Autochtoon,"[80,120]",15440
Autochtoon,"[50,60)",Marokkaans,"[0,20)",19480
Autochtoon,"[50,60)",Marokkaans,"[20,30)",8780
Autochtoon,"[50,60)",Marokkaans,"[30,40)",10090
Autochtoon,"[50,60)",Marokkaans,"[40,50)",9240
Autochtoon,"[50,60)",Marokkaans,"[50,60)",5980
Autochtoon,"[50,60)",Marokkaans,"[60,70)",4740
Autochtoon,"[50,60)",Marokkaans,"[70,80)",1290
Autochtoon,"[50,60)",Overig,"[0,20)",75020
Autochtoon,"[50,60)",Overig,"[20,30)",69350
Autochtoon,"[50,60)",Overig,"[30,40)",62340
Autochtoon,"[50,60)",Overig,"[40,50)",46340
Autochtoon,"[50,60)",Overig,"[50,60)",44860
Autochtoon,"[50,60)",Overig,"[60,70)",28700
Autochtoon,"[50,60)",Overig,"[70,80)",14480
