etngrp_src,oplniv_src,etngrp_dst,oplniv_dst,n
Autochtoon,1,Autochtoon,1,372370
Autochtoon,1,Autochtoon,2,253080
Autochtoon,1,Autochtoon,3,465220
Autochtoon,1,Marokkaans,1,107310
Autochtoon,1,Marokkaans,2,44920
Autochtoon,1,Marokkaans,3,16840
Autochtoon,1,Overig,1,229960
Autochtoon,1,Overig,2,151450
Autochtoon,1,Overig,3,227160
Autochtoon,1,Surinaams,1,59830
Autochtoon,1,Surinaams,2,49970
Autochtoon,1,Surinaams,3,24050
Autochtoon,1,Turks,1,58360
Autochtoon,1,Turks,2,27970
Autochtoon,1,Turks,3,11830
Autochtoon,2,Autochtoon,1,249750
Autochtoon,2,Autochtoon,2,245720
Autochtoon,2,Autochtoon,3,425520
Autochtoon,2,Marokkaans,1,69040
Autochtoon,2,Marokkaans,2,27030
Autochtoon,2,Marokkaans,3,11370
Autochtoon,2,Overig,1,170790
Autochtoon,2,Overig,2,138510
Autochtoon,2,Overig,3,224420
Autochtoon,2,Surinaams,1,39690
Autochtoon,2,Surinaams,2,39710
Autochtoon,2,Surinaams,3,21340
Autochtoon,2,Turks,1,38730
Autochtoon,2,Turks,2,19330
Autochtoon,2,Turks,3,9920
Autochtoon,3,Autochtoon,1,462790
Autochtoon,3,Autochtoon,2,425010
Autochtoon,3,Autochtoon,3,1083680
Autochtoon,3,Marokkaans,1,80520
Autochtoon,3,Marokkaans,2,36300
Autochtoon,3,Marokkaans,3,17020
Autochtoon,3,Overig,1,287180
Autochtoon,3,Overig,2,234940
Autochtoon,3,Overig,3,592020
Autochtoon,3,Surinaams,1,48740
Autochtoon,3,Surinaams,2,49900
Autochtoon,3,Surinaams,3,34580
Autochtoon,3,Turks,1,44420
Autochtoon,3,Turks,2,22400
Autochtoon,3,Turks,3,16280
Marokkaans,1,Autochtoon,1,103900
Marokkaans,1,Autochtoon,2,69050
Marokkaans,1,Autochtoon,3,81180
Marokkaans,1,Marokkaans,1,232130
Marokkaans,1,Marokkaans,2,82940
Marokkaans,1,Marokkaans,3,28380
Marokkaans,1,Overig,1,125950
Marokkaans,1,Overig,2,68450
Marokkaans,1,Overig,3,49810
Marokkaans,1,Surinaams,1,39590
Marokkaans,1,Surinaams,2,32140
Marokkaans,1,Surinaams,3,9460
Marokkaans,1,Turks,1,102430
Marokkaans,1,Turks,2,38280
Marokkaans,1,Turks,3,10280
Marokkaans,2,Autochtoon,1,44370
Marokkaans,2,Autochtoon,2,26430
Marokkaans,2,Autochtoon,3,35160
Marokkaans,2,Marokkaans,1,84120
Marokkaans,2,Marokkaans,2,32420
Marokkaans,2,Marokkaans,3,10920
Marokkaans,2,Overig,1,47790
Marokkaans,2,Overig,2,29110
Marokkaans,2,Overig,3,21450
Marokkaans,2,Surinaams,1,14690
Marokkaans,2,Surinaams,2,11660
Marokkaans,2,Surinaams,3,3980
Marokkaans,2,Turks,1,34770
Marokkaans,2,Turks,2,14060
Marokkaans,2,Turks,3,4210
Marokkaans,3,Autochtoon,1,16270
Marokkaans,3,Autochtoon,2,12300
Marokkaans,3,Autochtoon,3,16530
Marokkaans,3,Marokkaans,1,31330
Marokkaans,3,Marokkaans,2,10800
Marokkaans,3,Marokkaans,3,5820
Marokkaans,3,Overig,1,21200
Marokkaans,3,Overig,2,10240
Marokkaans,3,Overig,3,10660
Marokkaans,3,Surinaams,1,4190
Marokkaans,3,Surinaams,2,4220
Marokkaans,3,Surinaams,3,1500
Marokkaans,3,Turks,1,9250
Marokkaans,3,Turks,2,5070
Marokkaans,3,Turks,3,1580
Overig,1,Autochtoon,1,227700
Overig,1,Autochtoon,2,181780
Overig,1,Autochtoon,3,295960
Overig,1,Marokkaans,1,127120
Overig,1,Marokkaans,2,46440
Overig,1,Marokkaans,3,23730
Overig,1,Overig,1,423400
Overig,1,Overig,2,167700
Overig,1,Overig,3,176030
Overig,1,Surinaams,1,82990
Overig,1,Surinaams,2,68810
