geslacht_src,etngrp_src,geslacht_dst,etngrp_dst,n
Man,Autochtoon,Man,Autochtoon,999750
Man,Autochtoon,Man,Marokkaans,100060
Man,Autochtoon,Man,Overig,573560
Man,Autochtoon,Man,Surinaams,89210
Man,Autochtoon,Man,Turks,65780
Man,Autochtoon,Vrouw,Autochtoon,986940
Man,Autochtoon,Vrouw,Marokkaans,101220
Man,Autochtoon,Vrouw,Overig,557480
Man,Autochtoon,Vrouw,Surinaams,98070
Man,Autochtoon,Vrouw,Turks,58400
Man,Marokkaans,Man,Autochtoon,99440
Man,Marokkaans,Man,Marokkaans,128570
Man,Marokkaans,Man,Overig,93310
Man,Marokkaans,Man,Surinaams,27550
Man,Marokkaans,Man,Turks,55210
Man,Marokkaans,Vrouw,Autochtoon,101770
Man,Marokkaans,Vrouw,Marokkaans,125770
Man,Marokkaans,Vrouw,Overig,98680
Man,Marokkaans,Vrouw,Surinaams,35590
Man,Marokkaans,Vrouw,Turks,53300
Man,Overig,Man,Autochtoon,572030
Man,Overig,Man,Marokkaans,92550
Man,Overig,Man,Overig,5674770
Man,Overig,Man,Surinaams,82790
Man,Overig,Man,Turks,61810
Man,Overig,Vrouw,Autochtoon,567590
Man,Overig,Vrouw,Marokkaans,95380
Man,Overig,Vrouw,Overig,753400
Man,Overig,Vrouw,Surinaams,98710
Man,Overig,Vrouw,Turks,62740
Man,Surinaams,Man,Autochtoon,88880
Man,Surinaams,Man,Marokkaans,27940
Man,Surinaams,Man,Overig,88080
Man,Surinaams,Man,Surinaams,48610
Man,Surinaams,Man,Turks,15920
Man,Surinaams,Vrouw,Autochtoon,83820
Man,Surinaams,Vrouw,Marokkaans,26190
Man,Surinaams,Vrouw,Overig,88970
Man,Surinaams,Vrouw,Surinaams,53030
Man,Surinaams,Vrouw,Turks,14580
Man,Turks,Man,Autochtoon,61740
Man,Turks,Man,Marokkaans,53850
Man,Turks,Man,Overig,62340
Man,Turks,Man,Surinaams,16390
Man,Turks,Man,Turks,43930
Man,Turks,Vrouw,Autochtoon,63990
Man,Turks,Vrouw,Marokkaans,55050
Man,Turks,Vrouw,Overig,56120
Man,Turks,Vrouw,Surinaams,17310
Man,Turks,Vrouw,Turks,47190
Vrouw,Autochtoon,Man,Autochtoon,992890
Vrouw,Autochtoon,Man,Marokkaans,104780
Vrouw,Autochtoon,Man,Overig,557500
Vrouw,Autochtoon,Man,Surinaams,82690
Vrouw,Autochtoon,Man,Turks,64530
Vrouw,Autochtoon,Vrouw,Autochtoon,1003560
Vrouw,Autochtoon,Vrouw,Marokkaans,104290
Vrouw,Autochtoon,Vrouw,Overig,567890
Vrouw,Autochtoon,Vrouw,Surinaams,97840
Vrouw,Autochtoon,Vrouw,Turks,60530
Vrouw,Marokkaans,Man,Autochtoon,100830
Vrouw,Marokkaans,Man,Marokkaans,126650
Vrouw,Marokkaans,Man,Overig,96770
Vrouw,Marokkaans,Man,Surinaams,25870
Vrouw,Marokkaans,Man,Turks,55660
Vrouw,Marokkaans,Vrouw,Autochtoon,103150
Vrouw,Marokkaans,Vrouw,Marokkaans,137870
Vrouw,Marokkaans,Vrouw,Overig,95900
Vrouw,Marokkaans,Vrouw,Surinaams,32420
Vrouw,Marokkaans,Vrouw,Turks,55760
Vrouw,Overig,Man,Autochtoon,560160
Vrouw,Overig,Man,Marokkaans,101450
Vrouw,Overig,Man,Overig,755620
Vrouw,Overig,Man,Surinaams,85920
Vrouw,Overig,Man,Turks,56220
Vrouw,Overig,Vrouw,Autochtoon,563820
Vrouw,Overig,Vrouw,Marokkaans,96290
Vrouw,Overig,Vrouw,Overig,435290
Vrouw,Overig,Vrouw,Surinaams,106330
Vrouw,Overig,Vrouw,Turks,53620
Vrouw,Surinaams,Man,Autochtoon,96830
Vrouw,Surinaams,Man,Marokkaans,34390
Vrouw,Surinaams,Man,Overig,100330
Vrouw,Surinaams,Man,Surinaams,52760
Vrouw,Surinaams,Man,Turks,16990
Vrouw,Surinaams,Vrouw,Autochtoon,97170
Vrouw,Surinaams,Vrouw,Marokkaans,32920
Vrouw,Surinaams,Vrouw,Overig,108140
Vrouw,Surinaams,Vrouw,Surinaams,63890
Vrouw,Surinaams,Vrouw,Turks,16550
Vrouw,Turks,Man,Autochtoon,56880
Vrouw,Turks,Man,Marokkaans,52400
Vrouw,Turks,Man,Overig,60940
Vrouw,Turks,Man,Surinaams,13990
Vrouw,Turks,Man,Turks,45850
Vrouw,Turks,Vrouw,Autochtoon,60440
Vrouw,Turks,Vrouw,Marokkaans,55200
Vrouw,Turks,Vrouw,Overig,52310
Vrouw,Turks,Vrouw,Surinaams,16580
Vrouw,Turks,Vrouw,Turks,40780
