geslacht_src,etngrp_src,oplniv_src,geslacht_dst,etngrp_dst,oplniv_dst,n
Man,Autochtoon,1,Man,Autochtoon,1,88020
Man,Autochtoon,1,Man,Autochtoon,2,65000
Man,Autochtoon,1,Man,Autochtoon,3,115360
Man,Autochtoon,1,Man,Marokkaans,1,26870
Man,Autochtoon,1,Man,Marokkaans,2,11040
Man,Autochtoon,1,Man,Marokkaans,3,3710
Man,Autochtoon,1,Man,Overig,1,56040
Man,Autochtoon,1,Man,Overig,2,38700
Man,Autochtoon,1,Man,Overig,3,51270
Man,Autochtoon,1,Man,Surinaams,1,17440
Man,Autochtoon,1,Man,Surinaams,2,11190
Man,Autochtoon,1,Man,Surinaams,3,4690
Man,Autochtoon,1,Man,Turks,1,15190
Man,Autochtoon,1,Man,Turks,2,7170
Man,Autochtoon,1,Man,Turks,3,3110
Man,Autochtoon,1,Vrouw,Autochtoon,1,93750
Man,Autochtoon,1,Vrouw,Autochtoon,2,58240
Man,Autochtoon,1,Vrouw,Autochtoon,3,119700
Man,Autochtoon,1,Vrouw,Marokkaans,1,25720
Man,Autochtoon,1,Vrouw,Marokkaans,2,10510
Man,Autochtoon,1,Vrouw,Marokkaans,3,4550
Man,Autochtoon,1,Vrouw,Overig,1,54070
Man,Autochtoon,1,Vrouw,Overig,2,41170
Man,Autochtoon,1,Vrouw,Overig,3,62180
Man,Autochtoon,1,Vrouw,Surinaams,1,13370
Man,Autochtoon,1,Vrouw,Surinaams,2,14030
Man,Autochtoon,1,Vrouw,Surinaams,3,7780
Man,Autochtoon,1,Vrouw,Turks,1,13290
Man,Autochtoon,1,Vrouw,Turks,2,6050
Man,Autochtoon,1,Vrouw,Turks,3,2790
Man,Autochtoon,2,Man,Autochtoon,1,63780
Man,Autochtoon,2,Man,Autochtoon,2,69340
Man,Autochtoon,2,Man,Autochtoon,3,111230
Man,Autochtoon,2,Man,Marokkaans,1,17990
Man,Autochtoon,2,Man,Marokkaans,2,7050
Man,Autochtoon,2,Man,Marokkaans,3,2490
Man,Autochtoon,2,Man,Overig,1,49810
Man,Autochtoon,2,Man,Overig,2,40030
Man,Autochtoon,2,Man,Overig,3,60040
Man,Autochtoon,2,Man,Surinaams,1,11780
Man,Autochtoon,2,Man,Surinaams,2,8910
Man,Autochtoon,2,Man,Surinaams,3,4870
Man,Autochtoon,2,Man,Turks,1,10290
