geslacht_src,lft_src,geslacht_dst,lft_dst,n
Man,"[0,20)",Man,"[0,20)",250220
Man,"[0,20)",Man,"[20,30)",128440
Man,"[0,20)",Man,"[30,40)",137390
Man,"[0,20)",Man,"[40,50)",136260
Man,"[0,20)",Man,"[50,60)",128930
Man,"[0,20)",Man,"[60,70)",74940
Man,"[0,20)",Man,"[70,80)",43290
Man,"[0,20)",Man,"[80,120]",8810
Man,"[0,20)",Vrouw,"[0,20)",239380
Man,"[0,20)",Vrouw,"[20,30)",136850
Man,"[0,20)",Vrouw,"[30,40)",157230
Man,"[0,20)",Vrouw,"[40,50)",139790
Man,"[0,20)",Vrouw,"[50,60)",117720
Man,"[0,20)",Vrouw,"[60,70)",78170
Man,"[0,20)",Vrouw,"[70,80)",47140
Man,"[0,20)",Vrouw,"[80,120]",15420
Man,"[20,30)",Man,"[0,20)",121280
Man,"[20,30)",Man,"[20,30)",5430630
Man,"[20,30)",Man,"[30,40)",113390
Man,"[20,30)",Man,"[40,50)",74140
Man,"[20,30)",Man,"[50,60)",78850
Man,"[20,30)",Man,"[60,70)",45040
Man,"[20,30)",Man,"[70,80)",30480
Man,"[20,30)",Man,"[80,120]",3290
Man,"[20,30)",Vrouw,"[0,20)",126580
Man,"[20,30)",Vrouw,"[20,30)",158480
Man,"[20,30)",Vrouw,"[30,40)",109980
Man,"[20,30)",Vrouw,"[40,50)",78680
Man,"[20,30)",Vrouw,"[50,60)",71350
Man,"[20,30)",Vrouw,"[60,70)",48810
Man,"[20,30)",Vrouw,"[70,80)",19140
Man,"[20,30)",Vrouw,"[80,120]",4670
Man,"[30,40)",Man,"[0,20)",137850
Man,"[30,40)",Man,"[20,30)",112240
Man,"[30,40)",Man,"[30,40)",161010
Man,"[30,40)",Man,"[40,50)",112400
Man,"[30,40)",Man,"[50,60)",92780
Man,"[30,40)",Man,"[60,70)",63660
Man,"[30,40)",Man,"[70,80)",26730
Man,"[30,40)",Man,"[80,120]",1830
Man,"[30,40)",Vrouw,"[0,20)",135790
Man,"[30,40)",Vrouw,"[20,30)",169250
Man,"[30,40)",Vrouw,"[30,40)",475440
Man,"[30,40)",Vrouw,"[40,50)",93010
Man,"[30,40)",Vrouw,"[50,60)",74190
Man,"[30,40)",Vrouw,"[60,70)",64370
Man,"[30,40)",Vrouw,"[70,80)",26550
Man,"[30,40)",Vrouw,"[80,120]",7420
Man,"[40,50)",Man,"[0,20)",134770
Man,"[40,50)",Man,"[20,30)",74890
Man,"[40,50)",Man,"[30,40)",112730
Man,"[40,50)",Man,"[40,50)",92310
Man,"[40,50)",Man,"[50,60)",79850
Man,"[40,50)",Man,"[60,70)",48410
Man,"[40,50)",Man,"[70,80)",21330
Man,"[40,50)",Man,"[80,120]",2390
Man,"[40,50)",Vrouw,"[0,20)",127180
Man,"[40,50)",Vrouw,"[20,30)",95350
Man,"[40,50)",Vrouw,"[30,40)",106820
Man,"[40,50)",Vrouw,"[40,50)",120140
Man,"[40,50)",Vrouw,"[50,60)",66750
Man,"[40,50)",Vrouw,"[60,70)",47060
Man,"[40,50)",Vrouw,"[70,80)",25570
Man,"[40,50)",Vrouw,"[80,120]",7420
Man,"[50,60)",Man,"[0,20)",129470
Man,"[50,60)",Man,"[20,30)",84470
Man,"[50,60)",Man,"[30,40)",92970
Man,"[50,60)",Man,"[40,50)",78850
Man,"[50,60)",Man,"[50,60)",92170
Man,"[50,60)",Man,"[60,70)",62110
Man,"[50,60)",Man,"[70,80)",24710
Man,"[50,60)",Man,"[80,120]",2980
Man,"[50,60)",Vrouw,"[0,20)",116630
Man,"[50,60)",Vrouw,"[20,30)",77090
Man,"[50,60)",Vrouw,"[30,40)",81390
Man,"[50,60)",Vrouw,"[40,50)",76520
Man,"[50,60)",Vrouw,"[50,60)",83290
Man,"[50,60)",Vrouw,"[60,70)",54330
Man,"[50,60)",Vrouw,"[70,80)",29810
Man,"[50,60)",Vrouw,"[80,120]",5200
Man,"[60,70)",Man,"[0,20)",73540
Man,"[60,70)",Man,"[20,30)",45890
Man,"[60,70)",Man,"[30,40)",65970
Man,"[60,70)",Man,"[40,50)",49000
Man,"[60,70)",Man,"[50,60)",63460
Man,"[60,70)",Man,"[60,70)",41140
Man,"[60,70)",Man,"[70,80)",26720
Man,"[60,70)",Man,"[80,120]",2110
Man,"[60,70)",Vrouw,"[0,20)",72920
Man,"[60,70)",Vrouw,"[20,30)",53040
Man,"[60,70)",Vrouw,"[30,40)",54180
Man,"[60,70)",Vrouw,"[40,50)",47870
Man,"[60,70)",Vrouw,"[50,60)",54360
Man,"[60,70)",Vrouw,"[60,70)",48600
Man,"[60,70)",Vrouw,"[70,80)",34820
Man,"[60,70)",Vrouw,"[80,120]",4730
Man,"[70,80)",Man,"[0,20)",43170
Man,"[70,80)",Man,"[20,30)",31020
Man,"[70,80)",Man,"[30,40)",27470
Man,"[70,80)",Man,"[40,50)",22440
Man,"[70,80)",Man,"[50,60)",25820
Man,"[70,80)",Man,"[60,70)",24780
Man,"[70,80)",Man,"[70,80)",11350
Man,"[70,80)",Vrouw,"[0,20)",40360
Man,"[70,80)",Vrouw,"[20,30)",24250
Man,"[70,80)",Vrouw,"[30,40)",28190
Man,"[70,80)",Vrouw,"[40,50)",23920
Man,"[70,80)",Vrouw,"[50,60)",28400
Man,"[70,80)",Vrouw,"[60,70)",25180
Man,"[70,80)",Vrouw,"[70,80)",16250
Man,"[70,80)",Vrouw,"[80,120]",810
Man,"[80,120]",Man,"[0,20)",8440
Man,"[80,120]",Man,"[20,30)",3310
Man,"[80,120]",Man,"[30,40)",1950
Man,"[80,120]",Man,"[40,50)",3100
Man,"[80,120]",Man,"[50,60)",2620
Man,"[80,120]",Man,"[60,70)",2480
Man,"[80,120]",Vrouw,"[0,20)",9790
Man,"[80,120]",Vrouw,"[20,30)",5900
Man,"[80,120]",Vrouw,"[30,40)",3520
Man,"[80,120]",Vrouw,"[40,50)",2350
Man,"[80,120]",Vrouw,"[50,60)",3180
Man,"[80,120]",Vrouw,"[60,70)",2710
Vrouw,"[0,20)",Man,"[0,20)",237610
Vrouw,"[0,20)",Man,"[20,30)",137120
Vrouw,"[0,20)",Man,"[30,40)",138100
Vrouw,"[0,20)",Man,"[40,50)",128200
Vrouw,"[0,20)",Man,"[50,60)",117300
Vrouw,"[0,20)",Man,"[60,70)",70890
Vrouw,"[0,20)",Man,"[70,80)",40270
Vrouw,"[0,20)",Man,"[80,120]",9780
Vrouw,"[0,20)",Vrouw,"[0,20)",224920
Vrouw,"[0,20)",Vrouw,"[20,30)",129010
Vrouw,"[0,20)",Vrouw,"[30,40)",157700
Vrouw,"[0,20)",Vrouw,"[40,50)",132320
Vrouw,"[0,20)",Vrouw,"[50,60)",112550
Vrouw,"[0,20)",Vrouw,"[60,70)",77440
Vrouw,"[0,20)",Vrouw,"[70,80)",45050
Vrouw,"[0,20)",Vrouw,"[80,120]",13500
Vrouw,"[20,30)",Man,"[0,20)",132870
Vrouw,"[20,30)",Man,"[20,30)",161600
Vrouw,"[20,30)",Man,"[30,40)",160810
Vrouw,"[20,30)",Man,"[40,50)",97030
Vrouw,"[20,30)",Man,"[50,60)",74400
Vrouw,"[20,30)",Man,"[60,70)",52130
Vrouw,"[20,30)",Man,"[70,80)",23880
Vrouw,"[20,30)",Man,"[80,120]",6000
Vrouw,"[20,30)",Vrouw,"[0,20)",127960
Vrouw,"[20,30)",Vrouw,"[20,30)",218670
Vrouw,"[20,30)",Vrouw,"[30,40)",137930
Vrouw,"[20,30)",Vrouw,"[40,50)",82490
Vrouw,"[20,30)",Vrouw,"[50,60)",68900
Vrouw,"[20,30)",Vrouw,"[60,70)",50600
Vrouw,"[20,30)",Vrouw,"[70,80)",24120
Vrouw,"[20,30)",Vrouw,"[80,120]",6880
Vrouw,"[30,40)",Man,"[0,20)",156990
Vrouw,"[30,40)",Man,"[20,30)",110810
Vrouw,"[30,40)",Man,"[30,40)",474170
Vrouw,"[30,40)",Man,"[40,50)",109500
Vrouw,"[30,40)",Man,"[50,60)",80460
Vrouw,"[30,40)",Man,"[60,70)",53150
Vrouw,"[30,40)",Man,"[70,80)",27230
Vrouw,"[30,40)",Man,"[80,120]",3460
Vrouw,"[30,40)",Vrouw,"[0,20)",154790
Vrouw,"[30,40)",Vrouw,"[20,30)",142160
Vrouw,"[30,40)",Vrouw,"[30,40)",157410
Vrouw,"[30,40)",Vrouw,"[40,50)",94920
Vrouw,"[30,40)",Vrouw,"[50,60)",79470
Vrouw,"[30,40)",Vrouw,"[60,70)",68040
Vrouw,"[30,40)",Vrouw,"[70,80)",27670
Vrouw,"[30,40)",Vrouw,"[80,120]",5750
Vrouw,"[40,50)",Man,"[0,20)",138390
Vrouw,"[40,50)",Man,"[20,30)",81730
Vrouw,"[40,50)",Man,"[30,40)",94000
Vrouw,"[40,50)",Man,"[40,50)",121540
Vrouw,"[40,50)",Man,"[50,60)",75220
Vrouw,"[40,50)",Man,"[60,70)",48060
Vrouw,"[40,50)",Man,"[70,80)",24100
Vrouw,"[40,50)",Man,"[80,120]",1790
Vrouw,"[40,50)",Vrouw,"[0,20)",134260
Vrouw,"[40,50)",Vrouw,"[20,30)",84590
Vrouw,"[40,50)",Vrouw,"[30,40)",98220
Vrouw,"[40,50)",Vrouw,"[40,50)",85180
Vrouw,"[40,50)",Vrouw,"[50,60)",73410
Vrouw,"[40,50)",Vrouw,"[60,70)",52980
Vrouw,"[40,50)",Vrouw,"[70,80)",31450
Vrouw,"[40,50)",Vrouw,"[80,120]",5880
Vrouw,"[50,60)",Man,"[0,20)",117930
Vrouw,"[50,60)",Man,"[20,30)",77290
Vrouw,"[50,60)",Man,"[30,40)",75720
Vrouw,"[50,60)",Man,"[40,50)",67050
Vrouw,"[50,60)",Man,"[50,60)",81610
Vrouw,"[50,60)",Man,"[60,70)",53830
Vrouw,"[50,60)",Man,"[70,80)",28770
Vrouw,"[50,60)",Man,"[80,120]",4650
Vrouw,"[50,60)",Vrouw,"[0,20)",113150
Vrouw,"[50,60)",Vrouw,"[20,30)",74910
Vrouw,"[50,60)",Vrouw,"[30,40)",80780
Vrouw,"[50,60)",Vrouw,"[40,50)",73510
Vrouw,"[50,60)",Vrouw,"[50,60)",85530
Vrouw,"[50,60)",Vrouw,"[60,70)",59350
Vrouw,"[50,60)",Vrouw,"[70,80)",25280
Vrouw,"[50,60)",Vrouw,"[80,120]",3830
Vrouw,"[60,70)",Man,"[0,20)",78130
Vrouw,"[60,70)",Man,"[20,30)",50120
Vrouw,"[60,70)",Man,"[30,40)",57860
Vrouw,"[60,70)",Man,"[40,50)",45140
Vrouw,"[60,70)",Man,"[50,60)",55840
Vrouw,"[60,70)",Man,"[60,70)",48700
Vrouw,"[60,70)",Man,"[70,80)",26140
Vrouw,"[60,70)",Man,"[80,120]",2620
Vrouw,"[60,70)",Vrouw,"[0,20)",76450
Vrouw,"[60,70)",Vrouw,"[20,30)",52590
Vrouw,"[60,70)",Vrouw,"[30,40)",67250
Vrouw,"[60,70)",Vrouw,"[40,50)",53690
Vrouw,"[60,70)",Vrouw,"[50,60)",57580
Vrouw,"[60,70)",Vrouw,"[60,70)",44260
Vrouw,"[60,70)",Vrouw,"[70,80)",24850
Vrouw,"[60,70)",Vrouw,"[80,120]",4180
Vrouw,"[70,80)",Man,"[0,20)",45810
Vrouw,"[70,80)",Man,"[20,30)",20390
Vrouw,"[70,80)",Man,"[30,40)",27200
Vrouw,"[70,80)",Man,"[40,50)",27190
Vrouw,"[70,80)",Man,"[50,60)",31260
Vrouw,"[70,80)",Man,"[60,70)",22710
Vrouw,"[70,80)",Man,"[70,80)",20040
Vrouw,"[70,80)",Vrouw,"[0,20)",45190
Vrouw,"[70,80)",Vrouw,"[20,30)",26020
Vrouw,"[70,80)",Vrouw,"[30,40)",27380
Vrouw,"[70,80)",Vrouw,"[40,50)",31420
Vrouw,"[70,80)",Vrouw,"[50,60)",26030
Vrouw,"[70,80)",Vrouw,"[60,70)",26090
Vrouw,"[70,80)",Vrouw,"[70,80)",30050
Vrouw,"[70,80)",Vrouw,"[80,120]",3930
Vrouw,"[80,120]",Man,"[0,20)",13590
Vrouw,"[80,120]",Man,"[20,30)",5360
Vrouw,"[80,120]",Man,"[30,40)",6860
Vrouw,"[80,120]",Man,"[40,50)",6290
Vrouw,"[80,120]",Man,"[50,60)",5750
Vrouw,"[80,120]",Man,"[60,70)",5020
Vrouw,"[80,120]",Man,"[70,80)",1440
Vrouw,"[80,120]",Vrouw,"[0,20)",12570
Vrouw,"[80,120]",Vrouw,"[20,30)",6170
Vrouw,"[80,120]",Vrouw,"[30,40)",6500
Vrouw,"[80,120]",Vrouw,"[40,50)",5440
Vrouw,"[80,120]",Vrouw,"[50,60)",2980
Vrouw,"[80,120]",Vrouw,"[60,70)",5120
Vrouw,"[80,120]",Vrouw,"[70,80)",240
