geslacht_src,lft_src,etngrp_src,geslacht_dst,lft_dst,etngrp_dst,n
Man,"[0,20)",Autochtoon,Man,"[0,20)",Autochtoon,47690
Man,"[0,20)",Autochtoon,Man,"[0,20)",Marokkaans,8810
Man,"[0,20)",Autochtoon,Man,"[0,20)",Overig,26390
Man,"[0,20)",Autochtoon,Man,"[0,20)",Surinaams,4650
Man,"[0,20)",Autochtoon,Man,"[0,20)",Turks,4510
Man,"[0,20)",Autochtoon,Man,"[20,30)",Autochtoon,19740
Man,"[0,20)",Autochtoon,Man,"[20,30)",Marokkaans,3250
Man,"[0,20)",Autochtoon,Man,"[20,30)",Overig,13900
Man,"[0,20)",Autochtoon,Man,"[20,30)",Surinaams,3090
Man,"[0,20)",Autochtoon,Man,"[20,30)",Turks,2420
Man,"[0,20)",Autochtoon,Man,"[30,40)",Autochtoon,26380
Man,"[0,20)",Autochtoon,Man,"[30,40)",Marokkaans,3690
Man,"[0,20)",Autochtoon,Man,"[30,40)",Overig,20930
Man,"[0,20)",Autochtoon,Man,"[30,40)",Surinaams,2850
Man,"[0,20)",Autochtoon,Man,"[30,40)",Turks,2420
Man,"[0,20)",Autochtoon,Man,"[40,50)",Autochtoon,30460
Man,"[0,20)",Autochtoon,Man,"[40,50)",Marokkaans,4200
Man,"[0,20)",Autochtoon,Man,"[40,50)",Overig,15590
Man,"[0,20)",Autochtoon,Man,"[40,50)",Surinaams,2870
Man,"[0,20)",Autochtoon,Man,"[40,50)",Turks,2930
Man,"[0,20)",Autochtoon,Man,"[50,60)",Autochtoon,30730
Man,"[0,20)",Autochtoon,Man,"[50,60)",Marokkaans,2210
Man,"[0,20)",Autochtoon,Man,"[50,60)",Overig,11790
Man,"[0,20)",Autochtoon,Man,"[50,60)",Surinaams,3230
Man,"[0,20)",Autochtoon,Man,"[50,60)",Turks,1910
Man,"[0,20)",Autochtoon,Man,"[60,70)",Autochtoon,21270
Man,"[0,20)",Autochtoon,Man,"[60,70)",Marokkaans,1040
Man,"[0,20)",Autochtoon,Man,"[60,70)",Overig,7110
Man,"[0,20)",Autochtoon,Man,"[60,70)",Surinaams,1970
Man,"[0,20)",Autochtoon,Man,"[60,70)",Turks,650
Man,"[0,20)",Autochtoon,Man,"[70,80)",Autochtoon,12310
Man,"[0,20)",Autochtoon,Man,"[70,80)",Marokkaans,670
Man,"[0,20)",Autochtoon,Man,"[70,80)",Overig,3890
Man,"[0,20)",Autochtoon,Man,"[70,80)",Surinaams,290
Man,"[0,20)",Autochtoon,Man,"[70,80)",Turks,390
Man,"[0,20)",Autochtoon,Man,"[80,120]",Autochtoon,3070
Man,"[0,20)",Autochtoon,Man,"[80,120]",Marokkaans,20
Man,"[0,20)",Autochtoon,Man,"[80,120]",Overig,640
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Autochtoon,45790
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Marokkaans,8270
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Overig,24940
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Surinaams,4570
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Turks,4160
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Autochtoon,22820
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Marokkaans,3810
