geslacht_src,lft_src,etngrp_src,oplniv_src,geslacht_dst,lft_dst,etngrp_dst,oplniv_dst,n
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,1,43120
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,2,2140
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,3,40
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Marokkaans,1,8270
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Marokkaans,2,310
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Overig,1,23980
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Overig,2,960
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Overig,3,10
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Surinaams,1,4180
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Surinaams,2,290
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Turks,1,3950
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Turks,2,170
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,1,1420
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,2,7890
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,3,8970
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,1,780
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,2,1970
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,3,380
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,1,1330
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,2,4740
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,3,3900
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,1,600
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,2,1940
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,3,410
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,1,460
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,2,1280
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,3,580
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Autochtoon,1,1300
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Autochtoon,2,4940
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Autochtoon,3,18900
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Marokkaans,1,1110
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Marokkaans,2,1610
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Marokkaans,3,880
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Overig,1,2090
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Overig,2,3530
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Overig,3,14730
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Surinaams,1,630
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Surinaams,2,1260
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Surinaams,3,840
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Turks,1,660
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Turks,2,1010
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Turks,3,660
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Autochtoon,1,1610
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Autochtoon,2,6270
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Autochtoon,3,21110
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Marokkaans,1,1830
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Marokkaans,2,1500
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Marokkaans,3,790
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Overig,1,2080
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Overig,2,4520
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Overig,3,8100
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Surinaams,1,730
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Surinaams,2,1200
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Surinaams,3,830
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Turks,1,1050
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Turks,2,1330
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Turks,3,460
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Autochtoon,1,3830
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Autochtoon,2,8520
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Autochtoon,3,16470
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Marokkaans,1,1300
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Marokkaans,2,550
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Marokkaans,3,240
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Overig,1,1940
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Overig,2,4150
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Overig,3,5140
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Surinaams,1,1290
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Surinaams,2,1140
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Surinaams,3,670
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Turks,1,1260
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Turks,2,410
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Turks,3,150
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Autochtoon,1,3230
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Autochtoon,2,5910
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Autochtoon,3,10720
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Marokkaans,1,770
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Marokkaans,2,210
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Marokkaans,3,40
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Overig,1,1480
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Overig,2,2080
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Overig,3,3080
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Surinaams,1,570
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Surinaams,2,760
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Surinaams,3,470
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Turks,1,420
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Turks,2,160
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Turks,3,70
Man,"[0,20)",Autochtoon,1,Man,"[70,80)",Autochtoon,1,2300
Man,"[0,20)",Autochtoon,1,Man,"[70,80)",Autochtoon,2,3470
Man,"[0,20)",Autochtoon,1,Man,"[70,80)",Autochtoon,3,5820
Man,"[0,20)",Autochtoon,1,Man,"[70,80)",Marokkaans,1,670
Man,"[0,20)",Autochtoon,1,Man,"[70,80)",Overig,1,660
Man,"[0,20)",Autochtoon,1,Man,"[70,80)",Overig,2,1450
Man,"[0,20)",Autochtoon,1,Man,"[70,80)",Overig,3,1590
Man,"[0,20)",Autochtoon,1,Man,"[70,80)",Surinaams,1,110
Man,"[0,20)",Autochtoon,1,Man,"[70,80)",Surinaams,2,90
