geslacht_src,lft_src,oplniv_src,geslacht_dst,lft_dst,oplniv_dst,n
Man,"[0,20)",1,Man,"[0,20)",1,228500
Man,"[0,20)",1,Man,"[0,20)",2,10340
Man,"[0,20)",1,Man,"[0,20)",3,80
Man,"[0,20)",1,Man,"[20,30)",1,18420
Man,"[0,20)",1,Man,"[20,30)",2,57160
Man,"[0,20)",1,Man,"[20,30)",3,39410
Man,"[0,20)",1,Man,"[30,40)",1,22820
Man,"[0,20)",1,Man,"[30,40)",2,38830
Man,"[0,20)",1,Man,"[30,40)",3,70110
Man,"[0,20)",1,Man,"[40,50)",1,31310
Man,"[0,20)",1,Man,"[40,50)",2,41210
Man,"[0,20)",1,Man,"[40,50)",3,58310
Man,"[0,20)",1,Man,"[50,60)",1,35350
Man,"[0,20)",1,Man,"[50,60)",2,43700
Man,"[0,20)",1,Man,"[50,60)",3,44180
Man,"[0,20)",1,Man,"[60,70)",1,22320
Man,"[0,20)",1,Man,"[60,70)",2,21340
Man,"[0,20)",1,Man,"[60,70)",3,27470
Man,"[0,20)",1,Man,"[70,80)",1,16020
Man,"[0,20)",1,Man,"[70,80)",2,11360
Man,"[0,20)",1,Man,"[70,80)",3,14240
Man,"[0,20)",1,Man,"[80,120]",1,3350
Man,"[0,20)",1,Man,"[80,120]",2,3540
Man,"[0,20)",1,Man,"[80,120]",3,1920
Man,"[0,20)",1,Vrouw,"[0,20)",1,215720
Man,"[0,20)",1,Vrouw,"[0,20)",2,12750
Man,"[0,20)",1,Vrouw,"[0,20)",3,40
Man,"[0,20)",1,Vrouw,"[20,30)",1,13920
Man,"[0,20)",1,Vrouw,"[20,30)",2,59810
Man,"[0,20)",1,Vrouw,"[20,30)",3,56060
Man,"[0,20)",1,Vrouw,"[30,40)",1,25040
Man,"[0,20)",1,Vrouw,"[30,40)",2,44880
Man,"[0,20)",1,Vrouw,"[30,40)",3,81450
Man,"[0,20)",1,Vrouw,"[40,50)",1,34760
Man,"[0,20)",1,Vrouw,"[40,50)",2,35920
Man,"[0,20)",1,Vrouw,"[40,50)",3,63230
Man,"[0,20)",1,Vrouw,"[50,60)",1,36450
Man,"[0,20)",1,Vrouw,"[50,60)",2,33870
Man,"[0,20)",1,Vrouw,"[50,60)",3,41630
Man,"[0,20)",1,Vrouw,"[60,70)",1,28360
Man,"[0,20)",1,Vrouw,"[60,70)",2,20250
Man,"[0,20)",1,Vrouw,"[60,70)",3,25210
Man,"[0,20)",1,Vrouw,"[70,80)",1,22870
Man,"[0,20)",1,Vrouw,"[70,80)",2,11570
Man,"[0,20)",1,Vrouw,"[70,80)",3,11330
Man,"[0,20)",1,Vrouw,"[80,120]",1,7880
Man,"[0,20)",1,Vrouw,"[80,120]",2,5080
Man,"[0,20)",1,Vrouw,"[80,120]",3,2460
Man,"[0,20)",2,Man,"[0,20)",1,10480
Man,"[0,20)",2,Man,"[0,20)",2,740
Man,"[0,20)",2,Man,"[20,30)",1,880
Man,"[0,20)",2,Man,"[20,30)",2,4180
Man,"[0,20)",2,Man,"[20,30)",3,8380
Man,"[0,20)",2,Man,"[30,40)",1,1310
Man,"[0,20)",2,Man,"[30,40)",2,1540
Man,"[0,20)",2,Man,"[30,40)",3,2780
