geslacht_src,oplniv_src,geslacht_dst,oplniv_dst,n
Man,1,Man,1,689420
Man,1,Man,2,410410
Man,1,Man,3,390440
Man,1,Vrouw,1,763460
Man,1,Vrouw,2,417970
Man,1,Vrouw,3,450290
Man,2,Man,1,404160
Man,2,Man,2,317820
Man,2,Man,3,340180
Man,2,Vrouw,1,406560
Man,2,Vrouw,2,267270
Man,2,Vrouw,3,357160
Man,3,Man,1,389260
Man,3,Man,2,338660
Man,3,Man,3,5943720
Man,3,Vrouw,1,379930
Man,3,Vrouw,2,299060
Man,3,Vrouw,3,959590
Vrouw,1,Man,1,763890
Vrouw,1,Man,2,410150
Vrouw,1,Man,3,391400
Vrouw,1,Vrouw,1,706330
Vrouw,1,Vrouw,2,391450
Vrouw,1,Vrouw,3,427590
Vrouw,2,Man,1,407260
Vrouw,2,Man,2,268810
Vrouw,2,Man,3,301650
Vrouw,2,Vrouw,1,384750
Vrouw,2,Vrouw,2,284040
Vrouw,2,Vrouw,3,331330
Vrouw,3,Man,1,440760
Vrouw,3,Man,2,364630
Vrouw,3,Man,3,950350
Vrouw,3,Vrouw,1,432690
Vrouw,3,Vrouw,2,331940
Vrouw,3,Vrouw,3,768420
