lft_src,lft_dst,n
"[0,20)","[0,20)",952130
"[0,20)","[20,30)",531420
"[0,20)","[30,40)",590420
"[0,20)","[40,50)",536570
"[0,20)","[50,60)",476500
"[0,20)","[60,70)",301440
"[0,20)","[70,80)",175750
"[0,20)","[80,120]",47510
"[20,30)","[0,20)",508690
"[20,30)","[20,30)",5969380
"[20,30)","[30,40)",522110
"[20,30)","[40,50)",332340
"[20,30)","[50,60)",293500
"[20,30)","[60,70)",196580
"[20,30)","[70,80)",97620
"[20,30)","[80,120]",20840
"[30,40)","[0,20)",585420
"[30,40)","[20,30)",534460
"[30,40)","[30,40)",1268030
"[30,40)","[40,50)",409830
"[30,40)","[50,60)",326900
"[30,40)","[60,70)",249220
"[30,40)","[70,80)",108180
"[30,40)","[80,120]",18460
"[40,50)","[0,20)",534600
"[40,50)","[20,30)",336560
"[40,50)","[30,40)",411770
"[40,50)","[40,50)",419170
"[40,50)","[50,60)",295230
"[40,50)","[60,70)",196510
"[40,50)","[70,80)",102450
"[40,50)","[80,120]",17480
"[50,60)","[0,20)",477180
"[50,60)","[20,30)",313760
"[50,60)","[30,40)",330860
"[50,60)","[40,50)",295930
"[50,60)","[50,60)",342600
"[50,60)","[60,70)",229620
"[50,60)","[70,80)",108570
"[50,60)","[80,120]",16660
"[60,70)","[0,20)",301040
"[60,70)","[20,30)",201640
"[60,70)","[30,40)",245260
"[60,70)","[40,50)",195700
"[60,70)","[50,60)",231240
"[60,70)","[60,70)",182700
"[60,70)","[70,80)",112530
"[60,70)","[80,120]",13640
"[70,80)","[0,20)",174530
"[70,80)","[20,30)",101680
"[70,80)","[30,40)",110240
"[70,80)","[40,50)",104970
"[70,80)","[50,60)",111510
"[70,80)","[60,70)",98760
"[70,80)","[70,80)",77690
"[70,80)","[80,120]",4740
"[80,120]","[0,20)",44390
"[80,120]","[20,30)",20740
"[80,120]","[30,40)",18830
"[80,120]","[40,50)",17180
"[80,120]","[50,60)",14530
"[80,120]","[60,70)",15330
"[80,120]","[70,80)",1680
