lft_src,etngrp_src,oplniv_src,lft_dst,etngrp_dst,oplniv_dst,n
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,1,164200
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,2,9110
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,3,80
"[0,20)",Autochtoon,1,"[0,20)",Marokkaans,1,31190
"[0,20)",Autochtoon,1,"[0,20)",Marokkaans,2,1400
"[0,20)",Autochtoon,1,"[0,20)",Overig,1,90020
"[0,20)",Autochtoon,1,"[0,20)",Overig,2,4130
"[0,20)",Autochtoon,1,"[0,20)",Overig,3,80
"[0,20)",Autochtoon,1,"[0,20)",Surinaams,1,15830
"[0,20)",Autochtoon,1,"[0,20)",Surinaams,2,1140
"[0,20)",Autochtoon,1,"[0,20)",Turks,1,14680
"[0,20)",Autochtoon,1,"[0,20)",Turks,2,760
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,1,4380
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,2,29950
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,3,42930
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,1,2460
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,2,8250
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,3,2150
"[0,20)",Autochtoon,1,"[20,30)",Overig,1,4490
"[0,20)",Autochtoon,1,"[20,30)",Overig,2,18540
"[0,20)",Autochtoon,1,"[20,30)",Overig,3,35810
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,1,1960
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,2,7240
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,3,2080
"[0,20)",Autochtoon,1,"[20,30)",Turks,1,2910
"[0,20)",Autochtoon,1,"[20,30)",Turks,2,4980
"[0,20)",Autochtoon,1,"[20,30)",Turks,3,1810
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,1,4160
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,2,16010
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,3,78680
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,1,4450
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,2,6410
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,3,4430
"[0,20)",Autochtoon,1,"[30,40)",Overig,1,9430
"[0,20)",Autochtoon,1,"[30,40)",Overig,2,15550
"[0,20)",Autochtoon,1,"[30,40)",Overig,3,56760
"[0,20)",Autochtoon,1,"[30,40)",Surinaams,1,2240
"[0,20)",Autochtoon,1,"[30,40)",Surinaams,2,5350
"[0,20)",Autochtoon,1,"[30,40)",Surinaams,3,4510
"[0,20)",Autochtoon,1,"[30,40)",Turks,1,2910
"[0,20)",Autochtoon,1,"[30,40)",Turks,2,4480
"[0,20)",Autochtoon,1,"[30,40)",Turks,3,3130
"[0,20)",Autochtoon,1,"[40,50)",Autochtoon,1,6460
"[0,20)",Autochtoon,1,"[40,50)",Autochtoon,2,21540
"[0,20)",Autochtoon,1,"[40,50)",Autochtoon,3,82910
"[0,20)",Autochtoon,1,"[40,50)",Marokkaans,1,6820
"[0,20)",Autochtoon,1,"[40,50)",Marokkaans,2,5060
"[0,20)",Autochtoon,1,"[40,50)",Marokkaans,3,2930
"[0,20)",Autochtoon,1,"[40,50)",Overig,1,9870
"[0,20)",Autochtoon,1,"[40,50)",Overig,2,17280
"[0,20)",Autochtoon,1,"[40,50)",Overig,3,36130
"[0,20)",Autochtoon,1,"[40,50)",Surinaams,1,2790
"[0,20)",Autochtoon,1,"[40,50)",Surinaams,2,5390
"[0,20)",Autochtoon,1,"[40,50)",Surinaams,3,3820
"[0,20)",Autochtoon,1,"[40,50)",Turks,1,3900
"[0,20)",Autochtoon,1,"[40,50)",Turks,2,3440
"[0,20)",Autochtoon,1,"[40,50)",Turks,3,2000
"[0,20)",Autochtoon,1,"[50,60)",Autochtoon,1,13570
"[0,20)",Autochtoon,1,"[50,60)",Autochtoon,2,31120
"[0,20)",Autochtoon,1,"[50,60)",Autochtoon,3,60310
"[0,20)",Autochtoon,1,"[50,60)",Marokkaans,1,5390
"[0,20)",Autochtoon,1,"[50,60)",Marokkaans,2,1860
"[0,20)",Autochtoon,1,"[50,60)",Marokkaans,3,660
"[0,20)",Autochtoon,1,"[50,60)",Overig,1,9630
"[0,20)",Autochtoon,1,"[50,60)",Overig,2,14890
"[0,20)",Autochtoon,1,"[50,60)",Overig,3,20760
"[0,20)",Autochtoon,1,"[50,60)",Surinaams,1,4570
"[0,20)",Autochtoon,1,"[50,60)",Surinaams,2,5690
"[0,20)",Autochtoon,1,"[50,60)",Surinaams,3,3220
"[0,20)",Autochtoon,1,"[50,60)",Turks,1,3920
"[0,20)",Autochtoon,1,"[50,60)",Turks,2,1610
"[0,20)",Autochtoon,1,"[50,60)",Turks,3,800
"[0,20)",Autochtoon,1,"[60,70)",Autochtoon,1,13460
"[0,20)",Autochtoon,1,"[60,70)",Autochtoon,2,21080
"[0,20)",Autochtoon,1,"[60,70)",Autochtoon,3,38320
"[0,20)",Autochtoon,1,"[60,70)",Marokkaans,1,3860
"[0,20)",Autochtoon,1,"[60,70)",Marokkaans,2,450
"[0,20)",Autochtoon,1,"[60,70)",Marokkaans,3,190
"[0,20)",Autochtoon,1,"[60,70)",Overig,1,6220
"[0,20)",Autochtoon,1,"[60,70)",Overig,2,8650
"[0,20)",Autochtoon,1,"[60,70)",Overig,3,11570
"[0,20)",Autochtoon,1,"[60,70)",Surinaams,1,2850
"[0,20)",Autochtoon,1,"[60,70)",Surinaams,2,2950
"[0,20)",Autochtoon,1,"[60,70)",Surinaams,3,2300
"[0,20)",Autochtoon,1,"[60,70)",Turks,1,1730
"[0,20)",Autochtoon,1,"[60,70)",Turks,2,330
"[0,20)",Autochtoon,1,"[60,70)",Turks,3,220
"[0,20)",Autochtoon,1,"[70,80)",Autochtoon,1,14390
"[0,20)",Autochtoon,1,"[70,80)",Autochtoon,2,12450
"[0,20)",Autochtoon,1,"[70,80)",Autochtoon,3,18890
"[0,20)",Autochtoon,1,"[70,80)",Marokkaans,1,3580
"[0,20)",Autochtoon,1,"[70,80)",Overig,1,2490
"[0,20)",Autochtoon,1,"[70,80)",Overig,2,4370
"[0,20)",Autochtoon,1,"[70,80)",Overig,3,5030
"[0,20)",Autochtoon,1,"[70,80)",Surinaams,1,1050
"[0,20)",Autochtoon,1,"[70,80)",Surinaams,2,690
"[0,20)",Autochtoon,1,"[70,80)",Surinaams,3,500
"[0,20)",Autochtoon,1,"[70,80)",Turks,1,1800
"[0,20)",Autochtoon,1,"[80,120]",Autochtoon,1,7270
"[0,20)",Autochtoon,1,"[80,120]",Autochtoon,2,7040
"[0,20)",Autochtoon,1,"[80,120]",Autochtoon,3,3990
"[0,20)",Autochtoon,1,"[80,120]",Marokkaans,1,160
"[0,20)",Autochtoon,1,"[80,120]",Overig,1,730
"[0,20)",Autochtoon,1,"[80,120]",Overig,2,420
"[0,20)",Autochtoon,1,"[80,120]",Overig,3,1670
"[0,20)",Autochtoon,2,"[0,20)",Autochtoon,1,9000
"[0,20)",Autochtoon,2,"[0,20)",Autochtoon,2,1490
"[0,20)",Autochtoon,2,"[0,20)",Marokkaans,1,1190
"[0,20)",Autochtoon,2,"[0,20)",Marokkaans,2,80
"[0,20)",Autochtoon,2,"[0,20)",Overig,1,6110
"[0,20)",Autochtoon,2,"[0,20)",Overig,2,590
"[0,20)",Autochtoon,2,"[0,20)",Surinaams,1,730
"[0,20)",Autochtoon,2,"[0,20)",Surinaams,2,100
"[0,20)",Autochtoon,2,"[0,20)",Turks,1,970
"[0,20)",Autochtoon,2,"[0,20)",Turks,2,20
"[0,20)",Autochtoon,2,"[20,30)",Autochtoon,1,310
"[0,20)",Autochtoon,2,"[20,30)",Autochtoon,2,3780
"[0,20)",Autochtoon,2,"[20,30)",Autochtoon,3,3640
"[0,20)",Autochtoon,2,"[20,30)",Marokkaans,1,120
"[0,20)",Autochtoon,2,"[20,30)",Marokkaans,2,360
"[0,20)",Autochtoon,2,"[20,30)",Marokkaans,3,100
"[0,20)",Autochtoon,2,"[20,30)",Overig,1,310
"[0,20)",Autochtoon,2,"[20,30)",Overig,2,2080
"[0,20)",Autochtoon,2,"[20,30)",Overig,3,10170
"[0,20)",Autochtoon,2,"[20,30)",Surinaams,1,100
"[0,20)",Autochtoon,2,"[20,30)",Surinaams,2,490
"[0,20)",Autochtoon,2,"[20,30)",Surinaams,3,160
"[0,20)",Autochtoon,2,"[20,30)",Turks,1,50
"[0,20)",Autochtoon,2,"[20,30)",Turks,2,280
"[0,20)",Autochtoon,2,"[20,30)",Turks,3,90
"[0,20)",Autochtoon,2,"[30,40)",Autochtoon,1,270
"[0,20)",Autochtoon,2,"[30,40)",Autochtoon,2,890
"[0,20)",Autochtoon,2,"[30,40)",Autochtoon,3,4300
"[0,20)",Autochtoon,2,"[30,40)",Marokkaans,1,140
"[0,20)",Autochtoon,2,"[30,40)",Marokkaans,2,200
"[0,20)",Autochtoon,2,"[30,40)",Marokkaans,3,170
"[0,20)",Autochtoon,2,"[30,40)",Overig,1,380
"[0,20)",Autochtoon,2,"[30,40)",Overig,2,560
"[0,20)",Autochtoon,2,"[30,40)",Overig,3,2460
"[0,20)",Autochtoon,2,"[30,40)",Surinaams,1,90
"[0,20)",Autochtoon,2,"[30,40)",Surinaams,2,260
"[0,20)",Autochtoon,2,"[30,40)",Surinaams,3,210
"[0,20)",Autochtoon,2,"[30,40)",Turks,1,130
"[0,20)",Autochtoon,2,"[30,40)",Turks,2,150
"[0,20)",Autochtoon,2,"[30,40)",Turks,3,400
"[0,20)",Autochtoon,2,"[40,50)",Autochtoon,1,340
"[0,20)",Autochtoon,2,"[40,50)",Autochtoon,2,1310
"[0,20)",Autochtoon,2,"[40,50)",Autochtoon,3,4670
"[0,20)",Autochtoon,2,"[40,50)",Marokkaans,1,220
"[0,20)",Autochtoon,2,"[40,50)",Marokkaans,2,200
"[0,20)",Autochtoon,2,"[40,50)",Marokkaans,3,90
"[0,20)",Autochtoon,2,"[40,50)",Overig,1,320
"[0,20)",Autochtoon,2,"[40,50)",Overig,2,970
"[0,20)",Autochtoon,2,"[40,50)",Overig,3,2520
"[0,20)",Autochtoon,2,"[40,50)",Surinaams,1,130
"[0,20)",Autochtoon,2,"[40,50)",Surinaams,2,220
"[0,20)",Autochtoon,2,"[40,50)",Surinaams,3,270
"[0,20)",Autochtoon,2,"[40,50)",Turks,1,130
"[0,20)",Autochtoon,2,"[40,50)",Turks,2,120
"[0,20)",Autochtoon,2,"[40,50)",Turks,3,100
"[0,20)",Autochtoon,2,"[50,60)",Autochtoon,1,690
"[0,20)",Autochtoon,2,"[50,60)",Autochtoon,2,2440
"[0,20)",Autochtoon,2,"[50,60)",Autochtoon,3,4960
"[0,20)",Autochtoon,2,"[50,60)",Marokkaans,1,160
"[0,20)",Autochtoon,2,"[50,60)",Marokkaans,2,160
"[0,20)",Autochtoon,2,"[50,60)",Marokkaans,3,10
"[0,20)",Autochtoon,2,"[50,60)",Overig,1,530
"[0,20)",Autochtoon,2,"[50,60)",Overig,2,820
"[0,20)",Autochtoon,2,"[50,60)",Overig,3,1610
"[0,20)",Autochtoon,2,"[50,60)",Surinaams,1,250
"[0,20)",Autochtoon,2,"[50,60)",Surinaams,2,420
"[0,20)",Autochtoon,2,"[50,60)",Surinaams,3,200
"[0,20)",Autochtoon,2,"[50,60)",Turks,1,270
"[0,20)",Autochtoon,2,"[50,60)",Turks,2,110
"[0,20)",Autochtoon,2,"[50,60)",Turks,3,40
"[0,20)",Autochtoon,2,"[60,70)",Autochtoon,1,850
"[0,20)",Autochtoon,2,"[60,70)",Autochtoon,2,1660
"[0,20)",Autochtoon,2,"[60,70)",Autochtoon,3,3370
"[0,20)",Autochtoon,2,"[60,70)",Marokkaans,1,150
"[0,20)",Autochtoon,2,"[60,70)",Overig,1,370
"[0,20)",Autochtoon,2,"[60,70)",Overig,2,540
"[0,20)",Autochtoon,2,"[60,70)",Overig,3,960
"[0,20)",Autochtoon,2,"[60,70)",Surinaams,1,90
"[0,20)",Autochtoon,2,"[60,70)",Surinaams,2,180
"[0,20)",Autochtoon,2,"[60,70)",Surinaams,3,250
"[0,20)",Autochtoon,2,"[60,70)",Turks,1,20
"[0,20)",Autochtoon,2,"[70,80)",Autochtoon,1,910
"[0,20)",Autochtoon,2,"[70,80)",Autochtoon,2,870
"[0,20)",Autochtoon,2,"[70,80)",Autochtoon,3,1360
"[0,20)",Autochtoon,2,"[70,80)",Marokkaans,1,40
"[0,20)",Autochtoon,2,"[70,80)",Overig,1,80
"[0,20)",Autochtoon,2,"[70,80)",Overig,2,90
"[0,20)",Autochtoon,2,"[70,80)",Overig,3,440
"[0,20)",Autochtoon,3,"[0,20)",Autochtoon,1,100
"[0,20)",Autochtoon,3,"[0,20)",Overig,1,30
"[0,20)",Autochtoon,3,"[20,30)",Autochtoon,2,10
"[0,20)",Autochtoon,3,"[20,30)",Autochtoon,3,20
"[0,20)",Autochtoon,3,"[30,40)",Autochtoon,3,20
"[0,20)",Autochtoon,3,"[40,50)",Autochtoon,3,50
"[0,20)",Autochtoon,3,"[50,60)",Autochtoon,3,70
"[0,20)",Marokkaans,1,"[0,20)",Autochtoon,1,30800
"[0,20)",Marokkaans,1,"[0,20)",Autochtoon,2,1080
"[0,20)",Marokkaans,1,"[0,20)",Marokkaans,1,66900
"[0,20)",Marokkaans,1,"[0,20)",Marokkaans,2,3190
