lft_src,oplniv_src,lft_dst,oplniv_dst,n
"[0,20)",1,"[0,20)",1,857810
"[0,20)",1,"[0,20)",2,44400
"[0,20)",1,"[0,20)",3,240
"[0,20)",1,"[20,30)",1,62150
"[0,20)",1,"[20,30)",2,220880
"[0,20)",1,"[20,30)",3,204180
"[0,20)",1,"[30,40)",1,93200
"[0,20)",1,"[30,40)",2,167640
"[0,20)",1,"[30,40)",3,303050
"[0,20)",1,"[40,50)",1,128910
"[0,20)",1,"[40,50)",2,148130
"[0,20)",1,"[40,50)",3,233530
"[0,20)",1,"[50,60)",1,140590
"[0,20)",1,"[50,60)",2,146140
"[0,20)",1,"[50,60)",3,162800
"[0,20)",1,"[60,70)",1,98930
"[0,20)",1,"[60,70)",2,80300
"[0,20)",1,"[60,70)",3,104720
"[0,20)",1,"[70,80)",1,74840
"[0,20)",1,"[70,80)",2,44400
"[0,20)",1,"[70,80)",3,50050
"[0,20)",1,"[80,120]",1,21950
"[0,20)",1,"[80,120]",2,15900
"[0,20)",1,"[80,120]",3,9660
"[0,20)",2,"[0,20)",1,44690
"[0,20)",2,"[0,20)",2,4720
"[0,20)",2,"[20,30)",1,3170
"[0,20)",2,"[20,30)",2,17940
"[0,20)",2,"[20,30)",3,23070
"[0,20)",2,"[30,40)",1,4360
"[0,20)",2,"[30,40)",2,6970
"[0,20)",2,"[30,40)",3,15170
"[0,20)",2,"[40,50)",1,6210
"[0,20)",2,"[40,50)",2,7480
"[0,20)",2,"[40,50)",3,12250
"[0,20)",2,"[50,60)",1,7390
"[0,20)",2,"[50,60)",2,8530
"[0,20)",2,"[50,60)",3,10980
"[0,20)",2,"[60,70)",1,5200
"[0,20)",2,"[60,70)",2,5210
"[0,20)",2,"[60,70)",3,7080
"[0,20)",2,"[70,80)",1,2550
"[0,20)",2,"[70,80)",2,1370
"[0,20)",2,"[70,80)",3,2540
"[0,20)",3,"[0,20)",1,270
"[0,20)",3,"[20,30)",2,10
"[0,20)",3,"[20,30)",3,20
"[0,20)",3,"[30,40)",3,30
"[0,20)",3,"[40,50)",3,60
"[0,20)",3,"[50,60)",3,70
"[20,30)",1,"[0,20)",1,62580
"[20,30)",1,"[0,20)",2,3210
"[20,30)",1,"[20,30)",1,8000
"[20,30)",1,"[20,30)",2,25230
"[20,30)",1,"[20,30)",3,21160
"[20,30)",1,"[30,40)",1,9360
"[20,30)",1,"[30,40)",2,19300
"[20,30)",1,"[30,40)",3,17660
"[20,30)",1,"[40,50)",1,15010
"[20,30)",1,"[40,50)",2,11270
"[20,30)",1,"[40,50)",3,11280
"[20,30)",1,"[50,60)",1,14310
"[20,30)",1,"[50,60)",2,9920
"[20,30)",1,"[50,60)",3,7220
"[20,30)",1,"[60,70)",1,9220
"[20,30)",1,"[60,70)",2,5910
"[20,30)",1,"[60,70)",3,5710
"[20,30)",1,"[70,80)",1,5300
"[20,30)",1,"[70,80)",2,2900
"[20,30)",1,"[70,80)",3,1090
"[20,30)",2,"[0,20)",1,216100
"[20,30)",2,"[0,20)",2,17040
