etngrp_src,etngrp_dst,n
Autochtoon,Autochtoon,1549040
Autochtoon,Marokkaans,55720
Autochtoon,Overig,198290
Autochtoon,Surinaams,47070
Autochtoon,Turks,19120
Marokkaans,Autochtoon,55720
Marokkaans,Marokkaans,1148520
Marokkaans,Overig,13860
Marokkaans,Surinaams,1000
Marokkaans,Turks,1360
Overig,Autochtoon,198290
Overig,Marokkaans,13860
Overig,Overig,1739620
Overig,Surinaams,16070
Overig,Turks,3760
Surinaams,Autochtoon,47070
Surinaams,Marokkaans,1000
Surinaams,Overig,16070
Surinaams,Surinaams,400510
Surinaams,Turks,40
Turks,Autochtoon,19120
Turks,Marokkaans,1360
Turks,Overig,3760
Turks,Surinaams,40
Turks,Turks,434910
