etngrp_src,geslacht_src,etngrp_dst,geslacht_dst,n
Autochtoon,Man,Autochtoon,Man,268760
Autochtoon,Man,Autochtoon,Vrouw,497540
Autochtoon,Man,Marokkaans,Man,13900
Autochtoon,Man,Marokkaans,Vrouw,14750
Autochtoon,Man,Overig,Man,31350
Autochtoon,Man,Overig,Vrouw,65890
Autochtoon,Man,Surinaams,Man,8690
Autochtoon,Man,Surinaams,Vrouw,16030
Autochtoon,Man,Turks,Man,4770
Autochtoon,Man,Turks,Vrouw,5110
Autochtoon,Vrouw,Autochtoon,Man,497530
Autochtoon,Vrouw,Autochtoon,Vrouw,285210
Autochtoon,Vrouw,Marokkaans,Man,13510
Autochtoon,Vrouw,Marokkaans,Vrouw,13560
Autochtoon,Vrouw,Overig,Man,69950
Autochtoon,Vrouw,Overig,Vrouw,31100
Autochtoon,Vrouw,Surinaams,Man,10670
Autochtoon,Vrouw,Surinaams,Vrouw,11680
Autochtoon,Vrouw,Turks,Man,4660
Autochtoon,Vrouw,Turks,Vrouw,4580
Marokkaans,Man,Autochtoon,Man,13900
Marokkaans,Man,Autochtoon,Vrouw,13510
Marokkaans,Man,Marokkaans,Man,268040
Marokkaans,Man,Marokkaans,Vrouw,318490
Marokkaans,Man,Overig,Man,3930
Marokkaans,Man,Overig,Vrouw,3700
Marokkaans,Man,Surinaams,Man,270
Marokkaans,Man,Surinaams,Vrouw,270
Marokkaans,Man,Turks,Man,500
Marokkaans,Man,Turks,Vrouw,290
Marokkaans,Vrouw,Autochtoon,Man,14750
Marokkaans,Vrouw,Autochtoon,Vrouw,13560
Marokkaans,Vrouw,Marokkaans,Man,318490
Marokkaans,Vrouw,Marokkaans,Vrouw,243500
Marokkaans,Vrouw,Overig,Man,3410
Marokkaans,Vrouw,Overig,Vrouw,2820
Marokkaans,Vrouw,Surinaams,Man,240
Marokkaans,Vrouw,Surinaams,Vrouw,220
Marokkaans,Vrouw,Turks,Man,330
Marokkaans,Vrouw,Turks,Vrouw,240
Overig,Man,Autochtoon,Man,31350
Overig,Man,Autochtoon,Vrouw,69950
Overig,Man,Marokkaans,Man,3930
Overig,Man,Marokkaans,Vrouw,3410
Overig,Man,Overig,Man,720700
Overig,Man,Overig,Vrouw,436000
Overig,Man,Surinaams,Man,3760
Overig,Man,Surinaams,Vrouw,5170
Overig,Man,Turks,Man,1020
Overig,Man,Turks,Vrouw,870
Overig,Vrouw,Autochtoon,Man,65890
Overig,Vrouw,Autochtoon,Vrouw,31100
Overig,Vrouw,Marokkaans,Man,3700
Overig,Vrouw,Marokkaans,Vrouw,2820
Overig,Vrouw,Overig,Man,436000
Overig,Vrouw,Overig,Vrouw,146920
Overig,Vrouw,Surinaams,Man,4010
Overig,Vrouw,Surinaams,Vrouw,3130
Overig,Vrouw,Turks,Man,1090
Overig,Vrouw,Turks,Vrouw,780
Surinaams,Man,Autochtoon,Man,8690
Surinaams,Man,Autochtoon,Vrouw,10670
Surinaams,Man,Marokkaans,Man,270
Surinaams,Man,Marokkaans,Vrouw,240
Surinaams,Man,Overig,Man,3760
Surinaams,Man,Overig,Vrouw,4010
Surinaams,Man,Surinaams,Man,85870
Surinaams,Man,Surinaams,Vrouw,104280
Surinaams,Man,Turks,Vrouw,10
Surinaams,Vrouw,Autochtoon,Man,16030
Surinaams,Vrouw,Autochtoon,Vrouw,11680
Surinaams,Vrouw,Marokkaans,Man,270
Surinaams,Vrouw,Marokkaans,Vrouw,220
Surinaams,Vrouw,Overig,Man,5170
Surinaams,Vrouw,Overig,Vrouw,3130
Surinaams,Vrouw,Surinaams,Man,104280
Surinaams,Vrouw,Surinaams,Vrouw,106080
Surinaams,Vrouw,Turks,Man,10
Surinaams,Vrouw,Turks,Vrouw,20
Turks,Man,Autochtoon,Man,4770
Turks,Man,Autochtoon,Vrouw,4660
Turks,Man,Marokkaans,Man,500
Turks,Man,Marokkaans,Vrouw,330
Turks,Man,Overig,Man,1020
Turks,Man,Overig,Vrouw,1090
Turks,Man,Surinaams,Vrouw,10
Turks,Man,Turks,Man,86780
Turks,Man,Turks,Vrouw,138150
Turks,Vrouw,Autochtoon,Man,5110
Turks,Vrouw,Autochtoon,Vrouw,4580
Turks,Vrouw,Marokkaans,Man,290
Turks,Vrouw,Marokkaans,Vrouw,240
Turks,Vrouw,Overig,Man,870
Turks,Vrouw,Overig,Vrouw,780
Turks,Vrouw,Surinaams,Man,10
Turks,Vrouw,Surinaams,Vrouw,20
Turks,Vrouw,Turks,Man,138150
Turks,Vrouw,Turks,Vrouw,71830
