etngrp_src,geslacht_src,lft_src,etngrp_dst,geslacht_dst,lft_dst,n
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[0,20)",28380
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[20,30)",4960
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[30,40)",9440
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[40,50)",12610
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[50,60)",7570
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[60,70)",3250
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[70,80)",2860
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[80,120]",810
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",26710
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",5610
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",11350
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",14050
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",7470
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",3890
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[70,80)",3880
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[80,120]",770
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[0,20)",4630
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[20,30)",2370
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[30,40)",3000
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[40,50)",1210
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[50,60)",890
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[60,70)",820
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[70,80)",770
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[80,120]",80
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",4650
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[20,30)",2720
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",3040
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[40,50)",1400
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[50,60)",1130
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[60,70)",1080
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[70,80)",480
Autochtoon,Man,"[0,20)",Overig,Man,"[0,20)",2240
Autochtoon,Man,"[0,20)",Overig,Man,"[20,30)",990
Autochtoon,Man,"[0,20)",Overig,Man,"[30,40)",2300
Autochtoon,Man,"[0,20)",Overig,Man,"[40,50)",2510
Autochtoon,Man,"[0,20)",Overig,Man,"[50,60)",1360
Autochtoon,Man,"[0,20)",Overig,Man,"[60,70)",660
Autochtoon,Man,"[0,20)",Overig,Man,"[70,80)",630
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[0,20)",2310
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[20,30)",1250
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[30,40)",2750
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[40,50)",2610
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[50,60)",1740
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[60,70)",1050
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[70,80)",720
Autochtoon,Man,"[0,20)",Surinaams,Man,"[0,20)",1590
