etngrp_src,geslacht_src,lft_src,oplniv_src,etngrp_dst,geslacht_dst,lft_dst,oplniv_dst,n
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",1,26760
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",2,750
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",3,10
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",1,660
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",2,2170
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",3,1350
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",1,740
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",2,2290
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",3,6190
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",1,730
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",2,2870
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",3,8560
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",1,860
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",2,2220
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",3,3480
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",1,730
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",2,820
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",3,1460
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[70,80)",1,500
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[70,80)",2,920
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[70,80)",3,1380
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[80,120]",2,340
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[80,120]",3,470
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[0,20)",1,24810
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[0,20)",2,920
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[20,30)",1,520
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[20,30)",2,2360
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[20,30)",3,1870
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[30,40)",1,810
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[30,40)",2,1830
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[30,40)",3,8560
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[40,50)",1,990
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[40,50)",2,2540
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[40,50)",3,9940
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[50,60)",1,990
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[50,60)",2,1640
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[50,60)",3,3520
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[60,70)",1,1260
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[60,70)",2,1210
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[60,70)",3,1180
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[70,80)",1,1110
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[70,80)",2,1100
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[70,80)",3,1460
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[80,120]",1,490
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[80,120]",2,280
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[0,20)",1,4480
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[0,20)",2,150
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[20,30)",1,600
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[20,30)",2,1490
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[20,30)",3,280
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[30,40)",1,910
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[30,40)",2,1360
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[30,40)",3,730
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[40,50)",1,380
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[40,50)",2,560
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[40,50)",3,270
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[50,60)",1,750
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[50,60)",2,110
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[50,60)",3,30
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[60,70)",1,680
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[60,70)",2,140
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[70,80)",1,540
