etngrp_src,geslacht_src,oplniv_src,etngrp_dst,geslacht_dst,oplniv_dst,n
Autochtoon,Man,1,Autochtoon,Man,1,45530
Autochtoon,Man,1,Autochtoon,Man,2,24300
Autochtoon,Man,1,Autochtoon,Man,3,28520
Autochtoon,Man,1,Autochtoon,Vrouw,1,93920
Autochtoon,Man,1,Autochtoon,Vrouw,2,35080
Autochtoon,Man,1,Autochtoon,Vrouw,3,33490
Autochtoon,Man,1,Marokkaans,Man,1,8420
Autochtoon,Man,1,Marokkaans,Man,2,4040
Autochtoon,Man,1,Marokkaans,Man,3,1310
Autochtoon,Man,1,Marokkaans,Vrouw,1,8280
Autochtoon,Man,1,Marokkaans,Vrouw,2,4290
Autochtoon,Man,1,Marokkaans,Vrouw,3,1970
Autochtoon,Man,1,Overig,Man,1,4820
Autochtoon,Man,1,Overig,Man,2,3090
Autochtoon,Man,1,Overig,Man,3,4120
Autochtoon,Man,1,Overig,Vrouw,1,5460
Autochtoon,Man,1,Overig,Vrouw,2,4240
Autochtoon,Man,1,Overig,Vrouw,3,5710
Autochtoon,Man,1,Surinaams,Man,1,3770
Autochtoon,Man,1,Surinaams,Man,2,2880
Autochtoon,Man,1,Surinaams,Man,3,870
Autochtoon,Man,1,Surinaams,Vrouw,1,4010
Autochtoon,Man,1,Surinaams,Vrouw,2,5340
Autochtoon,Man,1,Surinaams,Vrouw,3,1910
Autochtoon,Man,1,Turks,Man,1,2530
Autochtoon,Man,1,Turks,Man,2,1510
Autochtoon,Man,1,Turks,Man,3,500
Autochtoon,Man,1,Turks,Vrouw,1,2680
Autochtoon,Man,1,Turks,Vrouw,2,1650
Autochtoon,Man,1,Turks,Vrouw,3,660
Autochtoon,Man,2,Autochtoon,Man,1,24300
Autochtoon,Man,2,Autochtoon,Man,2,23310
Autochtoon,Man,2,Autochtoon,Man,3,22750
Autochtoon,Man,2,Autochtoon,Vrouw,1,84040
Autochtoon,Man,2,Autochtoon,Vrouw,2,54290
Autochtoon,Man,2,Autochtoon,Vrouw,3,32130
Autochtoon,Man,2,Marokkaans,Man,1,80
Autochtoon,Man,2,Marokkaans,Man,2,10
Autochtoon,Man,2,Marokkaans,Vrouw,1,60
Autochtoon,Man,2,Marokkaans,Vrouw,2,30
Autochtoon,Man,2,Marokkaans,Vrouw,3,20
Autochtoon,Man,2,Overig,Man,1,2430
Autochtoon,Man,2,Overig,Man,2,1760
Autochtoon,Man,2,Overig,Man,3,1790
Autochtoon,Man,2,Overig,Vrouw,1,4420
Autochtoon,Man,2,Overig,Vrouw,2,4540
Autochtoon,Man,2,Overig,Vrouw,3,5060
Autochtoon,Man,2,Surinaams,Man,1,430
Autochtoon,Man,2,Surinaams,Man,2,240
Autochtoon,Man,2,Surinaams,Man,3,100
Autochtoon,Man,2,Surinaams,Vrouw,1,500
Autochtoon,Man,2,Surinaams,Vrouw,2,2850
Autochtoon,Man,2,Surinaams,Vrouw,3,570
Autochtoon,Man,2,Turks,Man,1,10
Autochtoon,Man,2,Turks,Vrouw,1,10
Autochtoon,Man,3,Autochtoon,Man,1,28520
Autochtoon,Man,3,Autochtoon,Man,2,22750
Autochtoon,Man,3,Autochtoon,Man,3,48780
Autochtoon,Man,3,Autochtoon,Vrouw,1,37790
Autochtoon,Man,3,Autochtoon,Vrouw,2,33690
Autochtoon,Man,3,Autochtoon,Vrouw,3,93110
Autochtoon,Man,3,Marokkaans,Man,1,40
Autochtoon,Man,3,Marokkaans,Vrouw,1,50
Autochtoon,Man,3,Marokkaans,Vrouw,3,50
