etngrp_src,lft_src,etngrp_dst,lft_dst,n
Autochtoon,"[0,20)",Autochtoon,"[0,20)",107420
Autochtoon,"[0,20)",Autochtoon,"[20,30)",20700
Autochtoon,"[0,20)",Autochtoon,"[30,40)",40430
Autochtoon,"[0,20)",Autochtoon,"[40,50)",51750
Autochtoon,"[0,20)",Autochtoon,"[50,60)",29480
Autochtoon,"[0,20)",Autochtoon,"[60,70)",13440
Autochtoon,"[0,20)",Autochtoon,"[70,80)",13990
Autochtoon,"[0,20)",Autochtoon,"[80,120]",3280
Autochtoon,"[0,20)",Marokkaans,"[0,20)",17560
Autochtoon,"[0,20)",Marokkaans,"[20,30)",9610
Autochtoon,"[0,20)",Marokkaans,"[30,40)",12070
Autochtoon,"[0,20)",Marokkaans,"[40,50)",5040
Autochtoon,"[0,20)",Marokkaans,"[50,60)",3630
Autochtoon,"[0,20)",Marokkaans,"[60,70)",3700
Autochtoon,"[0,20)",Marokkaans,"[70,80)",2360
Autochtoon,"[0,20)",Marokkaans,"[80,120]",130
Autochtoon,"[0,20)",Overig,"[0,20)",8960
Autochtoon,"[0,20)",Overig,"[20,30)",4390
Autochtoon,"[0,20)",Overig,"[30,40)",9860
Autochtoon,"[0,20)",Overig,"[40,50)",9600
Autochtoon,"[0,20)",Overig,"[50,60)",5740
Autochtoon,"[0,20)",Overig,"[60,70)",3450
Autochtoon,"[0,20)",Overig,"[70,80)",2600
Autochtoon,"[0,20)",Surinaams,"[0,20)",6070
Autochtoon,"[0,20)",Surinaams,"[20,30)",6230
Autochtoon,"[0,20)",Surinaams,"[30,40)",8630
Autochtoon,"[0,20)",Surinaams,"[40,50)",5050
Autochtoon,"[0,20)",Surinaams,"[50,60)",3570
Autochtoon,"[0,20)",Surinaams,"[60,70)",2900
Autochtoon,"[0,20)",Surinaams,"[70,80)",630
Autochtoon,"[0,20)",Turks,"[0,20)",4530
Autochtoon,"[0,20)",Turks,"[20,30)",3290
Autochtoon,"[0,20)",Turks,"[30,40)",4390
Autochtoon,"[0,20)",Turks,"[40,50)",1830
Autochtoon,"[0,20)",Turks,"[50,60)",2550
Autochtoon,"[0,20)",Turks,"[60,70)",1090
Autochtoon,"[0,20)",Turks,"[70,80)",670
Autochtoon,"[20,30)",Autochtoon,"[0,20)",20700
Autochtoon,"[20,30)",Autochtoon,"[20,30)",62770
Autochtoon,"[20,30)",Autochtoon,"[30,40)",30230
Autochtoon,"[20,30)",Autochtoon,"[40,50)",10820
Autochtoon,"[20,30)",Autochtoon,"[50,60)",31840
Autochtoon,"[20,30)",Autochtoon,"[60,70)",22050
Autochtoon,"[20,30)",Autochtoon,"[70,80)",5840
Autochtoon,"[20,30)",Autochtoon,"[80,120]",3650
Autochtoon,"[20,30)",Marokkaans,"[0,20)",180
Autochtoon,"[20,30)",Marokkaans,"[20,30)",70
Autochtoon,"[20,30)",Marokkaans,"[30,40)",20
Autochtoon,"[20,30)",Overig,"[0,20)",4910
Autochtoon,"[20,30)",Overig,"[20,30)",4330
Autochtoon,"[20,30)",Overig,"[30,40)",2970
Autochtoon,"[20,30)",Overig,"[40,50)",1620
Autochtoon,"[20,30)",Overig,"[50,60)",4270
Autochtoon,"[20,30)",Overig,"[60,70)",3210
Autochtoon,"[20,30)",Overig,"[70,80)",310
Autochtoon,"[20,30)",Surinaams,"[0,20)",720
Autochtoon,"[20,30)",Surinaams,"[20,30)",770
Autochtoon,"[20,30)",Surinaams,"[30,40)",740
Autochtoon,"[20,30)",Surinaams,"[40,50)",680
Autochtoon,"[20,30)",Surinaams,"[50,60)",500
Autochtoon,"[20,30)",Surinaams,"[60,70)",220
Autochtoon,"[20,30)",Turks,"[0,20)",30
Autochtoon,"[20,30)",Turks,"[20,30)",10
Autochtoon,"[30,40)",Autochtoon,"[0,20)",40430
