etngrp_src,lft_src,oplniv_src,etngrp_dst,lft_dst,oplniv_dst,n
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",1,100030
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",2,3420
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",3,20
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",1,2270
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",2,8570
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",3,6230
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",1,3060
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",2,7880
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",3,28610
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",1,3410
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",2,10380
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",3,36020
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",1,3710
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",2,7320
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",3,13450
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",1,3900
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",2,3730
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",3,4710
Autochtoon,"[0,20)",1,Autochtoon,"[70,80)",1,3330
Autochtoon,"[0,20)",1,Autochtoon,"[70,80)",2,3790
Autochtoon,"[0,20)",1,Autochtoon,"[70,80)",3,6090
Autochtoon,"[0,20)",1,Autochtoon,"[80,120]",1,820
Autochtoon,"[0,20)",1,Autochtoon,"[80,120]",2,1300
Autochtoon,"[0,20)",1,Autochtoon,"[80,120]",3,1160
Autochtoon,"[0,20)",1,Marokkaans,"[0,20)",1,16880
Autochtoon,"[0,20)",1,Marokkaans,"[0,20)",2,680
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",1,1730
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",2,6240
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",3,1640
Autochtoon,"[0,20)",1,Marokkaans,"[30,40)",1,2750
Autochtoon,"[0,20)",1,Marokkaans,"[30,40)",2,5890
Autochtoon,"[0,20)",1,Marokkaans,"[30,40)",3,3430
Autochtoon,"[0,20)",1,Marokkaans,"[40,50)",1,1540
Autochtoon,"[0,20)",1,Marokkaans,"[40,50)",2,2310
Autochtoon,"[0,20)",1,Marokkaans,"[40,50)",3,1190
Autochtoon,"[0,20)",1,Marokkaans,"[50,60)",1,3120
Autochtoon,"[0,20)",1,Marokkaans,"[50,60)",2,400
Autochtoon,"[0,20)",1,Marokkaans,"[50,60)",3,110
Autochtoon,"[0,20)",1,Marokkaans,"[60,70)",1,3330
Autochtoon,"[0,20)",1,Marokkaans,"[60,70)",2,360
Autochtoon,"[0,20)",1,Marokkaans,"[60,70)",3,10
Autochtoon,"[0,20)",1,Marokkaans,"[70,80)",1,1900
Autochtoon,"[0,20)",1,Marokkaans,"[70,80)",2,460
Autochtoon,"[0,20)",1,Marokkaans,"[80,120]",1,130
Autochtoon,"[0,20)",1,Overig,"[0,20)",1,8320
Autochtoon,"[0,20)",1,Overig,"[0,20)",2,350
Autochtoon,"[0,20)",1,Overig,"[20,30)",1,680
Autochtoon,"[0,20)",1,Overig,"[20,30)",2,2270
Autochtoon,"[0,20)",1,Overig,"[20,30)",3,1170
Autochtoon,"[0,20)",1,Overig,"[30,40)",1,1250
Autochtoon,"[0,20)",1,Overig,"[30,40)",2,2500
Autochtoon,"[0,20)",1,Overig,"[30,40)",3,6030
Autochtoon,"[0,20)",1,Overig,"[40,50)",1,1320
Autochtoon,"[0,20)",1,Overig,"[40,50)",2,2150
