etngrp_src,oplniv_src,etngrp_dst,oplniv_dst,n
Autochtoon,1,Autochtoon,1,280050
Autochtoon,1,Autochtoon,2,169260
Autochtoon,1,Autochtoon,3,129840
Autochtoon,1,Marokkaans,1,31710
Autochtoon,1,Marokkaans,2,16390
Autochtoon,1,Marokkaans,3,6380
Autochtoon,1,Overig,1,24990
Autochtoon,1,Overig,2,14420
Autochtoon,1,Overig,3,19000
Autochtoon,1,Surinaams,1,15050
Autochtoon,1,Surinaams,2,15950
Autochtoon,1,Surinaams,3,4940
Autochtoon,1,Turks,1,10270
Autochtoon,1,Turks,2,5890
Autochtoon,1,Turks,3,2250
Autochtoon,2,Autochtoon,1,169260
Autochtoon,2,Autochtoon,2,151600
Autochtoon,2,Autochtoon,3,109270
Autochtoon,2,Marokkaans,1,600
Autochtoon,2,Marokkaans,2,170
Autochtoon,2,Marokkaans,3,20
Autochtoon,2,Overig,1,12660
Autochtoon,2,Overig,2,14200
Autochtoon,2,Overig,3,12030
Autochtoon,2,Surinaams,1,2020
Autochtoon,2,Surinaams,2,4660
Autochtoon,2,Surinaams,3,1160
Autochtoon,2,Turks,1,100
Autochtoon,3,Autochtoon,1,129830
Autochtoon,3,Autochtoon,2,109270
Autochtoon,3,Autochtoon,3,300660
Autochtoon,3,Marokkaans,1,290
Autochtoon,3,Marokkaans,2,60
Autochtoon,3,Marokkaans,3,100
Autochtoon,3,Overig,1,39400
Autochtoon,3,Overig,2,17060
Autochtoon,3,Overig,3,44530
Autochtoon,3,Surinaams,1,1180
Autochtoon,3,Surinaams,2,920
Autochtoon,3,Surinaams,3,1190
Autochtoon,3,Turks,1,470
Autochtoon,3,Turks,2,10
Autochtoon,3,Turks,3,130
Marokkaans,1,Autochtoon,1,31710
Marokkaans,1,Autochtoon,2,600
Marokkaans,1,Autochtoon,3,290
Marokkaans,1,Marokkaans,1,517710
Marokkaans,1,Marokkaans,2,189620
Marokkaans,1,Marokkaans,3,50540
Marokkaans,1,Overig,1,6740
Marokkaans,1,Overig,2,2010
Marokkaans,1,Overig,3,700
Marokkaans,1,Surinaams,1,380
Marokkaans,1,Surinaams,2,380
Marokkaans,1,Surinaams,3,50
Marokkaans,1,Turks,1,740
Marokkaans,1,Turks,2,220
Marokkaans,1,Turks,3,30
Marokkaans,2,Autochtoon,1,16390
Marokkaans,2,Autochtoon,2,170
Marokkaans,2,Autochtoon,3,60
Marokkaans,2,Marokkaans,1,189620
Marokkaans,2,Marokkaans,2,87690
Marokkaans,2,Marokkaans,3,25930
Marokkaans,2,Overig,1,2270
Marokkaans,2,Overig,2,790
Marokkaans,2,Overig,3,330
Marokkaans,2,Surinaams,1,140
Marokkaans,2,Surinaams,2,50
Marokkaans,2,Turks,1,220
Marokkaans,2,Turks,2,110
Marokkaans,2,Turks,3,20
Marokkaans,3,Autochtoon,1,6380
Marokkaans,3,Autochtoon,2,20
Marokkaans,3,Autochtoon,3,100
Marokkaans,3,Marokkaans,1,50540
Marokkaans,3,Marokkaans,2,25930
Marokkaans,3,Marokkaans,3,10940
Marokkaans,3,Overig,1,750
Marokkaans,3,Overig,2,140
