geslacht_src,etngrp_src,geslacht_dst,etngrp_dst,n
Man,Autochtoon,Man,Autochtoon,268760
Man,Autochtoon,Man,Marokkaans,13900
Man,Autochtoon,Man,Overig,31350
Man,Autochtoon,Man,Surinaams,8690
Man,Autochtoon,Man,Turks,4770
Man,Autochtoon,Vrouw,Autochtoon,497540
Man,Autochtoon,Vrouw,Marokkaans,14750
Man,Autochtoon,Vrouw,Overig,65890
Man,Autochtoon,Vrouw,Surinaams,16030
Man,Autochtoon,Vrouw,Turks,5110
Man,Marokkaans,Man,Autochtoon,13900
Man,Marokkaans,Man,Marokkaans,268040
Man,Marokkaans,Man,Overig,3930
Man,Marokkaans,Man,Surinaams,270
Man,Marokkaans,Man,Turks,500
Man,Marokkaans,Vrouw,Autochtoon,13510
Man,Marokkaans,Vrouw,Marokkaans,318490
Man,Marokkaans,Vrouw,Overig,3700
Man,Marokkaans,Vrouw,Surinaams,270
Man,Marokkaans,Vrouw,Turks,290
Man,Overig,Man,Autochtoon,31350
Man,Overig,Man,Marokkaans,3930
Man,Overig,Man,Overig,720700
Man,Overig,Man,Surinaams,3760
Man,Overig,Man,Turks,1020
Man,Overig,Vrouw,Autochtoon,69950
Man,Overig,Vrouw,Marokkaans,3410
Man,Overig,Vrouw,Overig,436000
Man,Overig,Vrouw,Surinaams,5170
Man,Overig,Vrouw,Turks,870
Man,Surinaams,Man,Autochtoon,8690
Man,Surinaams,Man,Marokkaans,270
Man,Surinaams,Man,Overig,3760
Man,Surinaams,Man,Surinaams,85870
Man,Surinaams,Vrouw,Autochtoon,10670
Man,Surinaams,Vrouw,Marokkaans,240
Man,Surinaams,Vrouw,Overig,4010
Man,Surinaams,Vrouw,Surinaams,104280
Man,Surinaams,Vrouw,Turks,10
Man,Turks,Man,Autochtoon,4770
Man,Turks,Man,Marokkaans,500
Man,Turks,Man,Overig,1020
Man,Turks,Man,Turks,86780
Man,Turks,Vrouw,Autochtoon,4660
Man,Turks,Vrouw,Marokkaans,330
Man,Turks,Vrouw,Overig,1090
Man,Turks,Vrouw,Surinaams,10
Man,Turks,Vrouw,Turks,138150
Vrouw,Autochtoon,Man,Autochtoon,497530
Vrouw,Autochtoon,Man,Marokkaans,13510
Vrouw,Autochtoon,Man,Overig,69950
Vrouw,Autochtoon,Man,Surinaams,10670
Vrouw,Autochtoon,Man,Turks,4660
Vrouw,Autochtoon,Vrouw,Autochtoon,285210
Vrouw,Autochtoon,Vrouw,Marokkaans,13560
Vrouw,Autochtoon,Vrouw,Overig,31100
Vrouw,Autochtoon,Vrouw,Surinaams,11680
Vrouw,Autochtoon,Vrouw,Turks,4580
Vrouw,Marokkaans,Man,Autochtoon,14750
Vrouw,Marokkaans,Man,Marokkaans,318490
Vrouw,Marokkaans,Man,Overig,3410
Vrouw,Marokkaans,Man,Surinaams,240
Vrouw,Marokkaans,Man,Turks,330
Vrouw,Marokkaans,Vrouw,Autochtoon,13560
Vrouw,Marokkaans,Vrouw,Marokkaans,243500
Vrouw,Marokkaans,Vrouw,Overig,2820
Vrouw,Marokkaans,Vrouw,Surinaams,220
Vrouw,Marokkaans,Vrouw,Turks,240
Vrouw,Overig,Man,Autochtoon,65890
Vrouw,Overig,Man,Marokkaans,3700
Vrouw,Overig,Man,Overig,436000
Vrouw,Overig,Man,Surinaams,4010
Vrouw,Overig,Man,Turks,1090
Vrouw,Overig,Vrouw,Autochtoon,31100
Vrouw,Overig,Vrouw,Marokkaans,2820
Vrouw,Overig,Vrouw,Overig,146920
Vrouw,Overig,Vrouw,Surinaams,3130
Vrouw,Overig,Vrouw,Turks,780
Vrouw,Surinaams,Man,Autochtoon,16030
Vrouw,Surinaams,Man,Marokkaans,270
Vrouw,Surinaams,Man,Overig,5170
Vrouw,Surinaams,Man,Surinaams,104280
Vrouw,Surinaams,Man,Turks,10
Vrouw,Surinaams,Vrouw,Autochtoon,11680
Vrouw,Surinaams,Vrouw,Marokkaans,220
Vrouw,Surinaams,Vrouw,Overig,3130
Vrouw,Surinaams,Vrouw,Surinaams,106080
Vrouw,Surinaams,Vrouw,Turks,20
Vrouw,Turks,Man,Autochtoon,5110
Vrouw,Turks,Man,Marokkaans,290
Vrouw,Turks,Man,Overig,870
Vrouw,Turks,Man,Surinaams,10
Vrouw,Turks,Man,Turks,138150
Vrouw,Turks,Vrouw,Autochtoon,4580
Vrouw,Turks,Vrouw,Marokkaans,240
Vrouw,Turks,Vrouw,Overig,780
Vrouw,Turks,Vrouw,Surinaams,20
Vrouw,Turks,Vrouw,Turks,71830
