geslacht_src,etngrp_src,oplniv_src,geslacht_dst,etngrp_dst,oplniv_dst,n
Man,Autochtoon,1,Man,Autochtoon,1,45530
Man,Autochtoon,1,Man,Autochtoon,2,24300
Man,Autochtoon,1,Man,Autochtoon,3,28520
Man,Autochtoon,1,Man,Marokkaans,1,8420
Man,Autochtoon,1,Man,Marokkaans,2,4040
Man,Autochtoon,1,Man,Marokkaans,3,1310
Man,Autochtoon,1,Man,Overig,1,4820
Man,Autochtoon,1,Man,Overig,2,3090
Man,Autochtoon,1,Man,Overig,3,4120
Man,Autochtoon,1,Man,Surinaams,1,3770
Man,Autochtoon,1,Man,Surinaams,2,2880
Man,Autochtoon,1,Man,Surinaams,3,870
Man,Autochtoon,1,Man,Turks,1,2530
Man,Autochtoon,1,Man,Turks,2,1510
Man,Autochtoon,1,Man,Turks,3,500
Man,Autochtoon,1,Vrouw,Autochtoon,1,93920
Man,Autochtoon,1,Vrouw,Autochtoon,2,35080
Man,Autochtoon,1,Vrouw,Autochtoon,3,33490
Man,Autochtoon,1,Vrouw,Marokkaans,1,8280
Man,Autochtoon,1,Vrouw,Marokkaans,2,4290
Man,Autochtoon,1,Vrouw,Marokkaans,3,1970
Man,Autochtoon,1,Vrouw,Overig,1,5460
Man,Autochtoon,1,Vrouw,Overig,2,4240
Man,Autochtoon,1,Vrouw,Overig,3,5710
Man,Autochtoon,1,Vrouw,Surinaams,1,4010
Man,Autochtoon,1,Vrouw,Surinaams,2,5340
Man,Autochtoon,1,Vrouw,Surinaams,3,1910
Man,Autochtoon,1,Vrouw,Turks,1,2680
Man,Autochtoon,1,Vrouw,Turks,2,1650
Man,Autochtoon,1,Vrouw,Turks,3,660
Man,Autochtoon,2,Man,Autochtoon,1,24300
Man,Autochtoon,2,Man,Autochtoon,2,23310
Man,Autochtoon,2,Man,Autochtoon,3,22750
Man,Autochtoon,2,Man,Marokkaans,1,80
Man,Autochtoon,2,Man,Marokkaans,2,10
Man,Autochtoon,2,Man,Overig,1,2430
Man,Autochtoon,2,Man,Overig,2,1760
Man,Autochtoon,2,Man,Overig,3,1790
Man,Autochtoon,2,Man,Surinaams,1,430
Man,Autochtoon,2,Man,Surinaams,2,240
Man,Autochtoon,2,Man,Surinaams,3,100
Man,Autochtoon,2,Man,Turks,1,10
Man,Autochtoon,2,Vrouw,Autochtoon,1,84040
Man,Autochtoon,2,Vrouw,Autochtoon,2,54290
Man,Autochtoon,2,Vrouw,Autochtoon,3,32130
Man,Autochtoon,2,Vrouw,Marokkaans,1,60
Man,Autochtoon,2,Vrouw,Marokkaans,2,30
Man,Autochtoon,2,Vrouw,Marokkaans,3,20
Man,Autochtoon,2,Vrouw,Overig,1,4420
Man,Autochtoon,2,Vrouw,Overig,2,4540
Man,Autochtoon,2,Vrouw,Overig,3,5060
Man,Autochtoon,2,Vrouw,Surinaams,1,500
Man,Autochtoon,2,Vrouw,Surinaams,2,2850
Man,Autochtoon,2,Vrouw,Surinaams,3,570
Man,Autochtoon,2,Vrouw,Turks,1,10
Man,Autochtoon,3,Man,Autochtoon,1,28520
Man,Autochtoon,3,Man,Autochtoon,2,22750
Man,Autochtoon,3,Man,Autochtoon,3,48780
Man,Autochtoon,3,Man,Marokkaans,1,40
Man,Autochtoon,3,Man,Overig,1,7550
Man,Autochtoon,3,Man,Overig,2,2080
Man,Autochtoon,3,Man,Overig,3,3710
Man,Autochtoon,3,Man,Surinaams,1,220
Man,Autochtoon,3,Man,Surinaams,2,120
Man,Autochtoon,3,Man,Surinaams,3,60
Man,Autochtoon,3,Man,Turks,1,220
Man,Autochtoon,3,Vrouw,Autochtoon,1,37790
Man,Autochtoon,3,Vrouw,Autochtoon,2,33690
