geslacht_src,lft_src,geslacht_dst,lft_dst,n
Man,"[0,20)",Man,"[0,20)",712000
Man,"[0,20)",Man,"[20,30)",44940
Man,"[0,20)",Man,"[30,40)",50140
Man,"[0,20)",Man,"[40,50)",53000
Man,"[0,20)",Man,"[50,60)",51950
Man,"[0,20)",Man,"[60,70)",14060
Man,"[0,20)",Man,"[70,80)",10980
Man,"[0,20)",Man,"[80,120]",990
Man,"[0,20)",Vrouw,"[0,20)",127090
Man,"[0,20)",Vrouw,"[20,30)",48200
Man,"[0,20)",Vrouw,"[30,40)",62170
Man,"[0,20)",Vrouw,"[40,50)",59900
Man,"[0,20)",Vrouw,"[50,60)",94080
Man,"[0,20)",Vrouw,"[60,70)",16860
Man,"[0,20)",Vrouw,"[70,80)",10960
Man,"[0,20)",Vrouw,"[80,120]",780
Man,"[20,30)",Man,"[0,20)",44940
Man,"[20,30)",Man,"[20,30)",40360
Man,"[20,30)",Man,"[30,40)",24420
Man,"[20,30)",Man,"[40,50)",13530
Man,"[20,30)",Man,"[50,60)",22020
Man,"[20,30)",Man,"[60,70)",14160
Man,"[20,30)",Man,"[70,80)",3250
Man,"[20,30)",Man,"[80,120]",590
Man,"[20,30)",Vrouw,"[0,20)",41160
Man,"[20,30)",Vrouw,"[20,30)",40970
Man,"[20,30)",Vrouw,"[30,40)",24250
Man,"[20,30)",Vrouw,"[40,50)",17190
Man,"[20,30)",Vrouw,"[50,60)",25620
Man,"[20,30)",Vrouw,"[60,70)",13580
Man,"[20,30)",Vrouw,"[70,80)",3720
Man,"[20,30)",Vrouw,"[80,120]",1610
Man,"[30,40)",Man,"[0,20)",50140
Man,"[30,40)",Man,"[20,30)",24420
Man,"[30,40)",Man,"[30,40)",28250
Man,"[30,40)",Man,"[40,50)",12130
Man,"[30,40)",Man,"[50,60)",9600
Man,"[30,40)",Man,"[60,70)",14510
Man,"[30,40)",Man,"[70,80)",5450
Man,"[30,40)",Man,"[80,120]",40
Man,"[30,40)",Vrouw,"[0,20)",48710
Man,"[30,40)",Vrouw,"[20,30)",43630
Man,"[30,40)",Vrouw,"[30,40)",222630
Man,"[30,40)",Vrouw,"[40,50)",19740
Man,"[30,40)",Vrouw,"[50,60)",15290
Man,"[30,40)",Vrouw,"[60,70)",18820
Man,"[30,40)",Vrouw,"[70,80)",4450
Man,"[30,40)",Vrouw,"[80,120]",560
Man,"[40,50)",Man,"[0,20)",53000
Man,"[40,50)",Man,"[20,30)",13530
Man,"[40,50)",Man,"[30,40)",12130
Man,"[40,50)",Man,"[40,50)",14490
Man,"[40,50)",Man,"[50,60)",7870
Man,"[40,50)",Man,"[60,70)",6190
Man,"[40,50)",Man,"[70,80)",7240
Man,"[40,50)",Man,"[80,120]",370
Man,"[40,50)",Vrouw,"[0,20)",50850
Man,"[40,50)",Vrouw,"[20,30)",21750
Man,"[40,50)",Vrouw,"[30,40)",34060
Man,"[40,50)",Vrouw,"[40,50)",51430
Man,"[40,50)",Vrouw,"[50,60)",13920
Man,"[40,50)",Vrouw,"[60,70)",9870
Man,"[40,50)",Vrouw,"[70,80)",8490
Man,"[50,60)",Man,"[0,20)",51950
Man,"[50,60)",Man,"[20,30)",22020
Man,"[50,60)",Man,"[30,40)",9600
Man,"[50,60)",Man,"[40,50)",7870
Man,"[50,60)",Man,"[50,60)",9700
Man,"[50,60)",Man,"[60,70)",6350
Man,"[50,60)",Man,"[70,80)",1840
Man,"[50,60)",Man,"[80,120]",390
Man,"[50,60)",Vrouw,"[0,20)",28710
Man,"[50,60)",Vrouw,"[20,30)",24200
Man,"[50,60)",Vrouw,"[30,40)",13190
Man,"[50,60)",Vrouw,"[40,50)",45740
Man,"[50,60)",Vrouw,"[50,60)",69880
Man,"[50,60)",Vrouw,"[60,70)",6940
Man,"[50,60)",Vrouw,"[70,80)",8570
Man,"[50,60)",Vrouw,"[80,120]",2460
