geslacht_src,lft_src,etngrp_src,geslacht_dst,lft_dst,etngrp_dst,n
Man,"[0,20)",Autochtoon,Man,"[0,20)",Autochtoon,28380
Man,"[0,20)",Autochtoon,Man,"[0,20)",Marokkaans,4630
Man,"[0,20)",Autochtoon,Man,"[0,20)",Overig,2240
Man,"[0,20)",Autochtoon,Man,"[0,20)",Surinaams,1590
Man,"[0,20)",Autochtoon,Man,"[0,20)",Turks,1190
Man,"[0,20)",Autochtoon,Man,"[20,30)",Autochtoon,4960
Man,"[0,20)",Autochtoon,Man,"[20,30)",Marokkaans,2370
Man,"[0,20)",Autochtoon,Man,"[20,30)",Overig,990
Man,"[0,20)",Autochtoon,Man,"[20,30)",Surinaams,1390
Man,"[0,20)",Autochtoon,Man,"[20,30)",Turks,870
Man,"[0,20)",Autochtoon,Man,"[30,40)",Autochtoon,9440
Man,"[0,20)",Autochtoon,Man,"[30,40)",Marokkaans,3000
Man,"[0,20)",Autochtoon,Man,"[30,40)",Overig,2300
Man,"[0,20)",Autochtoon,Man,"[30,40)",Surinaams,1770
Man,"[0,20)",Autochtoon,Man,"[30,40)",Turks,1130
Man,"[0,20)",Autochtoon,Man,"[40,50)",Autochtoon,12610
Man,"[0,20)",Autochtoon,Man,"[40,50)",Marokkaans,1210
Man,"[0,20)",Autochtoon,Man,"[40,50)",Overig,2510
Man,"[0,20)",Autochtoon,Man,"[40,50)",Surinaams,1140
Man,"[0,20)",Autochtoon,Man,"[40,50)",Turks,480
Man,"[0,20)",Autochtoon,Man,"[50,60)",Autochtoon,7570
Man,"[0,20)",Autochtoon,Man,"[50,60)",Marokkaans,890
Man,"[0,20)",Autochtoon,Man,"[50,60)",Overig,1360
Man,"[0,20)",Autochtoon,Man,"[50,60)",Surinaams,550
Man,"[0,20)",Autochtoon,Man,"[50,60)",Turks,520
Man,"[0,20)",Autochtoon,Man,"[60,70)",Autochtoon,3250
Man,"[0,20)",Autochtoon,Man,"[60,70)",Marokkaans,820
Man,"[0,20)",Autochtoon,Man,"[60,70)",Overig,660
Man,"[0,20)",Autochtoon,Man,"[60,70)",Surinaams,540
Man,"[0,20)",Autochtoon,Man,"[60,70)",Turks,240
Man,"[0,20)",Autochtoon,Man,"[70,80)",Autochtoon,2860
Man,"[0,20)",Autochtoon,Man,"[70,80)",Marokkaans,770
Man,"[0,20)",Autochtoon,Man,"[70,80)",Overig,630
Man,"[0,20)",Autochtoon,Man,"[70,80)",Surinaams,110
Man,"[0,20)",Autochtoon,Man,"[70,80)",Turks,110
Man,"[0,20)",Autochtoon,Man,"[80,120]",Autochtoon,810
Man,"[0,20)",Autochtoon,Man,"[80,120]",Marokkaans,80
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Autochtoon,26710
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Marokkaans,4650
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Overig,2310
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Surinaams,1570
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Turks,1170
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Autochtoon,5610
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Marokkaans,2720
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Overig,1250
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Surinaams,1800
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Turks,810
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Autochtoon,11350
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Marokkaans,3040
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Overig,2750
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Surinaams,2740
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Turks,1160
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Autochtoon,14050
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Marokkaans,1400
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Overig,2610
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Surinaams,1450
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Turks,530
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Autochtoon,7470
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Marokkaans,1130
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Overig,1740
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Surinaams,1220
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Turks,960
Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",Autochtoon,3890
Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",Marokkaans,1080
Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",Overig,1050
Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",Surinaams,990
Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",Turks,340
Man,"[0,20)",Autochtoon,Vrouw,"[70,80)",Autochtoon,3880
Man,"[0,20)",Autochtoon,Vrouw,"[70,80)",Marokkaans,480
Man,"[0,20)",Autochtoon,Vrouw,"[70,80)",Overig,720
Man,"[0,20)",Autochtoon,Vrouw,"[70,80)",Surinaams,330
Man,"[0,20)",Autochtoon,Vrouw,"[70,80)",Turks,20
Man,"[0,20)",Autochtoon,Vrouw,"[80,120]",Autochtoon,770
Man,"[0,20)",Marokkaans,Man,"[0,20)",Autochtoon,4630
Man,"[0,20)",Marokkaans,Man,"[0,20)",Marokkaans,44660
Man,"[0,20)",Marokkaans,Man,"[0,20)",Overig,940
Man,"[0,20)",Marokkaans,Man,"[0,20)",Surinaams,50
Man,"[0,20)",Marokkaans,Man,"[0,20)",Turks,100
Man,"[0,20)",Marokkaans,Man,"[20,30)",Autochtoon,20
Man,"[0,20)",Marokkaans,Man,"[20,30)",Marokkaans,17800
Man,"[0,20)",Marokkaans,Man,"[20,30)",Overig,260
Man,"[0,20)",Marokkaans,Man,"[20,30)",Surinaams,80
Man,"[0,20)",Marokkaans,Man,"[20,30)",Turks,60
Man,"[0,20)",Marokkaans,Man,"[30,40)",Autochtoon,40
Man,"[0,20)",Marokkaans,Man,"[30,40)",Marokkaans,13420
Man,"[0,20)",Marokkaans,Man,"[30,40)",Overig,120
Man,"[0,20)",Marokkaans,Man,"[30,40)",Surinaams,40
Man,"[0,20)",Marokkaans,Man,"[30,40)",Turks,30
Man,"[0,20)",Marokkaans,Man,"[40,50)",Autochtoon,40
Man,"[0,20)",Marokkaans,Man,"[40,50)",Marokkaans,16690
Man,"[0,20)",Marokkaans,Man,"[40,50)",Overig,100
Man,"[0,20)",Marokkaans,Man,"[40,50)",Surinaams,30
Man,"[0,20)",Marokkaans,Man,"[40,50)",Turks,50
Man,"[0,20)",Marokkaans,Man,"[50,60)",Autochtoon,20
Man,"[0,20)",Marokkaans,Man,"[50,60)",Marokkaans,7610
Man,"[0,20)",Marokkaans,Man,"[50,60)",Overig,200
Man,"[0,20)",Marokkaans,Man,"[50,60)",Surinaams,40
Man,"[0,20)",Marokkaans,Man,"[50,60)",Turks,150
Man,"[0,20)",Marokkaans,Man,"[60,70)",Marokkaans,3950
Man,"[0,20)",Marokkaans,Man,"[60,70)",Overig,80
Man,"[0,20)",Marokkaans,Man,"[60,70)",Turks,10
Man,"[0,20)",Marokkaans,Man,"[70,80)",Marokkaans,4220
Man,"[0,20)",Marokkaans,Man,"[80,120]",Marokkaans,100
Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",Autochtoon,4280
Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",Marokkaans,43850
Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",Overig,770
Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",Surinaams,70
Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",Turks,70
Man,"[0,20)",Marokkaans,Vrouw,"[20,30)",Autochtoon,60
Man,"[0,20)",Marokkaans,Vrouw,"[20,30)",Marokkaans,17880
Man,"[0,20)",Marokkaans,Vrouw,"[20,30)",Overig,230
Man,"[0,20)",Marokkaans,Vrouw,"[20,30)",Surinaams,30
Man,"[0,20)",Marokkaans,Vrouw,"[20,30)",Turks,50
Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",Autochtoon,110
Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",Marokkaans,16360
Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",Overig,140
Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",Surinaams,60
Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",Turks,20
Man,"[0,20)",Marokkaans,Vrouw,"[40,50)",Autochtoon,130
Man,"[0,20)",Marokkaans,Vrouw,"[40,50)",Marokkaans,13920
Man,"[0,20)",Marokkaans,Vrouw,"[40,50)",Overig,120
Man,"[0,20)",Marokkaans,Vrouw,"[40,50)",Surinaams,30
Man,"[0,20)",Marokkaans,Vrouw,"[50,60)",Autochtoon,110
Man,"[0,20)",Marokkaans,Vrouw,"[50,60)",Marokkaans,5260
Man,"[0,20)",Marokkaans,Vrouw,"[50,60)",Overig,30
Man,"[0,20)",Marokkaans,Vrouw,"[50,60)",Surinaams,20
