geslacht_src,lft_src,etngrp_src,oplniv_src,geslacht_dst,lft_dst,etngrp_dst,oplniv_dst,n
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,1,26760
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,2,750
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,3,10
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Marokkaans,1,4480
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Marokkaans,2,150
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Overig,1,2120
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Overig,2,60
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Surinaams,1,1480
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Surinaams,2,80
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Turks,1,1140
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Turks,2,50
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,1,660
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,2,2170
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,3,1350
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,1,600
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,2,1490
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,3,280
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,1,160
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,2,530
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,3,230
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,1,470
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,2,790
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,3,130
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,1,230
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,2,540
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,3,100
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Autochtoon,1,740
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Autochtoon,2,2290
