geslacht_src,lft_src,oplniv_src,geslacht_dst,lft_dst,oplniv_dst,n
Man,"[0,20)",1,Man,"[0,20)",1,702910
Man,"[0,20)",1,Man,"[0,20)",2,4390
Man,"[0,20)",1,Man,"[0,20)",3,20
Man,"[0,20)",1,Man,"[20,30)",1,10450
Man,"[0,20)",1,Man,"[20,30)",2,25300
Man,"[0,20)",1,Man,"[20,30)",3,6550
Man,"[0,20)",1,Man,"[30,40)",1,12870
Man,"[0,20)",1,Man,"[30,40)",2,18970
Man,"[0,20)",1,Man,"[30,40)",3,17150
Man,"[0,20)",1,Man,"[40,50)",1,17520
Man,"[0,20)",1,Man,"[40,50)",2,16020
Man,"[0,20)",1,Man,"[40,50)",3,17910
Man,"[0,20)",1,Man,"[50,60)",1,12100
Man,"[0,20)",1,Man,"[50,60)",2,7930
Man,"[0,20)",1,Man,"[50,60)",3,29600
Man,"[0,20)",1,Man,"[60,70)",1,7720
Man,"[0,20)",1,Man,"[60,70)",2,2960
Man,"[0,20)",1,Man,"[60,70)",3,2800
Man,"[0,20)",1,Man,"[70,80)",1,6300
Man,"[0,20)",1,Man,"[70,80)",2,2140
Man,"[0,20)",1,Man,"[70,80)",3,2400
Man,"[0,20)",1,Man,"[80,120]",1,180
Man,"[0,20)",1,Man,"[80,120]",2,340
Man,"[0,20)",1,Man,"[80,120]",3,470
Man,"[0,20)",1,Vrouw,"[0,20)",1,116540
Man,"[0,20)",1,Vrouw,"[0,20)",2,6240
Man,"[0,20)",1,Vrouw,"[20,30)",1,7060
Man,"[0,20)",1,Vrouw,"[20,30)",2,28420
Man,"[0,20)",1,Vrouw,"[20,30)",3,9790
Man,"[0,20)",1,Vrouw,"[30,40)",1,13530
Man,"[0,20)",1,Vrouw,"[30,40)",2,22010
Man,"[0,20)",1,Vrouw,"[30,40)",3,25420
Man,"[0,20)",1,Vrouw,"[40,50)",1,16130
Man,"[0,20)",1,Vrouw,"[40,50)",2,20050
Man,"[0,20)",1,Vrouw,"[40,50)",3,21530
Man,"[0,20)",1,Vrouw,"[50,60)",1,12260
Man,"[0,20)",1,Vrouw,"[50,60)",2,6400
Man,"[0,20)",1,Vrouw,"[50,60)",3,72560
Man,"[0,20)",1,Vrouw,"[60,70)",1,10860
Man,"[0,20)",1,Vrouw,"[60,70)",2,3120
Man,"[0,20)",1,Vrouw,"[60,70)",3,2400
Man,"[0,20)",1,Vrouw,"[70,80)",1,6040
Man,"[0,20)",1,Vrouw,"[70,80)",2,1690
Man,"[0,20)",1,Vrouw,"[70,80)",3,2940
Man,"[0,20)",1,Vrouw,"[80,120]",1,500
Man,"[0,20)",1,Vrouw,"[80,120]",2,280
Man,"[0,20)",2,Man,"[0,20)",1,4390
Man,"[0,20)",2,Man,"[0,20)",2,270
Man,"[0,20)",2,Man,"[20,30)",1,450
Man,"[0,20)",2,Man,"[20,30)",2,1690
Man,"[0,20)",2,Man,"[20,30)",3,490
Man,"[0,20)",2,Man,"[30,40)",1,270
Man,"[0,20)",2,Man,"[30,40)",2,500
Man,"[0,20)",2,Man,"[30,40)",3,380
Man,"[0,20)",2,Man,"[40,50)",1,540
Man,"[0,20)",2,Man,"[40,50)",2,490
Man,"[0,20)",2,Man,"[40,50)",3,520
Man,"[0,20)",2,Man,"[50,60)",1,620
Man,"[0,20)",2,Man,"[50,60)",2,580
Man,"[0,20)",2,Man,"[50,60)",3,1120
Man,"[0,20)",2,Man,"[60,70)",1,210
Man,"[0,20)",2,Man,"[60,70)",2,120
Man,"[0,20)",2,Man,"[60,70)",3,250
Man,"[0,20)",2,Man,"[70,80)",1,80
Man,"[0,20)",2,Man,"[70,80)",3,60
Man,"[0,20)",2,Vrouw,"[0,20)",1,4000
Man,"[0,20)",2,Vrouw,"[0,20)",2,310
Man,"[0,20)",2,Vrouw,"[20,30)",1,230
Man,"[0,20)",2,Vrouw,"[20,30)",2,1910
Man,"[0,20)",2,Vrouw,"[20,30)",3,790
Man,"[0,20)",2,Vrouw,"[30,40)",1,320
Man,"[0,20)",2,Vrouw,"[30,40)",2,470
Man,"[0,20)",2,Vrouw,"[30,40)",3,420
