geslacht_src,oplniv_src,geslacht_dst,oplniv_dst,n
Man,1,Man,1,889430
Man,1,Man,2,133070
Man,1,Man,3,92100
Man,1,Vrouw,1,445050
Man,1,Vrouw,2,170880
Man,1,Vrouw,3,160210
Man,2,Man,1,133070
Man,2,Man,2,77680
Man,2,Man,3,41630
Man,2,Vrouw,1,203440
Man,2,Vrouw,2,150780
Man,2,Vrouw,3,82970
Man,3,Man,1,92100
Man,3,Man,2,41630
Man,3,Man,3,65820
Man,3,Vrouw,1,86120
Man,3,Vrouw,2,180160
Man,3,Vrouw,3,234820
Vrouw,1,Man,1,445050
Vrouw,1,Man,2,203440
Vrouw,1,Man,3,86120
Vrouw,1,Vrouw,1,268570
Vrouw,1,Vrouw,2,132750
Vrouw,1,Vrouw,3,95250
Vrouw,2,Man,1,170880
Vrouw,2,Man,2,150780
Vrouw,2,Man,3,180160
Vrouw,2,Vrouw,1,132740
Vrouw,2,Vrouw,2,79570
Vrouw,2,Vrouw,3,45920
Vrouw,3,Man,1,160200
Vrouw,3,Man,2,82970
Vrouw,3,Man,3,234820
Vrouw,3,Vrouw,1,95250
Vrouw,3,Vrouw,2,45920
Vrouw,3,Vrouw,3,93830
