lft_src,lft_dst,n
"[0,20)","[0,20)",1088410
"[0,20)","[20,30)",177190
"[0,20)","[30,40)",219590
"[0,20)","[40,50)",224120
"[0,20)","[50,60)",201570
"[0,20)","[60,70)",59920
"[0,20)","[70,80)",44170
"[0,20)","[80,120]",3710
"[20,30)","[0,20)",177190
"[20,30)","[20,30)",164120
"[20,30)","[30,40)",114980
"[20,30)","[40,50)",74640
"[20,30)","[50,60)",96250
"[20,30)","[60,70)",54490
"[20,30)","[70,80)",15590
"[20,30)","[80,120]",3820
"[30,40)","[0,20)",219580
"[30,40)","[20,30)",114980
"[30,40)","[30,40)",498780
"[30,40)","[40,50)",78400
"[30,40)","[50,60)",51010
"[30,40)","[60,70)",61320
"[30,40)","[70,80)",20890
"[30,40)","[80,120]",600
"[40,50)","[0,20)",224120
"[40,50)","[20,30)",74640
"[40,50)","[30,40)",78400
"[40,50)","[40,50)",129340
"[40,50)","[50,60)",75380
"[40,50)","[60,70)",31740
"[40,50)","[70,80)",27700
"[40,50)","[80,120]",370
"[50,60)","[0,20)",201560
"[50,60)","[20,30)",96250
"[50,60)","[30,40)",51010
"[50,60)","[40,50)",75380
"[50,60)","[50,60)",161900
"[50,60)","[60,70)",49250
"[50,60)","[70,80)",20460
"[50,60)","[80,120]",6750
"[60,70)","[0,20)",59920
"[60,70)","[20,30)",54490
"[60,70)","[30,40)",61320
"[60,70)","[40,50)",31740
"[60,70)","[50,60)",49250
"[60,70)","[60,70)",129600
"[60,70)","[70,80)",45890
"[60,70)","[80,120]",530
"[70,80)","[0,20)",44170
"[70,80)","[20,30)",15590
"[70,80)","[30,40)",20890
"[70,80)","[40,50)",27700
"[70,80)","[50,60)",20460
"[70,80)","[60,70)",45890
"[70,80)","[70,80)",208750
"[70,80)","[80,120]",9910
"[80,120]","[0,20)",3710
"[80,120]","[20,30)",3820
"[80,120]","[30,40)",600
"[80,120]","[40,50)",370
"[80,120]","[50,60)",6750
"[80,120]","[60,70)",530
"[80,120]","[70,80)",9910
"[80,120]","[80,120]",63820
