lft_src,etngrp_src,lft_dst,etngrp_dst,n
"[0,20)",Autochtoon,"[0,20)",Autochtoon,107420
"[0,20)",Autochtoon,"[0,20)",Marokkaans,17560
"[0,20)",Autochtoon,"[0,20)",Overig,8960
"[0,20)",Autochtoon,"[0,20)",Surinaams,6070
"[0,20)",Autochtoon,"[0,20)",Turks,4530
"[0,20)",Autochtoon,"[20,30)",Autochtoon,20700
"[0,20)",Autochtoon,"[20,30)",Marokkaans,9610
"[0,20)",Autochtoon,"[20,30)",Overig,4390
"[0,20)",Autochtoon,"[20,30)",Surinaams,6230
"[0,20)",Autochtoon,"[20,30)",Turks,3290
"[0,20)",Autochtoon,"[30,40)",Autochtoon,40430
"[0,20)",Autochtoon,"[30,40)",Marokkaans,12070
"[0,20)",Autochtoon,"[30,40)",Overig,9860
"[0,20)",Autochtoon,"[30,40)",Surinaams,8630
"[0,20)",Autochtoon,"[30,40)",Turks,4390
"[0,20)",Autochtoon,"[40,50)",Autochtoon,51750
"[0,20)",Autochtoon,"[40,50)",Marokkaans,5040
"[0,20)",Autochtoon,"[40,50)",Overig,9600
"[0,20)",Autochtoon,"[40,50)",Surinaams,5050
"[0,20)",Autochtoon,"[40,50)",Turks,1830
"[0,20)",Autochtoon,"[50,60)",Autochtoon,29480
"[0,20)",Autochtoon,"[50,60)",Marokkaans,3630
"[0,20)",Autochtoon,"[50,60)",Overig,5740
"[0,20)",Autochtoon,"[50,60)",Surinaams,3570
"[0,20)",Autochtoon,"[50,60)",Turks,2550
"[0,20)",Autochtoon,"[60,70)",Autochtoon,13440
"[0,20)",Autochtoon,"[60,70)",Marokkaans,3700
"[0,20)",Autochtoon,"[60,70)",Overig,3450
"[0,20)",Autochtoon,"[60,70)",Surinaams,2900
"[0,20)",Autochtoon,"[60,70)",Turks,1090
"[0,20)",Autochtoon,"[70,80)",Autochtoon,13990
"[0,20)",Autochtoon,"[70,80)",Marokkaans,2360
"[0,20)",Autochtoon,"[70,80)",Overig,2600
"[0,20)",Autochtoon,"[70,80)",Surinaams,630
"[0,20)",Autochtoon,"[70,80)",Turks,670
"[0,20)",Autochtoon,"[80,120]",Autochtoon,3280
"[0,20)",Autochtoon,"[80,120]",Marokkaans,130
"[0,20)",Marokkaans,"[0,20)",Autochtoon,17560
"[0,20)",Marokkaans,"[0,20)",Marokkaans,175840
"[0,20)",Marokkaans,"[0,20)",Overig,3170
"[0,20)",Marokkaans,"[0,20)",Surinaams,240
"[0,20)",Marokkaans,"[0,20)",Turks,330
"[0,20)",Marokkaans,"[20,30)",Autochtoon,180
"[0,20)",Marokkaans,"[20,30)",Marokkaans,69610
"[0,20)",Marokkaans,"[20,30)",Overig,1000
"[0,20)",Marokkaans,"[20,30)",Surinaams,210
"[0,20)",Marokkaans,"[20,30)",Turks,210
"[0,20)",Marokkaans,"[30,40)",Autochtoon,270
"[0,20)",Marokkaans,"[30,40)",Marokkaans,59770
"[0,20)",Marokkaans,"[30,40)",Overig,570
"[0,20)",Marokkaans,"[30,40)",Surinaams,160
"[0,20)",Marokkaans,"[30,40)",Turks,110
"[0,20)",Marokkaans,"[40,50)",Autochtoon,360
"[0,20)",Marokkaans,"[40,50)",Marokkaans,57630
"[0,20)",Marokkaans,"[40,50)",Overig,440
"[0,20)",Marokkaans,"[40,50)",Surinaams,90
"[0,20)",Marokkaans,"[40,50)",Turks,120
"[0,20)",Marokkaans,"[50,60)",Autochtoon,250
"[0,20)",Marokkaans,"[50,60)",Marokkaans,26390
"[0,20)",Marokkaans,"[50,60)",Overig,410
"[0,20)",Marokkaans,"[50,60)",Surinaams,70
"[0,20)",Marokkaans,"[50,60)",Turks,170
"[0,20)",Marokkaans,"[60,70)",Autochtoon,60
"[0,20)",Marokkaans,"[60,70)",Marokkaans,15890
"[0,20)",Marokkaans,"[60,70)",Overig,170
"[0,20)",Marokkaans,"[60,70)",Turks,10
"[0,20)",Marokkaans,"[70,80)",Marokkaans,14240
"[0,20)",Marokkaans,"[80,120]",Marokkaans,220
"[0,20)",Overig,"[0,20)",Autochtoon,8960
"[0,20)",Overig,"[0,20)",Marokkaans,3170
"[0,20)",Overig,"[0,20)",Overig,650240
"[0,20)",Overig,"[0,20)",Surinaams,1620
"[0,20)",Overig,"[0,20)",Turks,920
"[0,20)",Overig,"[20,30)",Autochtoon,4910
"[0,20)",Overig,"[20,30)",Marokkaans,1430
"[0,20)",Overig,"[20,30)",Overig,18490
