lft_src,etngrp_src,oplniv_src,lft_dst,etngrp_dst,oplniv_dst,n
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,1,100030
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,2,3420
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,3,20
"[0,20)",Autochtoon,1,"[0,20)",Marokkaans,1,16880
"[0,20)",Autochtoon,1,"[0,20)",Marokkaans,2,680
"[0,20)",Autochtoon,1,"[0,20)",Overig,1,8320
"[0,20)",Autochtoon,1,"[0,20)",Overig,2,350
"[0,20)",Autochtoon,1,"[0,20)",Surinaams,1,5630
"[0,20)",Autochtoon,1,"[0,20)",Surinaams,2,330
"[0,20)",Autochtoon,1,"[0,20)",Turks,1,4270
"[0,20)",Autochtoon,1,"[0,20)",Turks,2,240
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,1,2270
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,2,8570
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,3,6230
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,1,1730
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,2,6240
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,3,1640
"[0,20)",Autochtoon,1,"[20,30)",Overig,1,680
"[0,20)",Autochtoon,1,"[20,30)",Overig,2,2270
"[0,20)",Autochtoon,1,"[20,30)",Overig,3,1170
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,1,1570
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,2,3940
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,3,650
"[0,20)",Autochtoon,1,"[20,30)",Turks,1,660
"[0,20)",Autochtoon,1,"[20,30)",Turks,2,2120
"[0,20)",Autochtoon,1,"[20,30)",Turks,3,510
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,1,3060
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,2,7880
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,3,28610
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,1,2750
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,2,5890
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,3,3430
"[0,20)",Autochtoon,1,"[30,40)",Overig,1,1250
"[0,20)",Autochtoon,1,"[30,40)",Overig,2,2500
"[0,20)",Autochtoon,1,"[30,40)",Overig,3,6030
"[0,20)",Autochtoon,1,"[30,40)",Surinaams,1,2050
"[0,20)",Autochtoon,1,"[30,40)",Surinaams,2,4520
"[0,20)",Autochtoon,1,"[30,40)",Surinaams,3,2010
"[0,20)",Autochtoon,1,"[30,40)",Turks,1,850
"[0,20)",Autochtoon,1,"[30,40)",Turks,2,2240
"[0,20)",Autochtoon,1,"[30,40)",Turks,3,1300
"[0,20)",Autochtoon,1,"[40,50)",Autochtoon,1,3410
"[0,20)",Autochtoon,1,"[40,50)",Autochtoon,2,10380
"[0,20)",Autochtoon,1,"[40,50)",Autochtoon,3,36020
"[0,20)",Autochtoon,1,"[40,50)",Marokkaans,1,1540
"[0,20)",Autochtoon,1,"[40,50)",Marokkaans,2,2310
"[0,20)",Autochtoon,1,"[40,50)",Marokkaans,3,1190
"[0,20)",Autochtoon,1,"[40,50)",Overig,1,1320
"[0,20)",Autochtoon,1,"[40,50)",Overig,2,2150
"[0,20)",Autochtoon,1,"[40,50)",Overig,3,5750
"[0,20)",Autochtoon,1,"[40,50)",Surinaams,1,1440
"[0,20)",Autochtoon,1,"[40,50)",Surinaams,2,2410
"[0,20)",Autochtoon,1,"[40,50)",Surinaams,3,1110
"[0,20)",Autochtoon,1,"[40,50)",Turks,1,860
"[0,20)",Autochtoon,1,"[40,50)",Turks,2,590
"[0,20)",Autochtoon,1,"[40,50)",Turks,3,380
"[0,20)",Autochtoon,1,"[50,60)",Autochtoon,1,3710
"[0,20)",Autochtoon,1,"[50,60)",Autochtoon,2,7320
"[0,20)",Autochtoon,1,"[50,60)",Autochtoon,3,13450
"[0,20)",Autochtoon,1,"[50,60)",Marokkaans,1,3120
"[0,20)",Autochtoon,1,"[50,60)",Marokkaans,2,400
"[0,20)",Autochtoon,1,"[50,60)",Marokkaans,3,110
"[0,20)",Autochtoon,1,"[50,60)",Overig,1,1070
"[0,20)",Autochtoon,1,"[50,60)",Overig,2,1430
"[0,20)",Autochtoon,1,"[50,60)",Overig,3,2480
"[0,20)",Autochtoon,1,"[50,60)",Surinaams,1,1370
"[0,20)",Autochtoon,1,"[50,60)",Surinaams,2,1700
"[0,20)",Autochtoon,1,"[50,60)",Surinaams,3,460
"[0,20)",Autochtoon,1,"[50,60)",Turks,1,1890
