lft_src,oplniv_src,lft_dst,oplniv_dst,n
"[0,20)",1,"[0,20)",1,1047630
"[0,20)",1,"[0,20)",2,19680
"[0,20)",1,"[0,20)",3,30
"[0,20)",1,"[20,30)",1,33410
"[0,20)",1,"[20,30)",2,101620
"[0,20)",1,"[20,30)",3,29840
"[0,20)",1,"[30,40)",1,50920
"[0,20)",1,"[30,40)",2,81520
"[0,20)",1,"[30,40)",3,81710
"[0,20)",1,"[40,50)",1,61820
"[0,20)",1,"[40,50)",2,66060
"[0,20)",1,"[40,50)",3,88050
"[0,20)",1,"[50,60)",1,47320
"[0,20)",1,"[50,60)",2,27420
"[0,20)",1,"[50,60)",3,115110
"[0,20)",1,"[60,70)",1,35700
"[0,20)",1,"[60,70)",2,11630
"[0,20)",1,"[60,70)",3,10010
"[0,20)",1,"[70,80)",1,24830
"[0,20)",1,"[70,80)",2,7710
"[0,20)",1,"[70,80)",3,10210
"[0,20)",1,"[80,120]",1,1250
"[0,20)",1,"[80,120]",2,1300
"[0,20)",1,"[80,120]",3,1160
"[0,20)",2,"[0,20)",1,19680
"[0,20)",2,"[0,20)",2,1360
"[0,20)",2,"[20,30)",1,1620
"[0,20)",2,"[20,30)",2,7720
"[0,20)",2,"[20,30)",3,2970
"[0,20)",2,"[30,40)",1,1340
"[0,20)",2,"[30,40)",2,2300
"[0,20)",2,"[30,40)",3,1800
"[0,20)",2,"[40,50)",1,2800
"[0,20)",2,"[40,50)",2,2930
"[0,20)",2,"[40,50)",3,2460
"[0,20)",2,"[50,60)",1,3180
"[0,20)",2,"[50,60)",2,3070
"[0,20)",2,"[50,60)",3,5440
"[0,20)",2,"[60,70)",1,980
"[0,20)",2,"[60,70)",2,650
"[0,20)",2,"[60,70)",3,950
"[0,20)",2,"[70,80)",1,1070
"[0,20)",2,"[70,80)",2,170
"[0,20)",2,"[70,80)",3,180
"[0,20)",3,"[0,20)",1,30
"[0,20)",3,"[20,30)",2,10
"[0,20)",3,"[50,60)",3,30
"[20,30)",1,"[0,20)",1,33410
"[20,30)",1,"[0,20)",2,1620
"[20,30)",1,"[20,30)",1,4830
"[20,30)",1,"[20,30)",2,13030
"[20,30)",1,"[20,30)",3,2940
"[20,30)",1,"[30,40)",1,5640
"[20,30)",1,"[30,40)",2,6690
"[20,30)",1,"[30,40)",3,2910
"[20,30)",1,"[40,50)",1,13000
"[20,30)",1,"[40,50)",2,4490
"[20,30)",1,"[40,50)",3,7530
"[20,30)",1,"[50,60)",1,7490
"[20,30)",1,"[50,60)",2,3890
"[20,30)",1,"[50,60)",3,4440
"[20,30)",1,"[60,70)",1,4070
"[20,30)",1,"[60,70)",2,1420
"[20,30)",1,"[60,70)",3,730
"[20,30)",1,"[70,80)",1,1690
"[20,30)",1,"[70,80)",2,200
"[20,30)",1,"[80,120]",1,10
"[20,30)",2,"[0,20)",1,101620
"[20,30)",2,"[0,20)",2,7720
"[20,30)",2,"[0,20)",3,10
"[20,30)",2,"[20,30)",1,13030
"[20,30)",2,"[20,30)",2,48800
"[20,30)",2,"[20,30)",3,21920
"[20,30)",2,"[30,40)",1,10530
"[20,30)",2,"[30,40)",2,30740
"[20,30)",2,"[30,40)",3,16240
"[20,30)",2,"[40,50)",1,16480
"[20,30)",2,"[40,50)",2,14680
"[20,30)",2,"[40,50)",3,6360
"[20,30)",2,"[50,60)",1,25560
"[20,30)",2,"[50,60)",2,17980
"[20,30)",2,"[50,60)",3,13110
"[20,30)",2,"[60,70)",1,13490
"[20,30)",2,"[60,70)",2,6170
"[20,30)",2,"[60,70)",3,9340
"[20,30)",2,"[70,80)",1,7890
"[20,30)",2,"[70,80)",2,1130
"[20,30)",2,"[70,80)",3,1140
"[20,30)",2,"[80,120]",1,1320
"[20,30)",2,"[80,120]",2,660
"[20,30)",2,"[80,120]",3,290
"[20,30)",3,"[0,20)",1,29840
"[20,30)",3,"[0,20)",2,2970
"[20,30)",3,"[20,30)",1,2940
"[20,30)",3,"[20,30)",2,21920
"[20,30)",3,"[20,30)",3,34710
"[20,30)",3,"[30,40)",1,2140
"[20,30)",3,"[30,40)",2,7360
"[20,30)",3,"[30,40)",3,32730
"[20,30)",3,"[40,50)",1,2840
"[20,30)",3,"[40,50)",2,4350
"[20,30)",3,"[40,50)",3,4910
"[20,30)",3,"[50,60)",1,5920
"[20,30)",3,"[50,60)",2,7290
"[20,30)",3,"[50,60)",3,10570
"[20,30)",3,"[60,70)",1,3900
"[20,30)",3,"[60,70)",2,4400
"[20,30)",3,"[60,70)",3,10970
"[20,30)",3,"[70,80)",1,1750
"[20,30)",3,"[70,80)",2,460
"[20,30)",3,"[70,80)",3,1330
"[20,30)",3,"[80,120]",1,850
"[20,30)",3,"[80,120]",2,520
"[20,30)",3,"[80,120]",3,170
"[30,40)",1,"[0,20)",1,50920
"[30,40)",1,"[0,20)",2,1340
"[30,40)",1,"[20,30)",1,5640
"[30,40)",1,"[20,30)",2,10530
"[30,40)",1,"[20,30)",3,2140
"[30,40)",1,"[30,40)",1,14330
"[30,40)",1,"[30,40)",2,9950
"[30,40)",1,"[30,40)",3,4590
"[30,40)",1,"[40,50)",1,10410
"[30,40)",1,"[40,50)",2,5920
"[30,40)",1,"[40,50)",3,1400
"[30,40)",1,"[50,60)",1,8240
"[30,40)",1,"[50,60)",2,3160
"[30,40)",1,"[50,60)",3,750
"[30,40)",1,"[60,70)",1,8940
"[30,40)",1,"[60,70)",2,3190
"[30,40)",1,"[60,70)",3,500
"[30,40)",1,"[70,80)",1,4910
"[30,40)",1,"[70,80)",2,440
"[30,40)",1,"[70,80)",3,20
"[30,40)",1,"[80,120]",1,40
"[30,40)",2,"[0,20)",1,81510
"[30,40)",2,"[0,20)",2,2300
"[30,40)",2,"[20,30)",1,6690
"[30,40)",2,"[20,30)",2,30740
"[30,40)",2,"[20,30)",3,7360
"[30,40)",2,"[30,40)",1,9950
"[30,40)",2,"[30,40)",2,29370
"[30,40)",2,"[30,40)",3,119520
"[30,40)",2,"[40,50)",1,8760
"[30,40)",2,"[40,50)",2,13680
"[30,40)",2,"[40,50)",3,6950
"[30,40)",2,"[50,60)",1,13760
"[30,40)",2,"[50,60)",2,6030
"[30,40)",2,"[50,60)",3,2540
"[30,40)",2,"[60,70)",1,13490
"[30,40)",2,"[60,70)",2,5930
"[30,40)",2,"[60,70)",3,3300
"[30,40)",2,"[70,80)",1,5460
"[30,40)",2,"[70,80)",2,1040
"[30,40)",2,"[70,80)",3,1290
"[30,40)",2,"[80,120]",1,120
"[30,40)",3,"[0,20)",1,81710
"[30,40)",3,"[0,20)",2,1800
"[30,40)",3,"[20,30)",1,2910
"[30,40)",3,"[20,30)",2,16240
"[30,40)",3,"[20,30)",3,32730
"[30,40)",3,"[30,40)",1,4590
"[30,40)",3,"[30,40)",2,119520
"[30,40)",3,"[30,40)",3,186960
"[30,40)",3,"[40,50)",1,3800
"[30,40)",3,"[40,50)",2,8800
"[30,40)",3,"[40,50)",3,18680
"[30,40)",3,"[50,60)",1,5560
"[30,40)",3,"[50,60)",2,5350
"[30,40)",3,"[50,60)",3,5620
"[30,40)",3,"[60,70)",1,7390
"[30,40)",3,"[60,70)",2,6180
"[30,40)",3,"[60,70)",3,12400
"[30,40)",3,"[70,80)",1,2090
"[30,40)",3,"[70,80)",2,1520
"[30,40)",3,"[70,80)",3,4120
"[30,40)",3,"[80,120]",1,440
"[40,50)",1,"[0,20)",1,61820
"[40,50)",1,"[0,20)",2,2800
"[40,50)",1,"[20,30)",1,13000
"[40,50)",1,"[20,30)",2,16480
"[40,50)",1,"[20,30)",3,2840
"[40,50)",1,"[30,40)",1,10410
"[40,50)",1,"[30,40)",2,8760
"[40,50)",1,"[30,40)",3,3800
"[40,50)",1,"[40,50)",1,13890
"[40,50)",1,"[40,50)",2,11060
"[40,50)",1,"[40,50)",3,6200
"[40,50)",1,"[50,60)",1,13660
"[40,50)",1,"[50,60)",2,6760
"[40,50)",1,"[50,60)",3,1000
"[40,50)",1,"[60,70)",1,7070
"[40,50)",1,"[60,70)",2,2190
"[40,50)",1,"[60,70)",3,650
"[40,50)",1,"[70,80)",1,4890
"[40,50)",1,"[70,80)",2,860
"[40,50)",2,"[0,20)",1,66060
"[40,50)",2,"[0,20)",2,2930
"[40,50)",2,"[20,30)",1,4490
"[40,50)",2,"[20,30)",2,14680
"[40,50)",2,"[20,30)",3,4350
"[40,50)",2,"[30,40)",1,5920
"[40,50)",2,"[30,40)",2,13680
"[40,50)",2,"[30,40)",3,8800
"[40,50)",2,"[40,50)",1,11060
"[40,50)",2,"[40,50)",2,25970
"[40,50)",2,"[40,50)",3,10980
"[40,50)",2,"[50,60)",1,7840
"[40,50)",2,"[50,60)",2,13120
"[40,50)",2,"[50,60)",3,3670
"[40,50)",2,"[60,70)",1,9040
"[40,50)",2,"[60,70)",2,2370
"[40,50)",2,"[60,70)",3,1590
"[40,50)",2,"[70,80)",1,6640
"[40,50)",2,"[70,80)",2,2300
"[40,50)",2,"[70,80)",3,1400
"[40,50)",3,"[0,20)",1,88050
"[40,50)",3,"[0,20)",2,2460
"[40,50)",3,"[20,30)",1,7530
"[40,50)",3,"[20,30)",2,6360
"[40,50)",3,"[20,30)",3,4910
"[40,50)",3,"[30,40)",1,1400
"[40,50)",3,"[30,40)",2,6950
"[40,50)",3,"[30,40)",3,18680
"[40,50)",3,"[40,50)",1,6200
"[40,50)",3,"[40,50)",2,10980
"[40,50)",3,"[40,50)",3,33000
"[40,50)",3,"[50,60)",1,3480
"[40,50)",3,"[50,60)",2,16710
"[40,50)",3,"[50,60)",3,9140
"[40,50)",3,"[60,70)",1,3130
"[40,50)",3,"[60,70)",2,2410
"[40,50)",3,"[60,70)",3,3290
"[40,50)",3,"[70,80)",1,2400
"[40,50)",3,"[70,80)",2,2210
"[40,50)",3,"[70,80)",3,7000
"[40,50)",3,"[80,120]",2,370
"[50,60)",1,"[0,20)",1,47320
"[50,60)",1,"[0,20)",2,3180
"[50,60)",1,"[20,30)",1,7490
"[50,60)",1,"[20,30)",2,25560
"[50,60)",1,"[20,30)",3,5920
"[50,60)",1,"[30,40)",1,8240
"[50,60)",1,"[30,40)",2,13760
"[50,60)",1,"[30,40)",3,5560
"[50,60)",1,"[40,50)",1,13660
"[50,60)",1,"[40,50)",2,7840
"[50,60)",1,"[40,50)",3,3480
"[50,60)",1,"[50,60)",1,25430
"[50,60)",1,"[50,60)",2,15040
"[50,60)",1,"[50,60)",3,2990
"[50,60)",1,"[60,70)",1,14350
"[50,60)",1,"[60,70)",2,6650
"[50,60)",1,"[60,70)",3,1620
"[50,60)",1,"[70,80)",1,6410
"[50,60)",1,"[70,80)",2,1160
"[50,60)",1,"[80,120]",1,3500
"[50,60)",2,"[0,20)",1,27420
"[50,60)",2,"[0,20)",2,3070
"[50,60)",2,"[20,30)",1,3890
"[50,60)",2,"[20,30)",2,17980
"[50,60)",2,"[20,30)",3,7290
"[50,60)",2,"[30,40)",1,3160
"[50,60)",2,"[30,40)",2,6030
"[50,60)",2,"[30,40)",3,5350
"[50,60)",2,"[40,50)",1,6760
"[50,60)",2,"[40,50)",2,13120
"[50,60)",2,"[40,50)",3,16710
"[50,60)",2,"[50,60)",1,15040
"[50,60)",2,"[50,60)",2,24700
"[50,60)",2,"[50,60)",3,23350
"[50,60)",2,"[60,70)",1,4380
"[50,60)",2,"[60,70)",2,6890
"[50,60)",2,"[60,70)",3,3930
"[50,60)",2,"[70,80)",1,3390
"[50,60)",2,"[70,80)",2,4430
"[50,60)",2,"[70,80)",3,1010
"[50,60)",2,"[80,120]",1,1970
