etngrp_src,etngrp_dst,n
Autochtoon,Autochtoon,1598980
Autochtoon,Marokkaans,6500
Autochtoon,Overig,307700
Autochtoon,Surinaams,18870
Autochtoon,Turks,4170
Marokkaans,Autochtoon,6500
Marokkaans,Marokkaans,475440
Marokkaans,Overig,4300
Marokkaans,Surinaams,90
Marokkaans,Turks,10
Overig,Autochtoon,307700
Overig,Marokkaans,4300
Overig,Overig,3030230
Overig,Surinaams,5180
Overig,Turks,4510
Surinaams,Autochtoon,18870
Surinaams,Marokkaans,90
Surinaams,Overig,5180
Surinaams,Surinaams,97520
Turks,Autochtoon,4170
Turks,Marokkaans,10
Turks,Overig,4510
Turks,Turks,238040
