etngrp_src,geslacht_src,etngrp_dst,geslacht_dst,n
Autochtoon,Man,Autochtoon,Man,91860
Autochtoon,Man,Autochtoon,Vrouw,707880
Autochtoon,Man,Marokkaans,Man,1190
Autochtoon,Man,Marokkaans,Vrouw,1860
Autochtoon,Man,Overig,Man,18380
Autochtoon,Man,Overig,Vrouw,164130
Autochtoon,Man,Surinaams,Man,1580
Autochtoon,Man,Surinaams,Vrouw,8420
Autochtoon,Man,Turks,Man,1020
Autochtoon,Man,Turks,Vrouw,1240
Autochtoon,Vrouw,Autochtoon,Man,707880
Autochtoon,Vrouw,Autochtoon,Vrouw,91360
Autochtoon,Vrouw,Marokkaans,Man,1720
Autochtoon,Vrouw,Marokkaans,Vrouw,1730
Autochtoon,Vrouw,Overig,Man,111430
Autochtoon,Vrouw,Overig,Vrouw,13760
Autochtoon,Vrouw,Surinaams,Man,5220
Autochtoon,Vrouw,Surinaams,Vrouw,3650
Autochtoon,Vrouw,Turks,Man,970
Autochtoon,Vrouw,Turks,Vrouw,940
Marokkaans,Man,Autochtoon,Man,1190
Marokkaans,Man,Autochtoon,Vrouw,1720
Marokkaans,Man,Marokkaans,Man,48930
Marokkaans,Man,Marokkaans,Vrouw,190840
Marokkaans,Man,Overig,Man,540
Marokkaans,Man,Overig,Vrouw,1480
Marokkaans,Man,Surinaams,Man,30
Marokkaans,Man,Surinaams,Vrouw,10
Marokkaans,Vrouw,Autochtoon,Man,1860
Marokkaans,Vrouw,Autochtoon,Vrouw,1730
Marokkaans,Vrouw,Marokkaans,Man,190840
Marokkaans,Vrouw,Marokkaans,Vrouw,44830
Marokkaans,Vrouw,Overig,Man,2040
Marokkaans,Vrouw,Overig,Vrouw,240
Marokkaans,Vrouw,Surinaams,Man,50
Marokkaans,Vrouw,Turks,Man,10
Overig,Man,Autochtoon,Man,18380
Overig,Man,Autochtoon,Vrouw,111430
Overig,Man,Marokkaans,Man,540
Overig,Man,Marokkaans,Vrouw,2040
Overig,Man,Overig,Man,1005670
Overig,Man,Overig,Vrouw,841520
Overig,Man,Surinaams,Man,740
Overig,Man,Surinaams,Vrouw,2120
Overig,Man,Turks,Man,210
Overig,Man,Turks,Vrouw,270
Overig,Vrouw,Autochtoon,Man,164130
Overig,Vrouw,Autochtoon,Vrouw,13760
Overig,Vrouw,Marokkaans,Man,1480
Overig,Vrouw,Marokkaans,Vrouw,240
Overig,Vrouw,Overig,Man,841520
Overig,Vrouw,Overig,Vrouw,341520
Overig,Vrouw,Surinaams,Man,1800
Overig,Vrouw,Surinaams,Vrouw,520
Overig,Vrouw,Turks,Man,3950
Overig,Vrouw,Turks,Vrouw,80
Surinaams,Man,Autochtoon,Man,1580
Surinaams,Man,Autochtoon,Vrouw,5220
Surinaams,Man,Marokkaans,Man,30
Surinaams,Man,Marokkaans,Vrouw,50
Surinaams,Man,Overig,Man,740
Surinaams,Man,Overig,Vrouw,1800
Surinaams,Man,Surinaams,Man,12100
Surinaams,Man,Surinaams,Vrouw,33360
Surinaams,Vrouw,Autochtoon,Man,8420
Surinaams,Vrouw,Autochtoon,Vrouw,3650
Surinaams,Vrouw,Marokkaans,Man,10
Surinaams,Vrouw,Overig,Man,2120
Surinaams,Vrouw,Overig,Vrouw,520
Surinaams,Vrouw,Surinaams,Man,33360
Surinaams,Vrouw,Surinaams,Vrouw,18700
Turks,Man,Autochtoon,Man,1020
Turks,Man,Autochtoon,Vrouw,970
Turks,Man,Marokkaans,Vrouw,10
Turks,Man,Overig,Man,210
Turks,Man,Overig,Vrouw,3950
Turks,Man,Turks,Man,17930
Turks,Man,Turks,Vrouw,100640
Turks,Vrouw,Autochtoon,Man,1240
Turks,Vrouw,Autochtoon,Vrouw,940
Turks,Vrouw,Overig,Man,270
Turks,Vrouw,Overig,Vrouw,80
Turks,Vrouw,Turks,Man,100640
Turks,Vrouw,Turks,Vrouw,18830
