etngrp_src,geslacht_src,lft_src,etngrp_dst,geslacht_dst,lft_dst,n
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[0,20)",15380
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[20,30)",980
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[30,40)",5140
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[40,50)",8570
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[50,60)",4650
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[60,70)",630
Autochtoon,Man,"[0,20)",Autochtoon,Man,"[70,80)",50
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",14500
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",1330
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",7630
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",10540
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",4140
Autochtoon,Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",230
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[0,20)",40
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[20,30)",150
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[30,40)",760
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[40,50)",190
Autochtoon,Man,"[0,20)",Marokkaans,Man,"[50,60)",10
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",40
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[20,30)",420
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",1010
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[40,50)",100
Autochtoon,Man,"[0,20)",Marokkaans,Vrouw,"[50,60)",10
Autochtoon,Man,"[0,20)",Overig,Man,"[0,20)",170
Autochtoon,Man,"[0,20)",Overig,Man,"[20,30)",140
Autochtoon,Man,"[0,20)",Overig,Man,"[30,40)",1050
Autochtoon,Man,"[0,20)",Overig,Man,"[40,50)",1370
Autochtoon,Man,"[0,20)",Overig,Man,"[50,60)",710
Autochtoon,Man,"[0,20)",Overig,Man,"[60,70)",80
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[0,20)",180
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[20,30)",330
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[30,40)",1860
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[40,50)",1810
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[50,60)",840
Autochtoon,Man,"[0,20)",Overig,Vrouw,"[60,70)",80
Autochtoon,Man,"[0,20)",Surinaams,Man,"[0,20)",160
Autochtoon,Man,"[0,20)",Surinaams,Man,"[20,30)",190
Autochtoon,Man,"[0,20)",Surinaams,Man,"[30,40)",480
Autochtoon,Man,"[0,20)",Surinaams,Man,"[40,50)",290
Autochtoon,Man,"[0,20)",Surinaams,Man,"[50,60)",70
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[0,20)",120
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[20,30)",610
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[30,40)",1490
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[40,50)",570
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[50,60)",250
Autochtoon,Man,"[0,20)",Surinaams,Vrouw,"[60,70)",60
Autochtoon,Man,"[0,20)",Turks,Man,"[0,20)",20
Autochtoon,Man,"[0,20)",Turks,Man,"[20,30)",120
Autochtoon,Man,"[0,20)",Turks,Man,"[30,40)",550
Autochtoon,Man,"[0,20)",Turks,Man,"[40,50)",90
Autochtoon,Man,"[0,20)",Turks,Man,"[50,60)",10
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[0,20)",30
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[20,30)",210
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[30,40)",580
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[40,50)",80
Autochtoon,Man,"[0,20)",Turks,Vrouw,"[50,60)",10
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[0,20)",980
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[20,30)",7710
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[30,40)",970
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[40,50)",270
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[50,60)",1780
Autochtoon,Man,"[20,30)",Autochtoon,Man,"[60,70)",1430
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[0,20)",950
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[20,30)",10150
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[30,40)",1460
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[40,50)",470
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[50,60)",2970
Autochtoon,Man,"[20,30)",Autochtoon,Vrouw,"[60,70)",830
Autochtoon,Man,"[20,30)",Marokkaans,Man,"[20,30)",20
Autochtoon,Man,"[20,30)",Marokkaans,Vrouw,"[20,30)",40
Autochtoon,Man,"[20,30)",Overig,Man,"[0,20)",80
Autochtoon,Man,"[20,30)",Overig,Man,"[20,30)",1130
Autochtoon,Man,"[20,30)",Overig,Man,"[30,40)",170
Autochtoon,Man,"[20,30)",Overig,Man,"[40,50)",20
Autochtoon,Man,"[20,30)",Overig,Man,"[50,60)",180
Autochtoon,Man,"[20,30)",Overig,Man,"[60,70)",100
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[0,20)",60
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[20,30)",5630
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[30,40)",410
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[40,50)",80
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[50,60)",340
Autochtoon,Man,"[20,30)",Overig,Vrouw,"[60,70)",70
Autochtoon,Man,"[20,30)",Surinaams,Man,"[0,20)",20
Autochtoon,Man,"[20,30)",Surinaams,Man,"[20,30)",80
Autochtoon,Man,"[20,30)",Surinaams,Man,"[30,40)",10
