etngrp_src,geslacht_src,oplniv_src,etngrp_dst,geslacht_dst,oplniv_dst,n
Autochtoon,Man,1,Autochtoon,Man,1,17690
Autochtoon,Man,1,Autochtoon,Man,2,6430
Autochtoon,Man,1,Autochtoon,Man,3,13060
Autochtoon,Man,1,Autochtoon,Vrouw,1,184840
Autochtoon,Man,1,Autochtoon,Vrouw,2,60190
Autochtoon,Man,1,Autochtoon,Vrouw,3,21490
Autochtoon,Man,1,Marokkaans,Man,1,250
Autochtoon,Man,1,Marokkaans,Man,2,500
Autochtoon,Man,1,Marokkaans,Man,3,410
Autochtoon,Man,1,Marokkaans,Vrouw,1,250
Autochtoon,Man,1,Marokkaans,Vrouw,2,810
Autochtoon,Man,1,Marokkaans,Vrouw,3,520
Autochtoon,Man,1,Overig,Man,1,690
Autochtoon,Man,1,Overig,Man,2,940
Autochtoon,Man,1,Overig,Man,3,2050
Autochtoon,Man,1,Overig,Vrouw,1,32160
Autochtoon,Man,1,Overig,Vrouw,2,4210
Autochtoon,Man,1,Overig,Vrouw,3,4730
Autochtoon,Man,1,Surinaams,Man,1,420
Autochtoon,Man,1,Surinaams,Man,2,470
Autochtoon,Man,1,Surinaams,Man,3,320
Autochtoon,Man,1,Surinaams,Vrouw,1,860
Autochtoon,Man,1,Surinaams,Vrouw,2,2560
Autochtoon,Man,1,Surinaams,Vrouw,3,660
Autochtoon,Man,1,Turks,Man,1,180
Autochtoon,Man,1,Turks,Man,2,390
Autochtoon,Man,1,Turks,Man,3,220
Autochtoon,Man,1,Turks,Vrouw,1,160
Autochtoon,Man,1,Turks,Vrouw,2,450
Autochtoon,Man,1,Turks,Vrouw,3,300
Autochtoon,Man,2,Autochtoon,Man,1,6430
Autochtoon,Man,2,Autochtoon,Man,2,6660
Autochtoon,Man,2,Autochtoon,Man,3,5140
Autochtoon,Man,2,Autochtoon,Vrouw,1,134130
Autochtoon,Man,2,Autochtoon,Vrouw,2,77730
Autochtoon,Man,2,Autochtoon,Vrouw,3,26650
Autochtoon,Man,2,Marokkaans,Man,1,10
Autochtoon,Man,2,Marokkaans,Vrouw,2,70
Autochtoon,Man,2,Marokkaans,Vrouw,3,20
Autochtoon,Man,2,Overig,Man,1,920
Autochtoon,Man,2,Overig,Man,2,1210
Autochtoon,Man,2,Overig,Man,3,2250
Autochtoon,Man,2,Overig,Vrouw,1,10720
Autochtoon,Man,2,Overig,Vrouw,2,17660
Autochtoon,Man,2,Overig,Vrouw,3,10090
Autochtoon,Man,2,Surinaams,Man,1,90
Autochtoon,Man,2,Surinaams,Man,2,40
Autochtoon,Man,2,Surinaams,Man,3,10
Autochtoon,Man,2,Surinaams,Vrouw,1,800
Autochtoon,Man,2,Surinaams,Vrouw,2,720
Autochtoon,Man,2,Surinaams,Vrouw,3,1160
Autochtoon,Man,2,Turks,Vrouw,3,30
Autochtoon,Man,3,Autochtoon,Man,1,13060
Autochtoon,Man,3,Autochtoon,Man,2,5140
Autochtoon,Man,3,Autochtoon,Man,3,18250
Autochtoon,Man,3,Autochtoon,Vrouw,1,32890
Autochtoon,Man,3,Autochtoon,Vrouw,2,38960
Autochtoon,Man,3,Autochtoon,Vrouw,3,131000
Autochtoon,Man,3,Marokkaans,Man,1,10
Autochtoon,Man,3,Marokkaans,Man,3,10
Autochtoon,Man,3,Marokkaans,Vrouw,1,10
Autochtoon,Man,3,Marokkaans,Vrouw,2,40
Autochtoon,Man,3,Marokkaans,Vrouw,3,140
Autochtoon,Man,3,Overig,Man,1,4680
Autochtoon,Man,3,Overig,Man,2,1590
Autochtoon,Man,3,Overig,Man,3,4050
Autochtoon,Man,3,Overig,Vrouw,1,11000
Autochtoon,Man,3,Overig,Vrouw,2,18390
Autochtoon,Man,3,Overig,Vrouw,3,55170
Autochtoon,Man,3,Surinaams,Man,1,100
Autochtoon,Man,3,Surinaams,Man,2,70
Autochtoon,Man,3,Surinaams,Man,3,60
Autochtoon,Man,3,Surinaams,Vrouw,1,100
Autochtoon,Man,3,Surinaams,Vrouw,2,300
Autochtoon,Man,3,Surinaams,Vrouw,3,1260
Autochtoon,Man,3,Turks,Man,1,220
Autochtoon,Man,3,Turks,Man,3,10
Autochtoon,Man,3,Turks,Vrouw,1,40
Autochtoon,Man,3,Turks,Vrouw,2,20
Autochtoon,Man,3,Turks,Vrouw,3,240
Autochtoon,Vrouw,1,Autochtoon,Man,1,184840
Autochtoon,Vrouw,1,Autochtoon,Man,2,134130
Autochtoon,Vrouw,1,Autochtoon,Man,3,32890
Autochtoon,Vrouw,1,Autochtoon,Vrouw,1,16480
Autochtoon,Vrouw,1,Autochtoon,Vrouw,2,5670
Autochtoon,Vrouw,1,Autochtoon,Vrouw,3,15090
Autochtoon,Vrouw,1,Marokkaans,Man,1,290
Autochtoon,Vrouw,1,Marokkaans,Man,2,520
Autochtoon,Vrouw,1,Marokkaans,Man,3,320
Autochtoon,Vrouw,1,Marokkaans,Vrouw,1,300
Autochtoon,Vrouw,1,Marokkaans,Vrouw,2,750
Autochtoon,Vrouw,1,Marokkaans,Vrouw,3,500
Autochtoon,Vrouw,1,Overig,Man,1,12990
Autochtoon,Vrouw,1,Overig,Man,2,2690
Autochtoon,Vrouw,1,Overig,Man,3,2160
Autochtoon,Vrouw,1,Overig,Vrouw,1,730
Autochtoon,Vrouw,1,Overig,Vrouw,2,1240
Autochtoon,Vrouw,1,Overig,Vrouw,3,2850
Autochtoon,Vrouw,1,Surinaams,Man,1,510
Autochtoon,Vrouw,1,Surinaams,Man,2,1150
Autochtoon,Vrouw,1,Surinaams,Man,3,290
Autochtoon,Vrouw,1,Surinaams,Vrouw,1,810
Autochtoon,Vrouw,1,Surinaams,Vrouw,2,1670
Autochtoon,Vrouw,1,Surinaams,Vrouw,3,610
Autochtoon,Vrouw,1,Turks,Man,1,170
Autochtoon,Vrouw,1,Turks,Man,2,320
Autochtoon,Vrouw,1,Turks,Man,3,200
Autochtoon,Vrouw,1,Turks,Vrouw,1,170
Autochtoon,Vrouw,1,Turks,Vrouw,2,430
Autochtoon,Vrouw,1,Turks,Vrouw,3,250
Autochtoon,Vrouw,2,Autochtoon,Man,1,60190
Autochtoon,Vrouw,2,Autochtoon,Man,2,77730
Autochtoon,Vrouw,2,Autochtoon,Man,3,38960
Autochtoon,Vrouw,2,Autochtoon,Vrouw,1,5670
Autochtoon,Vrouw,2,Autochtoon,Vrouw,2,4870
Autochtoon,Vrouw,2,Autochtoon,Vrouw,3,4240
Autochtoon,Vrouw,2,Marokkaans,Man,1,160
Autochtoon,Vrouw,2,Marokkaans,Man,2,100
Autochtoon,Vrouw,2,Marokkaans,Man,3,20
Autochtoon,Vrouw,2,Marokkaans,Vrouw,1,100
Autochtoon,Vrouw,2,Marokkaans,Vrouw,2,10
Autochtoon,Vrouw,2,Overig,Man,1,3400
Autochtoon,Vrouw,2,Overig,Man,2,12560
Autochtoon,Vrouw,2,Overig,Man,3,13020
Autochtoon,Vrouw,2,Overig,Vrouw,1,750
Autochtoon,Vrouw,2,Overig,Vrouw,2,710
Autochtoon,Vrouw,2,Overig,Vrouw,3,770
Autochtoon,Vrouw,2,Surinaams,Man,1,250
Autochtoon,Vrouw,2,Surinaams,Man,2,1010
Autochtoon,Vrouw,2,Surinaams,Man,3,410
Autochtoon,Vrouw,2,Surinaams,Vrouw,1,170
Autochtoon,Vrouw,2,Surinaams,Vrouw,2,120
Autochtoon,Vrouw,2,Surinaams,Vrouw,3,20
Autochtoon,Vrouw,2,Turks,Man,1,20
Autochtoon,Vrouw,2,Turks,Man,2,40
Autochtoon,Vrouw,2,Turks,Vrouw,1,20
Autochtoon,Vrouw,3,Autochtoon,Man,1,21490
Autochtoon,Vrouw,3,Autochtoon,Man,2,26650
Autochtoon,Vrouw,3,Autochtoon,Man,3,131000
Autochtoon,Vrouw,3,Autochtoon,Vrouw,1,15090
Autochtoon,Vrouw,3,Autochtoon,Vrouw,2,4240
Autochtoon,Vrouw,3,Autochtoon,Vrouw,3,20010
Autochtoon,Vrouw,3,Marokkaans,Man,1,60
Autochtoon,Vrouw,3,Marokkaans,Man,2,110
Autochtoon,Vrouw,3,Marokkaans,Man,3,140
Autochtoon,Vrouw,3,Marokkaans,Vrouw,1,70
Autochtoon,Vrouw,3,Overig,Man,1,18380
Autochtoon,Vrouw,3,Overig,Man,2,8040
Autochtoon,Vrouw,3,Overig,Man,3,38190
Autochtoon,Vrouw,3,Overig,Vrouw,1,2510
Autochtoon,Vrouw,3,Overig,Vrouw,2,760
Autochtoon,Vrouw,3,Overig,Vrouw,3,3440
Autochtoon,Vrouw,3,Surinaams,Man,1,290
Autochtoon,Vrouw,3,Surinaams,Man,2,450
Autochtoon,Vrouw,3,Surinaams,Man,3,860
Autochtoon,Vrouw,3,Surinaams,Vrouw,1,210
Autochtoon,Vrouw,3,Surinaams,Vrouw,2,10
Autochtoon,Vrouw,3,Surinaams,Vrouw,3,30
Autochtoon,Vrouw,3,Turks,Man,1,20
Autochtoon,Vrouw,3,Turks,Man,2,60
Autochtoon,Vrouw,3,Turks,Man,3,140
Autochtoon,Vrouw,3,Turks,Vrouw,1,50
Autochtoon,Vrouw,3,Turks,Vrouw,3,20
Marokkaans,Man,1,Autochtoon,Man,1,250
Marokkaans,Man,1,Autochtoon,Man,2,10
Marokkaans,Man,1,Autochtoon,Man,3,10
Marokkaans,Man,1,Autochtoon,Vrouw,1,290
Marokkaans,Man,1,Autochtoon,Vrouw,2,160
Marokkaans,Man,1,Autochtoon,Vrouw,3,60
Marokkaans,Man,1,Marokkaans,Man,1,28860
Marokkaans,Man,1,Marokkaans,Man,2,7200
Marokkaans,Man,1,Marokkaans,Man,3,1460
Marokkaans,Man,1,Marokkaans,Vrouw,1,119890
Marokkaans,Man,1,Marokkaans,Vrouw,2,28080
Marokkaans,Man,1,Marokkaans,Vrouw,3,3860
Marokkaans,Man,1,Overig,Man,1,300
Marokkaans,Man,1,Overig,Man,2,70
Marokkaans,Man,1,Overig,Man,3,20
Marokkaans,Man,1,Overig,Vrouw,1,750
Marokkaans,Man,1,Overig,Vrouw,2,90
Marokkaans,Man,1,Overig,Vrouw,3,30
Marokkaans,Man,1,Surinaams,Man,1,20
Marokkaans,Man,1,Surinaams,Man,2,10
Marokkaans,Man,2,Autochtoon,Man,1,500
Marokkaans,Man,2,Autochtoon,Vrouw,1,520
Marokkaans,Man,2,Autochtoon,Vrouw,2,100
Marokkaans,Man,2,Autochtoon,Vrouw,3,110
Marokkaans,Man,2,Marokkaans,Man,1,7200
Marokkaans,Man,2,Marokkaans,Man,2,1980
Marokkaans,Man,2,Marokkaans,Man,3,350
Marokkaans,Man,2,Marokkaans,Vrouw,1,22110
Marokkaans,Man,2,Marokkaans,Vrouw,2,6730
Marokkaans,Man,2,Marokkaans,Vrouw,3,4490
Marokkaans,Man,2,Overig,Man,1,100
Marokkaans,Man,2,Overig,Man,2,10
Marokkaans,Man,2,Overig,Vrouw,1,140
Marokkaans,Man,2,Overig,Vrouw,2,210
Marokkaans,Man,2,Overig,Vrouw,3,40
Marokkaans,Man,2,Surinaams,Vrouw,2,10
Marokkaans,Man,3,Autochtoon,Man,1,410
Marokkaans,Man,3,Autochtoon,Man,3,10
Marokkaans,Man,3,Autochtoon,Vrouw,1,320
Marokkaans,Man,3,Autochtoon,Vrouw,2,20
Marokkaans,Man,3,Autochtoon,Vrouw,3,140
Marokkaans,Man,3,Marokkaans,Man,1,1460
Marokkaans,Man,3,Marokkaans,Man,2,350
Marokkaans,Man,3,Marokkaans,Man,3,70
Marokkaans,Man,3,Marokkaans,Vrouw,1,2440
Marokkaans,Man,3,Marokkaans,Vrouw,2,2020
Marokkaans,Man,3,Marokkaans,Vrouw,3,1220
Marokkaans,Man,3,Overig,Man,1,40
Marokkaans,Man,3,Overig,Vrouw,1,40
Marokkaans,Man,3,Overig,Vrouw,2,20
Marokkaans,Man,3,Overig,Vrouw,3,160
Marokkaans,Vrouw,1,Autochtoon,Man,1,250
Marokkaans,Vrouw,1,Autochtoon,Man,3,10
Marokkaans,Vrouw,1,Autochtoon,Vrouw,1,300
Marokkaans,Vrouw,1,Autochtoon,Vrouw,2,100
Marokkaans,Vrouw,1,Autochtoon,Vrouw,3,70
Marokkaans,Vrouw,1,Marokkaans,Man,1,119890
Marokkaans,Vrouw,1,Marokkaans,Man,2,22110
Marokkaans,Vrouw,1,Marokkaans,Man,3,2440
Marokkaans,Vrouw,1,Marokkaans,Vrouw,1,23110
Marokkaans,Vrouw,1,Marokkaans,Vrouw,2,7290
Marokkaans,Vrouw,1,Marokkaans,Vrouw,3,1920
Marokkaans,Vrouw,1,Overig,Man,1,750
Marokkaans,Vrouw,1,Overig,Man,2,960
Marokkaans,Vrouw,1,Overig,Man,3,30
Marokkaans,Vrouw,1,Overig,Vrouw,1,120
Marokkaans,Vrouw,1,Overig,Vrouw,2,30
Marokkaans,Vrouw,1,Overig,Vrouw,3,10
Marokkaans,Vrouw,2,Autochtoon,Man,1,810
Marokkaans,Vrouw,2,Autochtoon,Man,2,70
Marokkaans,Vrouw,2,Autochtoon,Man,3,40
Marokkaans,Vrouw,2,Autochtoon,Vrouw,1,750
Marokkaans,Vrouw,2,Autochtoon,Vrouw,2,10
Marokkaans,Vrouw,2,Marokkaans,Man,1,28080
Marokkaans,Vrouw,2,Marokkaans,Man,2,6730
Marokkaans,Vrouw,2,Marokkaans,Man,3,2020
Marokkaans,Vrouw,2,Marokkaans,Vrouw,1,7290
Marokkaans,Vrouw,2,Marokkaans,Vrouw,2,2220
Marokkaans,Vrouw,2,Marokkaans,Vrouw,3,440
Marokkaans,Vrouw,2,Overig,Man,1,90
Marokkaans,Vrouw,2,Overig,Man,2,30
Marokkaans,Vrouw,2,Overig,Man,3,30
Marokkaans,Vrouw,2,Overig,Vrouw,1,70
Marokkaans,Vrouw,2,Surinaams,Man,2,50
Marokkaans,Vrouw,2,Turks,Man,2,10
Marokkaans,Vrouw,3,Autochtoon,Man,1,520
Marokkaans,Vrouw,3,Autochtoon,Man,2,20
Marokkaans,Vrouw,3,Autochtoon,Man,3,140
Marokkaans,Vrouw,3,Autochtoon,Vrouw,1,500
Marokkaans,Vrouw,3,Marokkaans,Man,1,3860
Marokkaans,Vrouw,3,Marokkaans,Man,2,4490
Marokkaans,Vrouw,3,Marokkaans,Man,3,1220
Marokkaans,Vrouw,3,Marokkaans,Vrouw,1,1920
Marokkaans,Vrouw,3,Marokkaans,Vrouw,2,440
Marokkaans,Vrouw,3,Marokkaans,Vrouw,3,200
Marokkaans,Vrouw,3,Overig,Man,1,30
Marokkaans,Vrouw,3,Overig,Man,2,20
Marokkaans,Vrouw,3,Overig,Man,3,100
Marokkaans,Vrouw,3,Overig,Vrouw,1,10
Overig,Man,1,Autochtoon,Man,1,690
Overig,Man,1,Autochtoon,Man,2,920
Overig,Man,1,Autochtoon,Man,3,4680
Overig,Man,1,Autochtoon,Vrouw,1,12990
Overig,Man,1,Autochtoon,Vrouw,2,3400
Overig,Man,1,Autochtoon,Vrouw,3,18380
Overig,Man,1,Marokkaans,Man,1,300
Overig,Man,1,Marokkaans,Man,2,100
Overig,Man,1,Marokkaans,Man,3,40
Overig,Man,1,Marokkaans,Vrouw,1,750
Overig,Man,1,Marokkaans,Vrouw,2,90
Overig,Man,1,Marokkaans,Vrouw,3,30
Overig,Man,1,Overig,Man,1,602510
Overig,Man,1,Overig,Man,2,6500
Overig,Man,1,Overig,Man,3,43060
Overig,Man,1,Overig,Vrouw,1,48920
Overig,Man,1,Overig,Vrouw,2,20670
Overig,Man,1,Overig,Vrouw,3,63360
Overig,Man,1,Surinaams,Man,1,200
Overig,Man,1,Surinaams,Man,2,250
Overig,Man,1,Surinaams,Man,3,90
Overig,Man,1,Surinaams,Vrouw,1,230
Overig,Man,1,Surinaams,Vrouw,2,300
Overig,Man,1,Surinaams,Vrouw,3,100
Overig,Man,1,Turks,Man,1,70
Overig,Man,1,Turks,Man,2,80
Overig,Man,1,Turks,Man,3,50
Overig,Man,1,Turks,Vrouw,1,40
Overig,Man,1,Turks,Vrouw,2,20
Overig,Man,1,Turks,Vrouw,3,30
Overig,Man,2,Autochtoon,Man,1,940
Overig,Man,2,Autochtoon,Man,2,1210
Overig,Man,2,Autochtoon,Man,3,1590
Overig,Man,2,Autochtoon,Vrouw,1,2690
Overig,Man,2,Autochtoon,Vrouw,2,12560
Overig,Man,2,Autochtoon,Vrouw,3,8040
Overig,Man,2,Marokkaans,Man,1,70
Overig,Man,2,Marokkaans,Man,2,10
Overig,Man,2,Marokkaans,Vrouw,1,960
Overig,Man,2,Marokkaans,Vrouw,2,30
Overig,Man,2,Marokkaans,Vrouw,3,20
Overig,Man,2,Overig,Man,1,6500
Overig,Man,2,Overig,Man,2,2570
Overig,Man,2,Overig,Man,3,19070
Overig,Man,2,Overig,Vrouw,1,14460
Overig,Man,2,Overig,Vrouw,2,87970
Overig,Man,2,Overig,Vrouw,3,38950
Overig,Man,2,Surinaams,Man,1,120
Overig,Man,2,Surinaams,Man,2,20
Overig,Man,2,Surinaams,Vrouw,1,110
Overig,Man,2,Surinaams,Vrouw,2,750
Overig,Man,2,Surinaams,Vrouw,3,170
Overig,Man,2,Turks,Vrouw,2,20
Overig,Man,2,Turks,Vrouw,3,20
Overig,Man,3,Autochtoon,Man,1,2050
Overig,Man,3,Autochtoon,Man,2,2250
Overig,Man,3,Autochtoon,Man,3,4050
Overig,Man,3,Autochtoon,Vrouw,1,2160
Overig,Man,3,Autochtoon,Vrouw,2,13020
Overig,Man,3,Autochtoon,Vrouw,3,38190
Overig,Man,3,Marokkaans,Man,1,20
Overig,Man,3,Marokkaans,Vrouw,1,30
Overig,Man,3,Marokkaans,Vrouw,2,30
Overig,Man,3,Marokkaans,Vrouw,3,100
Overig,Man,3,Overig,Man,1,43060
Overig,Man,3,Overig,Man,2,19070
Overig,Man,3,Overig,Man,3,263330
Overig,Man,3,Overig,Vrouw,1,17560
Overig,Man,3,Overig,Vrouw,2,243890
Overig,Man,3,Overig,Vrouw,3,305740
Overig,Man,3,Surinaams,Man,1,60
Overig,Man,3,Surinaams,Vrouw,1,100
Overig,Man,3,Surinaams,Vrouw,2,70
Overig,Man,3,Surinaams,Vrouw,3,290
Overig,Man,3,Turks,Man,1,10
Overig,Man,3,Turks,Vrouw,3,140
Overig,Vrouw,1,Autochtoon,Man,1,32160
Overig,Vrouw,1,Autochtoon,Man,2,10720
Overig,Vrouw,1,Autochtoon,Man,3,11000
Overig,Vrouw,1,Autochtoon,Vrouw,1,730
Overig,Vrouw,1,Autochtoon,Vrouw,2,750
Overig,Vrouw,1,Autochtoon,Vrouw,3,2510
Overig,Vrouw,1,Marokkaans,Man,1,750
Overig,Vrouw,1,Marokkaans,Man,2,140
Overig,Vrouw,1,Marokkaans,Man,3,40
Overig,Vrouw,1,Marokkaans,Vrouw,1,120
Overig,Vrouw,1,Marokkaans,Vrouw,2,70
Overig,Vrouw,1,Marokkaans,Vrouw,3,10
Overig,Vrouw,1,Overig,Man,1,48920
Overig,Vrouw,1,Overig,Man,2,14460
Overig,Vrouw,1,Overig,Man,3,17560
Overig,Vrouw,1,Overig,Vrouw,1,24280
Overig,Vrouw,1,Overig,Vrouw,2,9160
Overig,Vrouw,1,Overig,Vrouw,3,23800
Overig,Vrouw,1,Surinaams,Man,1,190
Overig,Vrouw,1,Surinaams,Man,2,200
