etngrp_src,lft_src,etngrp_dst,lft_dst,n
Autochtoon,"[0,20)",Autochtoon,"[0,20)",58370
Autochtoon,"[0,20)",Autochtoon,"[20,30)",4610
Autochtoon,"[0,20)",Autochtoon,"[30,40)",24770
Autochtoon,"[0,20)",Autochtoon,"[40,50)",36760
Autochtoon,"[0,20)",Autochtoon,"[50,60)",17030
Autochtoon,"[0,20)",Autochtoon,"[60,70)",1640
Autochtoon,"[0,20)",Autochtoon,"[70,80)",100
Autochtoon,"[0,20)",Marokkaans,"[0,20)",180
Autochtoon,"[0,20)",Marokkaans,"[20,30)",1130
Autochtoon,"[0,20)",Marokkaans,"[30,40)",3400
Autochtoon,"[0,20)",Marokkaans,"[40,50)",560
Autochtoon,"[0,20)",Marokkaans,"[50,60)",40
Autochtoon,"[0,20)",Overig,"[0,20)",680
Autochtoon,"[0,20)",Overig,"[20,30)",920
Autochtoon,"[0,20)",Overig,"[30,40)",5780
Autochtoon,"[0,20)",Overig,"[40,50)",6020
Autochtoon,"[0,20)",Overig,"[50,60)",2790
Autochtoon,"[0,20)",Overig,"[60,70)",330
Autochtoon,"[0,20)",Surinaams,"[0,20)",670
Autochtoon,"[0,20)",Surinaams,"[20,30)",1580
Autochtoon,"[0,20)",Surinaams,"[30,40)",3800
Autochtoon,"[0,20)",Surinaams,"[40,50)",1760
Autochtoon,"[0,20)",Surinaams,"[50,60)",620
Autochtoon,"[0,20)",Surinaams,"[60,70)",160
Autochtoon,"[0,20)",Turks,"[0,20)",90
Autochtoon,"[0,20)",Turks,"[20,30)",670
Autochtoon,"[0,20)",Turks,"[30,40)",2100
Autochtoon,"[0,20)",Turks,"[40,50)",340
Autochtoon,"[0,20)",Turks,"[50,60)",40
Autochtoon,"[20,30)",Autochtoon,"[0,20)",4610
Autochtoon,"[20,30)",Autochtoon,"[20,30)",36790
Autochtoon,"[20,30)",Autochtoon,"[30,40)",9480
Autochtoon,"[20,30)",Autochtoon,"[40,50)",1630
Autochtoon,"[20,30)",Autochtoon,"[50,60)",8870
Autochtoon,"[20,30)",Autochtoon,"[60,70)",3780
Autochtoon,"[20,30)",Marokkaans,"[0,20)",10
Autochtoon,"[20,30)",Marokkaans,"[20,30)",170
Autochtoon,"[20,30)",Marokkaans,"[30,40)",30
Autochtoon,"[20,30)",Overig,"[0,20)",380
Autochtoon,"[20,30)",Overig,"[20,30)",11440
Autochtoon,"[20,30)",Overig,"[30,40)",2430
Autochtoon,"[20,30)",Overig,"[40,50)",260
Autochtoon,"[20,30)",Overig,"[50,60)",970
Autochtoon,"[20,30)",Overig,"[60,70)",370
Autochtoon,"[20,30)",Surinaams,"[0,20)",80
Autochtoon,"[20,30)",Surinaams,"[20,30)",610
Autochtoon,"[20,30)",Surinaams,"[30,40)",250
Autochtoon,"[20,30)",Surinaams,"[40,50)",120
Autochtoon,"[20,30)",Surinaams,"[50,60)",10
Autochtoon,"[20,30)",Turks,"[20,30)",130
Autochtoon,"[20,30)",Turks,"[30,40)",30
Autochtoon,"[30,40)",Autochtoon,"[0,20)",24770
Autochtoon,"[30,40)",Autochtoon,"[20,30)",9480
Autochtoon,"[30,40)",Autochtoon,"[30,40)",47670
Autochtoon,"[30,40)",Autochtoon,"[40,50)",11140
Autochtoon,"[30,40)",Autochtoon,"[50,60)",1050
