etngrp_src,lft_src,oplniv_src,etngrp_dst,lft_dst,oplniv_dst,n
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",1,54640
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",2,1680
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",3,10
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",1,710
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",2,2210
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",3,700
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",1,1530
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",2,4450
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",3,18790
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",1,1970
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",2,6850
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",3,26900
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",1,1370
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",2,3780
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",3,8810
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",1,280
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",2,390
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",3,650
Autochtoon,"[0,20)",1,Autochtoon,"[70,80)",3,100
Autochtoon,"[0,20)",1,Marokkaans,"[0,20)",1,180
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",1,170
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",2,730
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",3,230
Autochtoon,"[0,20)",1,Marokkaans,"[30,40)",1,500
Autochtoon,"[0,20)",1,Marokkaans,"[30,40)",2,1640
Autochtoon,"[0,20)",1,Marokkaans,"[30,40)",3,1260
Autochtoon,"[0,20)",1,Marokkaans,"[40,50)",1,120
Autochtoon,"[0,20)",1,Marokkaans,"[40,50)",2,180
Autochtoon,"[0,20)",1,Marokkaans,"[40,50)",3,260
Autochtoon,"[0,20)",1,Marokkaans,"[50,60)",1,40
Autochtoon,"[0,20)",1,Overig,"[0,20)",1,650
Autochtoon,"[0,20)",1,Overig,"[20,30)",1,210
Autochtoon,"[0,20)",1,Overig,"[20,30)",2,510
Autochtoon,"[0,20)",1,Overig,"[20,30)",3,180
Autochtoon,"[0,20)",1,Overig,"[30,40)",1,560
