etngrp_src,oplniv_src,etngrp_dst,oplniv_dst,n
Autochtoon,1,Autochtoon,1,403850
Autochtoon,1,Autochtoon,2,206420
Autochtoon,1,Autochtoon,3,82530
Autochtoon,1,Marokkaans,1,1090
Autochtoon,1,Marokkaans,2,2580
Autochtoon,1,Marokkaans,3,1750
Autochtoon,1,Overig,1,46570
Autochtoon,1,Overig,2,9080
Autochtoon,1,Overig,3,11790
Autochtoon,1,Surinaams,1,2600
Autochtoon,1,Surinaams,2,5850
Autochtoon,1,Surinaams,3,1880
Autochtoon,1,Turks,1,680
Autochtoon,1,Turks,2,1590
Autochtoon,1,Turks,3,970
Autochtoon,2,Autochtoon,1,206420
Autochtoon,2,Autochtoon,2,166990
Autochtoon,2,Autochtoon,3,74990
Autochtoon,2,Marokkaans,1,270
Autochtoon,2,Marokkaans,2,180
Autochtoon,2,Marokkaans,3,40
Autochtoon,2,Overig,1,15790
Autochtoon,2,Overig,2,32140
Autochtoon,2,Overig,3,26130
Autochtoon,2,Surinaams,1,1310
Autochtoon,2,Surinaams,2,1890
Autochtoon,2,Surinaams,3,1600
Autochtoon,2,Turks,1,40
Autochtoon,2,Turks,2,40
Autochtoon,2,Turks,3,30
Autochtoon,3,Autochtoon,1,82530
Autochtoon,3,Autochtoon,2,74990
Autochtoon,3,Autochtoon,3,300260
Autochtoon,3,Marokkaans,1,150
Autochtoon,3,Marokkaans,2,150
Autochtoon,3,Marokkaans,3,290
Autochtoon,3,Overig,1,36570
Autochtoon,3,Overig,2,28780
Autochtoon,3,Overig,3,100850
Autochtoon,3,Surinaams,1,700
Autochtoon,3,Surinaams,2,830
Autochtoon,3,Surinaams,3,2210
Autochtoon,3,Turks,1,330
Autochtoon,3,Turks,2,80
Autochtoon,3,Turks,3,410
Marokkaans,1,Autochtoon,1,1090
Marokkaans,1,Autochtoon,2,270
Marokkaans,1,Autochtoon,3,150
Marokkaans,1,Marokkaans,1,291750
Marokkaans,1,Marokkaans,2,64680
Marokkaans,1,Marokkaans,3,9680
Marokkaans,1,Overig,1,1920
Marokkaans,1,Overig,2,1150
Marokkaans,1,Overig,3,90
Marokkaans,1,Surinaams,1,20
Marokkaans,1,Surinaams,2,10
Marokkaans,2,Autochtoon,1,2580
Marokkaans,2,Autochtoon,2,180
Marokkaans,2,Autochtoon,3,150
Marokkaans,2,Marokkaans,1,64680
Marokkaans,2,Marokkaans,2,17660
Marokkaans,2,Marokkaans,3,7300
Marokkaans,2,Overig,1,400
Marokkaans,2,Overig,2,250
Marokkaans,2,Overig,3,70
Marokkaans,2,Surinaams,2,60
Marokkaans,2,Turks,2,10
Marokkaans,3,Autochtoon,1,1750
Marokkaans,3,Autochtoon,2,40
Marokkaans,3,Autochtoon,3,290
Marokkaans,3,Marokkaans,1,9680
Marokkaans,3,Marokkaans,2,7300
Marokkaans,3,Marokkaans,3,2710
Marokkaans,3,Overig,1,120
Marokkaans,3,Overig,2,40
Marokkaans,3,Overig,3,260
Overig,1,Autochtoon,1,46570
Overig,1,Autochtoon,2,15790
Overig,1,Autochtoon,3,36570
Overig,1,Marokkaans,1,1920
Overig,1,Marokkaans,2,400
Overig,1,Marokkaans,3,120
Overig,1,Overig,1,724630
Overig,1,Overig,2,50790
Overig,1,Overig,3,147780
Overig,1,Surinaams,1,750
Overig,1,Surinaams,2,930
Overig,1,Surinaams,3,350
Overig,1,Turks,1,2050
Overig,1,Turks,2,1650
Overig,1,Turks,3,120
Overig,2,Autochtoon,1,9080
Overig,2,Autochtoon,2,32140
Overig,2,Autochtoon,3,28780
Overig,2,Marokkaans,1,1150
Overig,2,Marokkaans,2,250
Overig,2,Marokkaans,3,40
Overig,2,Overig,1,50790
Overig,2,Overig,2,181410
Overig,2,Overig,3,303320
Overig,2,Surinaams,1,430
Overig,2,Surinaams,2,1270
Overig,2,Surinaams,3,310
Overig,2,Turks,1,30
Overig,2,Turks,2,60
Overig,2,Turks,3,40
Overig,3,Autochtoon,1,11790
Overig,3,Autochtoon,2,26130
Overig,3,Autochtoon,3,100850
Overig,3,Marokkaans,1,90
Overig,3,Marokkaans,2,70
Overig,3,Marokkaans,3,260
Overig,3,Overig,1,147780
Overig,3,Overig,2,303320
Overig,3,Overig,3,1120410
Overig,3,Surinaams,1,260
Overig,3,Surinaams,2,270
Overig,3,Surinaams,3,610
Overig,3,Turks,1,10
Overig,3,Turks,2,50
Overig,3,Turks,3,500
Surinaams,1,Autochtoon,1,2600
Surinaams,1,Autochtoon,2,1310
Surinaams,1,Autochtoon,3,700
Surinaams,1,Marokkaans,1,20
Surinaams,1,Overig,1,750
Surinaams,1,Overig,2,430
Surinaams,1,Overig,3,260
Surinaams,1,Surinaams,1,28920
Surinaams,1,Surinaams,2,15980
Surinaams,1,Surinaams,3,3860
Surinaams,2,Autochtoon,1,5850
Surinaams,2,Autochtoon,2,1890
Surinaams,2,Autochtoon,3,830
Surinaams,2,Marokkaans,1,10
Surinaams,2,Marokkaans,2,60
Surinaams,2,Overig,1,930
Surinaams,2,Overig,2,1270
Surinaams,2,Overig,3,270
Surinaams,2,Surinaams,1,15980
Surinaams,2,Surinaams,2,12550
Surinaams,2,Surinaams,3,5980
Surinaams,3,Autochtoon,1,1880
Surinaams,3,Autochtoon,2,1600
Surinaams,3,Autochtoon,3,2210
Surinaams,3,Overig,1,350
Surinaams,3,Overig,2,310
Surinaams,3,Overig,3,610
Surinaams,3,Surinaams,1,3860
Surinaams,3,Surinaams,2,5980
Surinaams,3,Surinaams,3,4410
Turks,1,Autochtoon,1,680
Turks,1,Autochtoon,2,40
Turks,1,Autochtoon,3,330
Turks,1,Overig,1,2050
Turks,1,Overig,2,30
Turks,1,Overig,3,10
Turks,1,Turks,1,156140
Turks,1,Turks,2,22400
Turks,1,Turks,3,6060
Turks,2,Autochtoon,1,1590
Turks,2,Autochtoon,2,40
Turks,2,Autochtoon,3,80
Turks,2,Marokkaans,2,10
Turks,2,Overig,1,1650
Turks,2,Overig,2,60
Turks,2,Overig,3,50
Turks,2,Turks,1,22400
Turks,2,Turks,2,17400
Turks,2,Turks,3,2580
Turks,3,Autochtoon,1,970
Turks,3,Autochtoon,2,30
Turks,3,Autochtoon,3,410
Turks,3,Overig,1,120
Turks,3,Overig,2,40
Turks,3,Overig,3,500
Turks,3,Turks,1,6060
Turks,3,Turks,2,2580
Turks,3,Turks,3,2420
