geslacht_src,etngrp_src,geslacht_dst,etngrp_dst,n
Man,Autochtoon,Man,Autochtoon,91860
Man,Autochtoon,Man,Marokkaans,1190
Man,Autochtoon,Man,Overig,18380
Man,Autochtoon,Man,Surinaams,1580
Man,Autochtoon,Man,Turks,1020
Man,Autochtoon,Vrouw,Autochtoon,707880
Man,Autochtoon,Vrouw,Marokkaans,1860
Man,Autochtoon,Vrouw,Overig,164130
Man,Autochtoon,Vrouw,Surinaams,8420
Man,Autochtoon,Vrouw,Turks,1240
Man,Marokkaans,Man,Autochtoon,1190
Man,Marokkaans,Man,Marokkaans,48930
Man,Marokkaans,Man,Overig,540
Man,Marokkaans,Man,Surinaams,30
Man,Marokkaans,Vrouw,Autochtoon,1720
Man,Marokkaans,Vrouw,Marokkaans,190840
Man,Marokkaans,Vrouw,Overig,1480
Man,Marokkaans,Vrouw,Surinaams,10
Man,Overig,Man,Autochtoon,18380
Man,Overig,Man,Marokkaans,540
Man,Overig,Man,Overig,1005670
Man,Overig,Man,Surinaams,740
Man,Overig,Man,Turks,210
Man,Overig,Vrouw,Autochtoon,111430
Man,Overig,Vrouw,Marokkaans,2040
Man,Overig,Vrouw,Overig,841520
Man,Overig,Vrouw,Surinaams,2120
Man,Overig,Vrouw,Turks,270
Man,Surinaams,Man,Autochtoon,1580
Man,Surinaams,Man,Marokkaans,30
Man,Surinaams,Man,Overig,740
Man,Surinaams,Man,Surinaams,12100
Man,Surinaams,Vrouw,Autochtoon,5220
Man,Surinaams,Vrouw,Marokkaans,50
Man,Surinaams,Vrouw,Overig,1800
Man,Surinaams,Vrouw,Surinaams,33360
Man,Turks,Man,Autochtoon,1020
Man,Turks,Man,Overig,210
Man,Turks,Man,Turks,17930
Man,Turks,Vrouw,Autochtoon,970
Man,Turks,Vrouw,Marokkaans,10
Man,Turks,Vrouw,Overig,3950
Man,Turks,Vrouw,Turks,100640
Vrouw,Autochtoon,Man,Autochtoon,707880
Vrouw,Autochtoon,Man,Marokkaans,1720
Vrouw,Autochtoon,Man,Overig,111430
Vrouw,Autochtoon,Man,Surinaams,5220
Vrouw,Autochtoon,Man,Turks,970
Vrouw,Autochtoon,Vrouw,Autochtoon,91360
Vrouw,Autochtoon,Vrouw,Marokkaans,1730
Vrouw,Autochtoon,Vrouw,Overig,13760
Vrouw,Autochtoon,Vrouw,Surinaams,3650
Vrouw,Autochtoon,Vrouw,Turks,940
Vrouw,Marokkaans,Man,Autochtoon,1860
Vrouw,Marokkaans,Man,Marokkaans,190840
Vrouw,Marokkaans,Man,Overig,2040
Vrouw,Marokkaans,Man,Surinaams,50
Vrouw,Marokkaans,Man,Turks,10
Vrouw,Marokkaans,Vrouw,Autochtoon,1730
Vrouw,Marokkaans,Vrouw,Marokkaans,44830
Vrouw,Marokkaans,Vrouw,Overig,240
Vrouw,Overig,Man,Autochtoon,164130
Vrouw,Overig,Man,Marokkaans,1480
Vrouw,Overig,Man,Overig,841520
Vrouw,Overig,Man,Surinaams,1800
Vrouw,Overig,Man,Turks,3950
Vrouw,Overig,Vrouw,Autochtoon,13760
Vrouw,Overig,Vrouw,Marokkaans,240
Vrouw,Overig,Vrouw,Overig,341520
Vrouw,Overig,Vrouw,Surinaams,520
Vrouw,Overig,Vrouw,Turks,80
Vrouw,Surinaams,Man,Autochtoon,8420
Vrouw,Surinaams,Man,Marokkaans,10
Vrouw,Surinaams,Man,Overig,2120
Vrouw,Surinaams,Man,Surinaams,33360
Vrouw,Surinaams,Vrouw,Autochtoon,3650
Vrouw,Surinaams,Vrouw,Overig,520
Vrouw,Surinaams,Vrouw,Surinaams,18700
Vrouw,Turks,Man,Autochtoon,1240
Vrouw,Turks,Man,Overig,270
Vrouw,Turks,Man,Turks,100640
Vrouw,Turks,Vrouw,Autochtoon,940
Vrouw,Turks,Vrouw,Overig,80
Vrouw,Turks,Vrouw,Turks,18830
