geslacht_src,lft_src,geslacht_dst,lft_dst,n
Man,"[0,20)",Man,"[0,20)",628100
Man,"[0,20)",Man,"[20,30)",6410
Man,"[0,20)",Man,"[30,40)",18520
Man,"[0,20)",Man,"[40,50)",27490
Man,"[0,20)",Man,"[50,60)",36080
Man,"[0,20)",Man,"[60,70)",2340
Man,"[0,20)",Man,"[70,80)",240
Man,"[0,20)",Vrouw,"[0,20)",46680
Man,"[0,20)",Vrouw,"[20,30)",12470
Man,"[0,20)",Vrouw,"[30,40)",33110
Man,"[0,20)",Vrouw,"[40,50)",37870
Man,"[0,20)",Vrouw,"[50,60)",76730
Man,"[0,20)",Vrouw,"[60,70)",840
Man,"[0,20)",Vrouw,"[70,80)",20
Man,"[20,30)",Man,"[0,20)",6410
Man,"[20,30)",Man,"[20,30)",16320
Man,"[20,30)",Man,"[30,40)",148710
Man,"[20,30)",Man,"[40,50)",1650
Man,"[20,30)",Man,"[50,60)",5840
Man,"[20,30)",Man,"[60,70)",3210
Man,"[20,30)",Man,"[70,80)",320
Man,"[20,30)",Vrouw,"[0,20)",6200
Man,"[20,30)",Vrouw,"[20,30)",53020
Man,"[20,30)",Vrouw,"[30,40)",7040
Man,"[20,30)",Vrouw,"[40,50)",4650
Man,"[20,30)",Vrouw,"[50,60)",9140
Man,"[20,30)",Vrouw,"[60,70)",2810
Man,"[30,40)",Man,"[0,20)",18520
Man,"[30,40)",Man,"[20,30)",148710
Man,"[30,40)",Man,"[30,40)",4610
Man,"[30,40)",Man,"[40,50)",16850
Man,"[30,40)",Man,"[50,60)",810
Man,"[30,40)",Man,"[60,70)",1280
Man,"[30,40)",Man,"[70,80)",290
Man,"[30,40)",Vrouw,"[0,20)",17330
Man,"[30,40)",Vrouw,"[20,30)",71770
Man,"[30,40)",Vrouw,"[30,40)",503150
Man,"[30,40)",Vrouw,"[40,50)",15280
Man,"[30,40)",Vrouw,"[50,60)",1960
Man,"[30,40)",Vrouw,"[60,70)",3730
Man,"[30,40)",Vrouw,"[70,80)",150
Man,"[40,50)",Man,"[0,20)",27490
Man,"[40,50)",Man,"[20,30)",1650
Man,"[40,50)",Man,"[30,40)",16850
Man,"[40,50)",Man,"[40,50)",6290
Man,"[40,50)",Man,"[50,60)",1390
Man,"[40,50)",Man,"[60,70)",60
Man,"[40,50)",Vrouw,"[0,20)",26670
Man,"[40,50)",Vrouw,"[20,30)",19030
Man,"[40,50)",Vrouw,"[30,40)",72510
Man,"[40,50)",Vrouw,"[40,50)",80180
Man,"[40,50)",Vrouw,"[50,60)",9030
Man,"[40,50)",Vrouw,"[60,70)",900
Man,"[50,60)",Man,"[0,20)",36080
Man,"[50,60)",Man,"[20,30)",5840
Man,"[50,60)",Man,"[30,40)",810
Man,"[50,60)",Man,"[40,50)",1390
Man,"[50,60)",Man,"[50,60)",10730
Man,"[50,60)",Man,"[60,70)",2330
