geslacht_src,lft_src,etngrp_src,geslacht_dst,lft_dst,etngrp_dst,n
Man,"[0,20)",Autochtoon,Man,"[0,20)",Autochtoon,15380
Man,"[0,20)",Autochtoon,Man,"[0,20)",Marokkaans,40
Man,"[0,20)",Autochtoon,Man,"[0,20)",Overig,170
Man,"[0,20)",Autochtoon,Man,"[0,20)",Surinaams,160
Man,"[0,20)",Autochtoon,Man,"[0,20)",Turks,20
Man,"[0,20)",Autochtoon,Man,"[20,30)",Autochtoon,980
Man,"[0,20)",Autochtoon,Man,"[20,30)",Marokkaans,150
Man,"[0,20)",Autochtoon,Man,"[20,30)",Overig,140
Man,"[0,20)",Autochtoon,Man,"[20,30)",Surinaams,190
Man,"[0,20)",Autochtoon,Man,"[20,30)",Turks,120
Man,"[0,20)",Autochtoon,Man,"[30,40)",Autochtoon,5140
Man,"[0,20)",Autochtoon,Man,"[30,40)",Marokkaans,760
Man,"[0,20)",Autochtoon,Man,"[30,40)",Overig,1050
Man,"[0,20)",Autochtoon,Man,"[30,40)",Surinaams,480
Man,"[0,20)",Autochtoon,Man,"[30,40)",Turks,550
Man,"[0,20)",Autochtoon,Man,"[40,50)",Autochtoon,8570
Man,"[0,20)",Autochtoon,Man,"[40,50)",Marokkaans,190
Man,"[0,20)",Autochtoon,Man,"[40,50)",Overig,1370
Man,"[0,20)",Autochtoon,Man,"[40,50)",Surinaams,290
Man,"[0,20)",Autochtoon,Man,"[40,50)",Turks,90
Man,"[0,20)",Autochtoon,Man,"[50,60)",Autochtoon,4650
Man,"[0,20)",Autochtoon,Man,"[50,60)",Marokkaans,10
Man,"[0,20)",Autochtoon,Man,"[50,60)",Overig,710
Man,"[0,20)",Autochtoon,Man,"[50,60)",Surinaams,70
Man,"[0,20)",Autochtoon,Man,"[50,60)",Turks,10
Man,"[0,20)",Autochtoon,Man,"[60,70)",Autochtoon,630
Man,"[0,20)",Autochtoon,Man,"[60,70)",Overig,80
Man,"[0,20)",Autochtoon,Man,"[70,80)",Autochtoon,50
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Autochtoon,14500
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Marokkaans,40
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Overig,180
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Surinaams,120
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Turks,30
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Autochtoon,1330
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Marokkaans,420
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Overig,330
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Surinaams,610
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Turks,210
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Autochtoon,7630
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Marokkaans,1010
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Overig,1860
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Surinaams,1490
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Turks,580
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Autochtoon,10540
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Marokkaans,100
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Overig,1810
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Surinaams,570
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Turks,80
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Autochtoon,4140
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Marokkaans,10
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Overig,840
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Surinaams,250
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Turks,10
Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",Autochtoon,230
Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",Overig,80
Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",Surinaams,60
Man,"[0,20)",Marokkaans,Man,"[0,20)",Autochtoon,40
Man,"[0,20)",Marokkaans,Man,"[0,20)",Marokkaans,10940
Man,"[0,20)",Marokkaans,Man,"[0,20)",Overig,80
Man,"[0,20)",Marokkaans,Man,"[20,30)",Marokkaans,1840
Man,"[0,20)",Marokkaans,Man,"[30,40)",Marokkaans,1510
Man,"[0,20)",Marokkaans,Man,"[30,40)",Overig,10
Man,"[0,20)",Marokkaans,Man,"[40,50)",Autochtoon,10
Man,"[0,20)",Marokkaans,Man,"[40,50)",Marokkaans,6980
Man,"[0,20)",Marokkaans,Man,"[40,50)",Overig,50
Man,"[0,20)",Marokkaans,Man,"[50,60)",Marokkaans,2820
Man,"[0,20)",Marokkaans,Man,"[50,60)",Overig,100
Man,"[0,20)",Marokkaans,Man,"[60,70)",Marokkaans,790
Man,"[0,20)",Marokkaans,Man,"[60,70)",Overig,10
Man,"[0,20)",Marokkaans,Man,"[70,80)",Marokkaans,110
Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",Autochtoon,60
Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",Marokkaans,10920
Man,"[0,20)",Marokkaans,Vrouw,"[0,20)",Overig,60
Man,"[0,20)",Marokkaans,Vrouw,"[20,30)",Marokkaans,2870
Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",Autochtoon,90
Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",Marokkaans,4980
Man,"[0,20)",Marokkaans,Vrouw,"[30,40)",Overig,40
Man,"[0,20)",Marokkaans,Vrouw,"[40,50)",Autochtoon,90
Man,"[0,20)",Marokkaans,Vrouw,"[40,50)",Marokkaans,5600
Man,"[0,20)",Marokkaans,Vrouw,"[50,60)",Autochtoon,10
Man,"[0,20)",Marokkaans,Vrouw,"[50,60)",Marokkaans,1170
Man,"[0,20)",Marokkaans,Vrouw,"[60,70)",Marokkaans,150
Man,"[0,20)",Marokkaans,Vrouw,"[70,80)",Marokkaans,10
Man,"[0,20)",Overig,Man,"[0,20)",Autochtoon,170
Man,"[0,20)",Overig,Man,"[0,20)",Marokkaans,80
Man,"[0,20)",Overig,Man,"[0,20)",Overig,594280
Man,"[0,20)",Overig,Man,"[0,20)",Surinaams,50
Man,"[0,20)",Overig,Man,"[0,20)",Turks,20
Man,"[0,20)",Overig,Man,"[20,30)",Autochtoon,80
Man,"[0,20)",Overig,Man,"[20,30)",Marokkaans,20
Man,"[0,20)",Overig,Man,"[20,30)",Overig,1470
Man,"[0,20)",Overig,Man,"[20,30)",Surinaams,30
Man,"[0,20)",Overig,Man,"[30,40)",Autochtoon,990
Man,"[0,20)",Overig,Man,"[30,40)",Marokkaans,60
Man,"[0,20)",Overig,Man,"[30,40)",Overig,5690
Man,"[0,20)",Overig,Man,"[30,40)",Surinaams,100
Man,"[0,20)",Overig,Man,"[30,40)",Turks,70
Man,"[0,20)",Overig,Man,"[40,50)",Autochtoon,1840
Man,"[0,20)",Overig,Man,"[40,50)",Marokkaans,140
Man,"[0,20)",Overig,Man,"[40,50)",Overig,4830
Man,"[0,20)",Overig,Man,"[40,50)",Surinaams,130
Man,"[0,20)",Overig,Man,"[40,50)",Turks,90
Man,"[0,20)",Overig,Man,"[50,60)",Autochtoon,2140
Man,"[0,20)",Overig,Man,"[50,60)",Marokkaans,20
Man,"[0,20)",Overig,Man,"[50,60)",Overig,23990
Man,"[0,20)",Overig,Man,"[50,60)",Surinaams,160
Man,"[0,20)",Overig,Man,"[50,60)",Turks,20
Man,"[0,20)",Overig,Man,"[60,70)",Autochtoon,170
Man,"[0,20)",Overig,Man,"[60,70)",Overig,510
Man,"[0,20)",Overig,Man,"[70,80)",Overig,80
Man,"[0,20)",Overig,Vrouw,"[0,20)",Autochtoon,170
Man,"[0,20)",Overig,Vrouw,"[0,20)",Marokkaans,60
