geslacht_src,lft_src,etngrp_src,oplniv_src,geslacht_dst,lft_dst,etngrp_dst,oplniv_dst,n
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,1,14580
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,2,360
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,3,10
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Marokkaans,1,40
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Overig,1,160
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Surinaams,1,160
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Turks,1,20
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,1,160
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,2,480
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,3,120
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,1,30
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,2,90
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,3,30
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,1,40
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,2,70
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,3,30
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,1,70
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,2,100
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,3,20
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,1,30
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,2,70
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,3,20
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Autochtoon,1,290
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Autochtoon,2,1040
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Autochtoon,3,3810
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Marokkaans,1,130
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Marokkaans,2,350
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Marokkaans,3,280
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Overig,1,130
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Overig,2,270
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Overig,3,650
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Surinaams,1,90
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Surinaams,2,230
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Surinaams,3,160
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Turks,1,100
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Turks,2,290
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Turks,3,160
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Autochtoon,1,370
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Autochtoon,2,1760
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Autochtoon,3,6180
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Marokkaans,1,30
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Marokkaans,2,60
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Marokkaans,3,100
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Overig,1,110
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Overig,2,390
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Overig,3,860
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Surinaams,1,60
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Surinaams,2,120
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Surinaams,3,110
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Turks,1,20
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Turks,2,30
Man,"[0,20)",Autochtoon,1,Man,"[40,50)",Turks,3,40
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Autochtoon,1,340
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Autochtoon,2,1390
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Autochtoon,3,2310
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Marokkaans,1,10
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Overig,1,30
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Overig,2,120
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Overig,3,500
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Surinaams,1,20
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Surinaams,2,20
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Surinaams,3,30
Man,"[0,20)",Autochtoon,1,Man,"[50,60)",Turks,1,10
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Autochtoon,1,80
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Autochtoon,2,130
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Autochtoon,3,290
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Overig,1,40
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Overig,2,30
Man,"[0,20)",Autochtoon,1,Man,"[60,70)",Overig,3,10
Man,"[0,20)",Autochtoon,1,Man,"[70,80)",Autochtoon,3,50
Man,"[0,20)",Autochtoon,1,Vrouw,"[0,20)",Autochtoon,1,13540
