geslacht_src,lft_src,oplniv_src,geslacht_dst,lft_dst,oplniv_dst,n
Man,"[0,20)",1,Man,"[0,20)",1,625010
Man,"[0,20)",1,Man,"[0,20)",2,1470
Man,"[0,20)",1,Man,"[0,20)",3,10
Man,"[0,20)",1,Man,"[20,30)",1,1660
Man,"[0,20)",1,Man,"[20,30)",2,3440
Man,"[0,20)",1,Man,"[20,30)",3,630
Man,"[0,20)",1,Man,"[30,40)",1,4040
Man,"[0,20)",1,Man,"[30,40)",2,5200
Man,"[0,20)",1,Man,"[30,40)",3,9280
Man,"[0,20)",1,Man,"[40,50)",1,7320
Man,"[0,20)",1,Man,"[40,50)",2,7520
Man,"[0,20)",1,Man,"[40,50)",3,12060
Man,"[0,20)",1,Man,"[50,60)",1,3720
Man,"[0,20)",1,Man,"[50,60)",2,4040
Man,"[0,20)",1,Man,"[50,60)",3,27090
Man,"[0,20)",1,Man,"[60,70)",1,860
Man,"[0,20)",1,Man,"[60,70)",2,700
Man,"[0,20)",1,Man,"[60,70)",3,590
Man,"[0,20)",1,Man,"[70,80)",1,130
Man,"[0,20)",1,Man,"[70,80)",2,40
Man,"[0,20)",1,Man,"[70,80)",3,70
Man,"[0,20)",1,Vrouw,"[0,20)",1,42720
Man,"[0,20)",1,Vrouw,"[0,20)",2,2580
Man,"[0,20)",1,Vrouw,"[20,30)",1,2570
Man,"[0,20)",1,Vrouw,"[20,30)",2,7230
Man,"[0,20)",1,Vrouw,"[20,30)",3,1350
Man,"[0,20)",1,Vrouw,"[30,40)",1,7630
Man,"[0,20)",1,Vrouw,"[30,40)",2,9880
Man,"[0,20)",1,Vrouw,"[30,40)",3,15470
Man,"[0,20)",1,Vrouw,"[40,50)",1,8430
Man,"[0,20)",1,Vrouw,"[40,50)",2,12360
Man,"[0,20)",1,Vrouw,"[40,50)",3,15790
Man,"[0,20)",1,Vrouw,"[50,60)",1,2620
Man,"[0,20)",1,Vrouw,"[50,60)",2,2330
Man,"[0,20)",1,Vrouw,"[50,60)",3,70050
Man,"[0,20)",1,Vrouw,"[60,70)",1,470
Man,"[0,20)",1,Vrouw,"[60,70)",2,200
Man,"[0,20)",1,Vrouw,"[60,70)",3,130
Man,"[0,20)",1,Vrouw,"[70,80)",1,20
Man,"[0,20)",2,Man,"[0,20)",1,1470
Man,"[0,20)",2,Man,"[0,20)",2,130
Man,"[0,20)",2,Man,"[20,30)",1,110
Man,"[0,20)",2,Man,"[20,30)",2,500
Man,"[0,20)",2,Man,"[20,30)",3,70
Man,"[0,20)",2,Man,"[40,50)",1,170
Man,"[0,20)",2,Man,"[40,50)",2,150
Man,"[0,20)",2,Man,"[40,50)",3,270
Man,"[0,20)",2,Man,"[50,60)",1,210
Man,"[0,20)",2,Man,"[50,60)",2,280
Man,"[0,20)",2,Man,"[50,60)",3,740
Man,"[0,20)",2,Man,"[60,70)",1,40
Man,"[0,20)",2,Man,"[60,70)",2,30
Man,"[0,20)",2,Man,"[60,70)",3,120
Man,"[0,20)",2,Vrouw,"[0,20)",1,1260
