geslacht_src,oplniv_src,geslacht_dst,oplniv_dst,n
Man,1,Man,1,666880
Man,1,Man,2,29220
Man,1,Man,3,67000
Man,1,Vrouw,1,483390
Man,1,Vrouw,2,134900
Man,1,Vrouw,3,118230
Man,2,Man,1,29220
Man,2,Man,2,16510
Man,2,Man,3,29000
Man,2,Vrouw,1,202840
Man,2,Vrouw,2,217990
Man,2,Vrouw,3,92720
Man,3,Man,1,67000
Man,3,Man,2,29000
Man,3,Man,3,290040
Man,3,Vrouw,1,69980
Man,3,Vrouw,2,322340
Man,3,Vrouw,3,538570
Vrouw,1,Man,1,483390
Vrouw,1,Man,2,202840
Vrouw,1,Man,3,69980
Vrouw,1,Vrouw,1,82990
Vrouw,1,Vrouw,2,34420
Vrouw,1,Vrouw,3,49790
Vrouw,2,Man,1,134900
Vrouw,2,Man,2,217990
Vrouw,2,Man,3,322340
Vrouw,2,Vrouw,1,34420
Vrouw,2,Vrouw,2,15320
Vrouw,2,Vrouw,3,8530
Vrouw,3,Man,1,118230
Vrouw,3,Man,2,92720
Vrouw,3,Man,3,538570
Vrouw,3,Vrouw,1,49790
Vrouw,3,Vrouw,2,8530
Vrouw,3,Vrouw,3,273290
