lft_src,lft_dst,n
"[0,20)","[0,20)",767120
"[0,20)","[20,30)",34930
"[0,20)","[30,40)",99480
"[0,20)","[40,50)",131750
"[0,20)","[50,60)",136630
"[0,20)","[60,70)",6400
"[0,20)","[70,80)",410
"[20,30)","[0,20)",34930
"[20,30)","[20,30)",138780
"[20,30)","[30,40)",229370
"[20,30)","[40,50)",35560
"[20,30)","[50,60)",30960
"[20,30)","[60,70)",13660
"[20,30)","[70,80)",710
"[30,40)","[0,20)",99480
"[30,40)","[20,30)",229370
"[30,40)","[30,40)",1258780
"[30,40)","[40,50)",105010
"[30,40)","[50,60)",12470
"[30,40)","[60,70)",6640
"[30,40)","[70,80)",580
"[40,50)","[0,20)",131750
"[40,50)","[20,30)",35560
"[40,50)","[30,40)",105010
"[40,50)","[40,50)",167870
"[40,50)","[50,60)",90490
"[40,50)","[60,70)",6360
"[40,50)","[70,80)",30
"[50,60)","[0,20)",136630
"[50,60)","[20,30)",30960
"[50,60)","[30,40)",12470
"[50,60)","[40,50)",90490
"[50,60)","[50,60)",285730
"[50,60)","[60,70)",66590
"[50,60)","[70,80)",8800
"[60,70)","[0,20)",6400
"[60,70)","[20,30)",13660
"[60,70)","[30,40)",6640
"[60,70)","[40,50)",6360
"[60,70)","[50,60)",66590
"[60,70)","[60,70)",257020
"[60,70)","[70,80)",114200
"[60,70)","[80,120]",20
"[70,80)","[0,20)",410
"[70,80)","[20,30)",710
"[70,80)","[30,40)",580
"[70,80)","[40,50)",30
"[70,80)","[50,60)",8800
"[70,80)","[60,70)",114200
"[70,80)","[70,80)",577390
"[70,80)","[80,120]",93340
"[80,120]","[60,70)",20
"[80,120]","[70,80)",93340
"[80,120]","[80,120]",241400
