lft_src,etngrp_src,lft_dst,etngrp_dst,n
"[0,20)",Autochtoon,"[0,20)",Autochtoon,58370
"[0,20)",Autochtoon,"[0,20)",Marokkaans,180
"[0,20)",Autochtoon,"[0,20)",Overig,680
"[0,20)",Autochtoon,"[0,20)",Surinaams,670
"[0,20)",Autochtoon,"[0,20)",Turks,90
"[0,20)",Autochtoon,"[20,30)",Autochtoon,4610
"[0,20)",Autochtoon,"[20,30)",Marokkaans,1130
"[0,20)",Autochtoon,"[20,30)",Overig,920
"[0,20)",Autochtoon,"[20,30)",Surinaams,1580
"[0,20)",Autochtoon,"[20,30)",Turks,670
"[0,20)",Autochtoon,"[30,40)",Autochtoon,24770
"[0,20)",Autochtoon,"[30,40)",Marokkaans,3400
"[0,20)",Autochtoon,"[30,40)",Overig,5780
"[0,20)",Autochtoon,"[30,40)",Surinaams,3800
"[0,20)",Autochtoon,"[30,40)",Turks,2100
"[0,20)",Autochtoon,"[40,50)",Autochtoon,36760
"[0,20)",Autochtoon,"[40,50)",Marokkaans,560
"[0,20)",Autochtoon,"[40,50)",Overig,6020
"[0,20)",Autochtoon,"[40,50)",Surinaams,1760
"[0,20)",Autochtoon,"[40,50)",Turks,340
"[0,20)",Autochtoon,"[50,60)",Autochtoon,17030
"[0,20)",Autochtoon,"[50,60)",Marokkaans,40
"[0,20)",Autochtoon,"[50,60)",Overig,2790
"[0,20)",Autochtoon,"[50,60)",Surinaams,620
"[0,20)",Autochtoon,"[50,60)",Turks,40
"[0,20)",Autochtoon,"[60,70)",Autochtoon,1640
"[0,20)",Autochtoon,"[60,70)",Overig,330
"[0,20)",Autochtoon,"[60,70)",Surinaams,160
"[0,20)",Autochtoon,"[70,80)",Autochtoon,100
"[0,20)",Marokkaans,"[0,20)",Autochtoon,180
"[0,20)",Marokkaans,"[0,20)",Marokkaans,43910
"[0,20)",Marokkaans,"[0,20)",Overig,250
"[0,20)",Marokkaans,"[20,30)",Autochtoon,10
"[0,20)",Marokkaans,"[20,30)",Marokkaans,8520
"[0,20)",Marokkaans,"[30,40)",Autochtoon,160
"[0,20)",Marokkaans,"[30,40)",Marokkaans,12840
"[0,20)",Marokkaans,"[30,40)",Overig,160
"[0,20)",Marokkaans,"[40,50)",Autochtoon,210
"[0,20)",Marokkaans,"[40,50)",Marokkaans,22230
"[0,20)",Marokkaans,"[40,50)",Overig,110
"[0,20)",Marokkaans,"[50,60)",Autochtoon,30
"[0,20)",Marokkaans,"[50,60)",Marokkaans,8330
"[0,20)",Marokkaans,"[50,60)",Overig,180
"[0,20)",Marokkaans,"[60,70)",Marokkaans,1780
"[0,20)",Marokkaans,"[60,70)",Overig,30
"[0,20)",Marokkaans,"[70,80)",Marokkaans,190
"[0,20)",Overig,"[0,20)",Autochtoon,680
"[0,20)",Overig,"[0,20)",Marokkaans,250
"[0,20)",Overig,"[0,20)",Overig,635620
"[0,20)",Overig,"[0,20)",Surinaams,180
"[0,20)",Overig,"[0,20)",Turks,80
"[0,20)",Overig,"[20,30)",Autochtoon,380
"[0,20)",Overig,"[20,30)",Marokkaans,140
"[0,20)",Overig,"[20,30)",Overig,9770
"[0,20)",Overig,"[20,30)",Surinaams,190
"[0,20)",Overig,"[20,30)",Turks,10
"[0,20)",Overig,"[30,40)",Autochtoon,4350
"[0,20)",Overig,"[30,40)",Marokkaans,310
"[0,20)",Overig,"[30,40)",Overig,28710
"[0,20)",Overig,"[30,40)",Surinaams,520
"[0,20)",Overig,"[30,40)",Turks,220
"[0,20)",Overig,"[40,50)",Autochtoon,7030
"[0,20)",Overig,"[40,50)",Marokkaans,340
"[0,20)",Overig,"[40,50)",Overig,41690
"[0,20)",Overig,"[40,50)",Surinaams,440
"[0,20)",Overig,"[40,50)",Turks,230
"[0,20)",Overig,"[50,60)",Autochtoon,19630
"[0,20)",Overig,"[50,60)",Marokkaans,70
"[0,20)",Overig,"[50,60)",Overig,81920
"[0,20)",Overig,"[50,60)",Surinaams,280
"[0,20)",Overig,"[50,60)",Turks,30
"[0,20)",Overig,"[60,70)",Autochtoon,420
"[0,20)",Overig,"[60,70)",Overig,1360
"[0,20)",Overig,"[70,80)",Overig,120
"[0,20)",Surinaams,"[0,20)",Autochtoon,670
"[0,20)",Surinaams,"[0,20)",Overig,180
"[0,20)",Surinaams,"[0,20)",Surinaams,10900
"[0,20)",Surinaams,"[20,30)",Autochtoon,80
"[0,20)",Surinaams,"[20,30)",Marokkaans,10
"[0,20)",Surinaams,"[20,30)",Overig,60
"[0,20)",Surinaams,"[20,30)",Surinaams,2730
"[0,20)",Surinaams,"[30,40)",Autochtoon,320
"[0,20)",Surinaams,"[30,40)",Overig,250
"[0,20)",Surinaams,"[30,40)",Surinaams,3510
"[0,20)",Surinaams,"[40,50)",Autochtoon,560
"[0,20)",Surinaams,"[40,50)",Overig,330
"[0,20)",Surinaams,"[40,50)",Surinaams,5130
"[0,20)",Surinaams,"[50,60)",Autochtoon,300
"[0,20)",Surinaams,"[50,60)",Overig,100
"[0,20)",Surinaams,"[50,60)",Surinaams,2830
"[0,20)",Surinaams,"[60,70)",Surinaams,500
"[0,20)",Turks,"[0,20)",Autochtoon,90
"[0,20)",Turks,"[0,20)",Overig,80
"[0,20)",Turks,"[0,20)",Turks,14060
"[0,20)",Turks,"[20,30)",Turks,4120
"[0,20)",Turks,"[30,40)",Autochtoon,60
"[0,20)",Turks,"[30,40)",Overig,10
"[0,20)",Turks,"[30,40)",Turks,8210
"[0,20)",Turks,"[40,50)",Autochtoon,290
"[0,20)",Turks,"[40,50)",Overig,20
"[0,20)",Turks,"[40,50)",Turks,7700
"[0,20)",Turks,"[50,60)",Autochtoon,10
"[0,20)",Turks,"[50,60)",Turks,2400
"[0,20)",Turks,"[60,70)",Turks,180
"[20,30)",Autochtoon,"[0,20)",Autochtoon,4610
"[20,30)",Autochtoon,"[0,20)",Marokkaans,10
"[20,30)",Autochtoon,"[0,20)",Overig,380
"[20,30)",Autochtoon,"[0,20)",Surinaams,80
"[20,30)",Autochtoon,"[20,30)",Autochtoon,36790
"[20,30)",Autochtoon,"[20,30)",Marokkaans,170
"[20,30)",Autochtoon,"[20,30)",Overig,11440
"[20,30)",Autochtoon,"[20,30)",Surinaams,610
"[20,30)",Autochtoon,"[20,30)",Turks,130
"[20,30)",Autochtoon,"[30,40)",Autochtoon,9480
"[20,30)",Autochtoon,"[30,40)",Marokkaans,30
"[20,30)",Autochtoon,"[30,40)",Overig,2430
"[20,30)",Autochtoon,"[30,40)",Surinaams,250
"[20,30)",Autochtoon,"[30,40)",Turks,30
"[20,30)",Autochtoon,"[40,50)",Autochtoon,1630
"[20,30)",Autochtoon,"[40,50)",Overig,260
"[20,30)",Autochtoon,"[40,50)",Surinaams,120
"[20,30)",Autochtoon,"[50,60)",Autochtoon,8870
"[20,30)",Autochtoon,"[50,60)",Overig,970
"[20,30)",Autochtoon,"[50,60)",Surinaams,10
"[20,30)",Autochtoon,"[60,70)",Autochtoon,3780
"[20,30)",Autochtoon,"[60,70)",Overig,370
"[20,30)",Marokkaans,"[0,20)",Autochtoon,1130
"[20,30)",Marokkaans,"[0,20)",Marokkaans,8520
"[20,30)",Marokkaans,"[0,20)",Overig,140
"[20,30)",Marokkaans,"[0,20)",Surinaams,10
"[20,30)",Marokkaans,"[20,30)",Autochtoon,170
"[20,30)",Marokkaans,"[20,30)",Marokkaans,6560
"[20,30)",Marokkaans,"[20,30)",Overig,120
"[20,30)",Marokkaans,"[20,30)",Surinaams,40
"[20,30)",Marokkaans,"[30,40)",Autochtoon,20
"[20,30)",Marokkaans,"[30,40)",Marokkaans,14270
"[20,30)",Marokkaans,"[30,40)",Overig,30
"[20,30)",Marokkaans,"[40,50)",Marokkaans,3570
"[20,30)",Marokkaans,"[50,60)",Marokkaans,4850
"[20,30)",Marokkaans,"[50,60)",Overig,10
"[20,30)",Marokkaans,"[60,70)",Marokkaans,2070
