lft_src,oplniv_src,lft_dst,oplniv_dst,n
"[0,20)",1,"[0,20)",1,752760
"[0,20)",1,"[0,20)",2,6810
"[0,20)",1,"[0,20)",3,10
"[0,20)",1,"[20,30)",1,7890
"[0,20)",1,"[20,30)",2,19170
"[0,20)",1,"[20,30)",3,4160
"[0,20)",1,"[30,40)",1,22600
"[0,20)",1,"[30,40)",2,30150
"[0,20)",1,"[30,40)",3,46450
"[0,20)",1,"[40,50)",1,28500
"[0,20)",1,"[40,50)",2,33960
"[0,20)",1,"[40,50)",3,65290
"[0,20)",1,"[50,60)",1,12610
"[0,20)",1,"[50,60)",2,11950
"[0,20)",1,"[50,60)",3,105400
"[0,20)",1,"[60,70)",1,2600
"[0,20)",1,"[60,70)",2,1730
"[0,20)",1,"[60,70)",3,1570
"[0,20)",1,"[70,80)",1,250
"[0,20)",1,"[70,80)",2,40
"[0,20)",1,"[70,80)",3,120
"[0,20)",2,"[0,20)",1,6810
"[0,20)",2,"[0,20)",2,720
"[0,20)",2,"[20,30)",1,360
"[0,20)",2,"[20,30)",2,2880
"[0,20)",2,"[20,30)",3,470
"[0,20)",2,"[30,40)",1,220
"[0,20)",2,"[30,40)",2,60
"[0,20)",2,"[40,50)",1,1280
"[0,20)",2,"[40,50)",2,1500
"[0,20)",2,"[40,50)",3,1220
"[0,20)",2,"[50,60)",1,1400
"[0,20)",2,"[50,60)",2,1630
"[0,20)",2,"[50,60)",3,3620
"[0,20)",2,"[60,70)",1,130
"[0,20)",2,"[60,70)",2,70
"[0,20)",2,"[60,70)",3,300
"[0,20)",3,"[0,20)",1,10
"[0,20)",3,"[50,60)",3,20
"[20,30)",1,"[0,20)",1,7890
"[20,30)",1,"[0,20)",2,360
"[20,30)",1,"[20,30)",1,1310
"[20,30)",1,"[20,30)",2,3230
"[20,30)",1,"[20,30)",3,690
"[20,30)",1,"[30,40)",1,3120
"[20,30)",1,"[30,40)",2,1060
"[20,30)",1,"[30,40)",3,470
"[20,30)",1,"[40,50)",1,16410
"[20,30)",1,"[40,50)",2,830
"[20,30)",1,"[40,50)",3,6440
"[20,30)",1,"[50,60)",1,2340
"[20,30)",1,"[50,60)",2,1490
"[20,30)",1,"[50,60)",3,3460
"[20,30)",1,"[60,70)",1,940
"[20,30)",1,"[60,70)",2,280
"[20,30)",1,"[60,70)",3,90
"[20,30)",1,"[70,80)",1,190
"[20,30)",2,"[0,20)",1,19170
"[20,30)",2,"[0,20)",2,2880
"[20,30)",2,"[20,30)",1,3230
"[20,30)",2,"[20,30)",2,64790
"[20,30)",2,"[20,30)",3,14520
"[20,30)",2,"[30,40)",1,12590
"[20,30)",2,"[30,40)",2,21070
"[20,30)",2,"[30,40)",3,18510
"[20,30)",2,"[40,50)",1,4550
"[20,30)",2,"[40,50)",2,3910
"[20,30)",2,"[40,50)",3,1090
"[20,30)",2,"[50,60)",1,7830
"[20,30)",2,"[50,60)",2,6540
"[20,30)",2,"[50,60)",3,4910
"[20,30)",2,"[60,70)",1,3110
"[20,30)",2,"[60,70)",2,1500
"[20,30)",2,"[60,70)",3,5190
"[20,30)",2,"[70,80)",1,480
"[20,30)",3,"[0,20)",1,4160
"[20,30)",3,"[0,20)",2,470
"[20,30)",3,"[20,30)",1,690
"[20,30)",3,"[20,30)",2,14520
"[20,30)",3,"[20,30)",3,35800
"[20,30)",3,"[30,40)",1,350
"[20,30)",3,"[30,40)",2,2640
"[20,30)",3,"[30,40)",3,169560
"[20,30)",3,"[40,50)",1,380
"[20,30)",3,"[40,50)",2,1540
"[20,30)",3,"[40,50)",3,410
"[20,30)",3,"[50,60)",1,1310
"[20,30)",3,"[50,60)",2,1550
"[20,30)",3,"[50,60)",3,1530
"[20,30)",3,"[60,70)",1,570
"[20,30)",3,"[60,70)",2,570
"[20,30)",3,"[60,70)",3,1410
"[20,30)",3,"[70,80)",1,40
"[30,40)",1,"[0,20)",1,22600
"[30,40)",1,"[0,20)",2,220
"[30,40)",1,"[20,30)",1,3120
"[30,40)",1,"[20,30)",2,12590
"[30,40)",1,"[20,30)",3,350
"[30,40)",1,"[30,40)",1,16490
"[30,40)",1,"[30,40)",2,4150
"[30,40)",1,"[30,40)",3,3390
"[30,40)",1,"[40,50)",1,15570
"[30,40)",1,"[40,50)",2,6260
"[30,40)",1,"[40,50)",3,440
"[30,40)",1,"[50,60)",1,3700
"[30,40)",1,"[50,60)",2,1510
"[30,40)",1,"[50,60)",3,500
"[30,40)",1,"[60,70)",1,1700
"[30,40)",1,"[60,70)",2,410
"[30,40)",1,"[60,70)",3,70
"[30,40)",1,"[70,80)",1,100
"[30,40)",2,"[0,20)",1,30150
"[30,40)",2,"[0,20)",2,60
"[30,40)",2,"[20,30)",1,1060
"[30,40)",2,"[20,30)",2,21070
"[30,40)",2,"[20,30)",3,2640
"[30,40)",2,"[30,40)",1,4150
"[30,40)",2,"[30,40)",2,37290
"[30,40)",2,"[30,40)",3,224720
"[30,40)",2,"[40,50)",1,3170
"[30,40)",2,"[40,50)",2,9580
"[30,40)",2,"[40,50)",3,6220
"[30,40)",2,"[50,60)",1,1620
"[30,40)",2,"[50,60)",2,1160
"[30,40)",2,"[50,60)",3,640
"[30,40)",2,"[60,70)",1,1160
"[30,40)",2,"[60,70)",2,610
"[30,40)",2,"[60,70)",3,320
"[30,40)",2,"[70,80)",1,400
"[30,40)",3,"[0,20)",1,46450
"[30,40)",3,"[20,30)",1,470
"[30,40)",3,"[20,30)",2,18510
"[30,40)",3,"[20,30)",3,169560
"[30,40)",3,"[30,40)",1,3390
"[30,40)",3,"[30,40)",2,224720
"[30,40)",3,"[30,40)",3,740480
"[30,40)",3,"[40,50)",1,17060
"[30,40)",3,"[40,50)",2,7150
"[30,40)",3,"[40,50)",3,39560
"[30,40)",3,"[50,60)",1,1070
"[30,40)",3,"[50,60)",2,560
"[30,40)",3,"[50,60)",3,1710
"[30,40)",3,"[60,70)",1,1130
"[30,40)",3,"[60,70)",2,430
"[30,40)",3,"[60,70)",3,810
"[30,40)",3,"[70,80)",3,80
"[40,50)",1,"[0,20)",1,28500
"[40,50)",1,"[0,20)",2,1280
"[40,50)",1,"[20,30)",1,16410
"[40,50)",1,"[20,30)",2,4550
"[40,50)",1,"[20,30)",3,380
"[40,50)",1,"[30,40)",1,15570
"[40,50)",1,"[30,40)",2,3170
"[40,50)",1,"[30,40)",3,17060
"[40,50)",1,"[40,50)",1,14740
"[40,50)",1,"[40,50)",2,14180
"[40,50)",1,"[40,50)",3,9290
"[40,50)",1,"[50,60)",1,11510
"[40,50)",1,"[50,60)",2,7560
"[40,50)",1,"[50,60)",3,440
"[40,50)",1,"[60,70)",1,1430
"[40,50)",1,"[60,70)",2,1740
"[40,50)",1,"[60,70)",3,20
"[40,50)",1,"[70,80)",1,30
"[40,50)",2,"[0,20)",1,33960
"[40,50)",2,"[0,20)",2,1500
"[40,50)",2,"[20,30)",1,830
"[40,50)",2,"[20,30)",2,3910
"[40,50)",2,"[20,30)",3,1540
"[40,50)",2,"[30,40)",1,6260
"[40,50)",2,"[30,40)",2,9580
"[40,50)",2,"[30,40)",3,7150
"[40,50)",2,"[40,50)",1,14180
"[40,50)",2,"[40,50)",2,35090
"[40,50)",2,"[40,50)",3,14220
"[40,50)",2,"[50,60)",1,5380
"[40,50)",2,"[50,60)",2,17920
"[40,50)",2,"[50,60)",3,6240
"[40,50)",2,"[60,70)",1,750
"[40,50)",2,"[60,70)",2,280
"[40,50)",2,"[60,70)",3,190
"[40,50)",3,"[0,20)",1,65290
"[40,50)",3,"[0,20)",2,1220
