etngrp,geslacht,lft,n
Autochtoon,Man,"[0,20)",32698
Autochtoon,Man,"[20,30)",33798
Autochtoon,Man,"[30,40)",31899
Autochtoon,Man,"[40,50)",25598
Autochtoon,Man,"[50,60)",27599
Autochtoon,Man,"[60,70)",22598
Autochtoon,Man,"[70,80)",14798
Autochtoon,Man,"[80,120]",5999
Autochtoon,Vrouw,"[0,20)",31698
Autochtoon,Vrouw,"[20,30)",40498
Autochtoon,Vrouw,"[30,40)",29799
Autochtoon,Vrouw,"[40,50)",22598
Autochtoon,Vrouw,"[50,60)",25098
Autochtoon,Vrouw,"[60,70)",21798
Autochtoon,Vrouw,"[70,80)",16899
Autochtoon,Vrouw,"[80,120]",10699
Marokkaans,Man,"[0,20)",12799
Marokkaans,Man,"[20,30)",5899
Marokkaans,Man,"[30,40)",5799
Marokkaans,Man,"[40,50)",5498
Marokkaans,Man,"[50,60)",4298
Marokkaans,Man,"[60,70)",2398
Marokkaans,Man,"[70,80)",1599
Marokkaans,Man,"[80,120]",600
Marokkaans,Vrouw,"[0,20)",12298
Marokkaans,Vrouw,"[20,30)",5999
Marokkaans,Vrouw,"[30,40)",6598
Marokkaans,Vrouw,"[40,50)",5498
Marokkaans,Vrouw,"[50,60)",3599
Marokkaans,Vrouw,"[60,70)",2298
Marokkaans,Vrouw,"[70,80)",1000
Marokkaans,Vrouw,"[80,120]",300
Overig,Man,"[0,20)",27099
Overig,Man,"[20,30)",28598
Overig,Man,"[30,40)",31498
Overig,Man,"[40,50)",19799
Overig,Man,"[50,60)",16198
Overig,Man,"[60,70)",10299
Overig,Man,"[70,80)",4698
Overig,Man,"[80,120]",1498
Overig,Vrouw,"[0,20)",26398
Overig,Vrouw,"[20,30)",32899
Overig,Vrouw,"[30,40)",31099
Overig,Vrouw,"[40,50)",19599
Overig,Vrouw,"[50,60)",14499
Overig,Vrouw,"[60,70)",10099
Overig,Vrouw,"[70,80)",4899
Overig,Vrouw,"[80,120]",2498
Surinaams,Man,"[0,20)",5699
Surinaams,Man,"[20,30)",4998
Surinaams,Man,"[30,40)",4798
Surinaams,Man,"[40,50)",4199
Surinaams,Man,"[50,60)",4899
Surinaams,Man,"[60,70)",3599
Surinaams,Man,"[70,80)",1498
Surinaams,Man,"[80,120]",0
Surinaams,Vrouw,"[0,20)",5499
Surinaams,Vrouw,"[20,30)",4998
Surinaams,Vrouw,"[30,40)",5198
Surinaams,Vrouw,"[40,50)",4998
Surinaams,Vrouw,"[50,60)",6298
Surinaams,Vrouw,"[60,70)",4598
Surinaams,Vrouw,"[70,80)",1898
Surinaams,Vrouw,"[80,120]",1000
Turks,Man,"[0,20)",5899
Turks,Man,"[20,30)",3899
Turks,Man,"[30,40)",4399
Turks,Man,"[40,50)",3598
Turks,Man,"[50,60)",2998
Turks,Man,"[60,70)",1198
Turks,Man,"[70,80)",599
Turks,Man,"[80,120]",200
Turks,Vrouw,"[0,20)",5399
Turks,Vrouw,"[20,30)",3698
Turks,Vrouw,"[30,40)",4098
Turks,Vrouw,"[40,50)",3499
Turks,Vrouw,"[50,60)",2498
Turks,Vrouw,"[60,70)",1198
Turks,Vrouw,"[70,80)",600
Turks,Vrouw,"[80,120]",0
