etngrp,geslacht,lft,oplniv,n
Autochtoon,Man,"[0,20)",1,30825
Autochtoon,Man,"[0,20)",2,1860
Autochtoon,Man,"[0,20)",3,13
Autochtoon,Man,"[20,30)",1,2078
Autochtoon,Man,"[20,30)",2,14065
Autochtoon,Man,"[20,30)",3,17655
Autochtoon,Man,"[30,40)",1,2489
Autochtoon,Man,"[30,40)",2,6703
Autochtoon,Man,"[30,40)",3,22707
Autochtoon,Man,"[40,50)",1,2446
Autochtoon,Man,"[40,50)",2,7359
Autochtoon,Man,"[40,50)",3,15793
Autochtoon,Man,"[50,60)",1,4911
Autochtoon,Man,"[50,60)",2,9775
Autochtoon,Man,"[50,60)",3,12913
Autochtoon,Man,"[60,70)",1,4811
Autochtoon,Man,"[60,70)",2,6632
Autochtoon,Man,"[60,70)",3,11155
Autochtoon,Man,"[70,80)",1,4336
Autochtoon,Man,"[70,80)",2,4216
Autochtoon,Man,"[70,80)",3,6246
Autochtoon,Man,"[80,120]",1,2163
Autochtoon,Man,"[80,120]",2,2977
Autochtoon,Man,"[80,120]",3,859
Autochtoon,Vrouw,"[0,20)",1,29308
Autochtoon,Vrouw,"[0,20)",2,2383
Autochtoon,Vrouw,"[0,20)",3,7
Autochtoon,Vrouw,"[20,30)",1,1388
Autochtoon,Vrouw,"[20,30)",2,14264
Autochtoon,Vrouw,"[20,30)",3,24846
Autochtoon,Vrouw,"[30,40)",1,2066
Autochtoon,Vrouw,"[30,40)",2,4674
Autochtoon,Vrouw,"[30,40)",3,23059
Autochtoon,Vrouw,"[40,50)",1,2289
Autochtoon,Vrouw,"[40,50)",2,6148
Autochtoon,Vrouw,"[40,50)",3,14161
Autochtoon,Vrouw,"[50,60)",1,4073
Autochtoon,Vrouw,"[50,60)",2,8299
Autochtoon,Vrouw,"[50,60)",3,12726
Autochtoon,Vrouw,"[60,70)",1,6422
Autochtoon,Vrouw,"[60,70)",2,5738
Autochtoon,Vrouw,"[60,70)",3,9638
Autochtoon,Vrouw,"[70,80)",1,6136
Autochtoon,Vrouw,"[70,80)",2,4650
Autochtoon,Vrouw,"[70,80)",3,6113
Autochtoon,Vrouw,"[80,120]",1,8091
Autochtoon,Vrouw,"[80,120]",2,1916
