geslacht,lft,oplniv,n
Man,"[0,20)",1,80092
Man,"[0,20)",2,4081
Man,"[0,20)",3,21
Man,"[20,30)",1,7566
Man,"[20,30)",2,32766
Man,"[20,30)",3,36860
Man,"[30,40)",1,10036
Man,"[30,40)",2,17309
Man,"[30,40)",3,51048
Man,"[40,50)",1,12864
Man,"[40,50)",2,18597
Man,"[40,50)",3,27231
Man,"[50,60)",1,14382
Man,"[50,60)",2,19329
Man,"[50,60)",3,22281
Man,"[60,70)",1,12938
Man,"[60,70)",2,11592
Man,"[60,70)",3,15562
Man,"[70,80)",1,8725
Man,"[70,80)",2,5762
Man,"[70,80)",3,8705
Man,"[80,120]",1,3089
Man,"[80,120]",2,3147
Man,"[80,120]",3,2061
Vrouw,"[0,20)",1,75520
Vrouw,"[0,20)",2,5758
Vrouw,"[0,20)",3,14
Vrouw,"[20,30)",1,7802
Vrouw,"[20,30)",2,39379
Vrouw,"[20,30)",3,40911
Vrouw,"[30,40)",1,8841
Vrouw,"[30,40)",2,20670
Vrouw,"[30,40)",3,47281
Vrouw,"[40,50)",1,11530
Vrouw,"[40,50)",2,16736
Vrouw,"[40,50)",3,27926
Vrouw,"[50,60)",1,13632
Vrouw,"[50,60)",2,17005
Vrouw,"[50,60)",3,21355
Vrouw,"[60,70)",1,14579
Vrouw,"[60,70)",2,10795
Vrouw,"[60,70)",3,14617
Vrouw,"[70,80)",1,10560
Vrouw,"[70,80)",2,6583
Vrouw,"[70,80)",3,8153
Vrouw,"[80,120]",1,10831
Vrouw,"[80,120]",2,2209
Vrouw,"[80,120]",3,1457
