lft,etngrp,n
"[0,20)",Autochtoon,64396
"[0,20)",Marokkaans,25097
"[0,20)",Overig,53497
"[0,20)",Surinaams,11198
"[0,20)",Turks,11298
"[20,30)",Autochtoon,74296
"[20,30)",Marokkaans,11898
"[20,30)",Overig,61497
"[20,30)",Surinaams,9996
"[20,30)",Turks,7597
"[30,40)",Autochtoon,61698
"[30,40)",Marokkaans,12397
"[30,40)",Overig,62597
"[30,40)",Surinaams,9996
"[30,40)",Turks,8497
"[40,50)",Autochtoon,48196
"[40,50)",Marokkaans,10996
"[40,50)",Overig,39398
"[40,50)",Surinaams,9197
"[40,50)",Turks,7097
"[50,60)",Autochtoon,52697
"[50,60)",Marokkaans,7897
"[50,60)",Overig,30697
"[50,60)",Surinaams,11197
"[50,60)",Turks,5496
"[60,70)",Autochtoon,44396
"[60,70)",Marokkaans,4696
"[60,70)",Overig,20398
"[60,70)",Surinaams,8197
"[60,70)",Turks,2396
"[70,80)",Autochtoon,31697
"[70,80)",Marokkaans,2599
"[70,80)",Overig,9597
"[70,80)",Surinaams,3396
"[70,80)",Turks,1199
"[80,120]",Autochtoon,16698
"[80,120]",Marokkaans,900
"[80,120]",Overig,3996
"[80,120]",Surinaams,1000
"[80,120]",Turks,200
