etngrp_src,etngrp_dst,n
Autochtoon,Autochtoon,7838770
Autochtoon,Marokkaans,785040
Autochtoon,Overig,3718620
Autochtoon,Surinaams,833430
Autochtoon,Turks,382650
Marokkaans,Autochtoon,803490
Marokkaans,Marokkaans,667610
Marokkaans,Overig,658090
Marokkaans,Surinaams,224860
Marokkaans,Turks,284860
Overig,Autochtoon,3758000
Overig,Marokkaans,657700
Overig,Overig,3974380
Overig,Surinaams,691680
Overig,Turks,330790
Surinaams,Autochtoon,877730
Surinaams,Marokkaans,230040
Surinaams,Overig,727610
Surinaams,Surinaams,464290
Surinaams,Turks,110370
Turks,Autochtoon,401850
Turks,Marokkaans,286410
Turks,Overig,335860
Turks,Surinaams,107850
Turks,Turks,210470
