etngrp_src,geslacht_src,lft_src,oplniv_src,etngrp_dst,geslacht_dst,lft_dst,oplniv_dst,n
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",1,262420
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",2,2020
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[0,20)",3,20
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",1,920
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",2,5500
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[20,30)",3,2400
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",1,380
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",2,1070
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[30,40)",3,1550
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",1,120
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",2,670
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[40,50)",3,720
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",1,390
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",2,790
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[50,60)",3,540
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",1,270
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",2,230
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[60,70)",3,150
Autochtoon,Man,"[0,20)",1,Autochtoon,Man,"[70,80)",1,30
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[0,20)",1,248300
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[0,20)",2,2020
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[0,20)",3,20
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[20,30)",1,610
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[20,30)",2,4800
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[20,30)",3,3800
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[30,40)",1,350
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[30,40)",2,540
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[30,40)",3,1890
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[40,50)",1,390
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[40,50)",2,410
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[40,50)",3,790
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[50,60)",1,820
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[50,60)",2,460
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[50,60)",3,460
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[60,70)",1,190
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[60,70)",2,110
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[60,70)",3,140
Autochtoon,Man,"[0,20)",1,Autochtoon,Vrouw,"[70,80)",3,10
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[0,20)",1,57300
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[0,20)",2,660
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[0,20)",3,10
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[20,30)",1,500
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[20,30)",2,1360
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[20,30)",3,150
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[30,40)",1,180
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[30,40)",2,250
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[30,40)",3,90
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[40,50)",1,100
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[40,50)",2,130
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[40,50)",3,20
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[50,60)",1,190
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[50,60)",2,30
Autochtoon,Man,"[0,20)",1,Marokkaans,Man,"[60,70)",1,30
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[0,20)",1,52990
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[0,20)",2,1090
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[20,30)",1,420
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[20,30)",2,1880
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[20,30)",3,210
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[30,40)",1,120
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[30,40)",2,280
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[30,40)",3,90
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[40,50)",1,80
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[40,50)",2,130
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[40,50)",3,40
Autochtoon,Man,"[0,20)",1,Marokkaans,Vrouw,"[50,60)",1,20
Autochtoon,Man,"[0,20)",1,Overig,Man,"[0,20)",1,149050
Autochtoon,Man,"[0,20)",1,Overig,Man,"[0,20)",2,1200
Autochtoon,Man,"[0,20)",1,Overig,Man,"[0,20)",3,30
Autochtoon,Man,"[0,20)",1,Overig,Man,"[20,30)",1,1590
Autochtoon,Man,"[0,20)",1,Overig,Man,"[20,30)",2,5110
Autochtoon,Man,"[0,20)",1,Overig,Man,"[20,30)",3,780
Autochtoon,Man,"[0,20)",1,Overig,Man,"[30,40)",1,1950
Autochtoon,Man,"[0,20)",1,Overig,Man,"[30,40)",2,660
Autochtoon,Man,"[0,20)",1,Overig,Man,"[30,40)",3,1650
Autochtoon,Man,"[0,20)",1,Overig,Man,"[40,50)",1,440
Autochtoon,Man,"[0,20)",1,Overig,Man,"[40,50)",2,270
Autochtoon,Man,"[0,20)",1,Overig,Man,"[40,50)",3,270
Autochtoon,Man,"[0,20)",1,Overig,Man,"[50,60)",1,260
Autochtoon,Man,"[0,20)",1,Overig,Man,"[50,60)",2,210
Autochtoon,Man,"[0,20)",1,Overig,Man,"[50,60)",3,210
Autochtoon,Man,"[0,20)",1,Overig,Man,"[60,70)",1,140
Autochtoon,Man,"[0,20)",1,Overig,Man,"[60,70)",2,50
Autochtoon,Man,"[0,20)",1,Overig,Man,"[60,70)",3,90
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[0,20)",1,144080
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[0,20)",2,1370
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[0,20)",3,10
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[20,30)",1,960
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[20,30)",2,5640
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[20,30)",3,1150
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[30,40)",1,320
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[30,40)",2,920
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[30,40)",3,730
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[40,50)",1,300
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[40,50)",2,430
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[40,50)",3,350
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[50,60)",1,190
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[50,60)",2,380
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[50,60)",3,160
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[60,70)",1,80
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[60,70)",2,60
Autochtoon,Man,"[0,20)",1,Overig,Vrouw,"[60,70)",3,50
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[0,20)",1,28670
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[0,20)",2,600
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[20,30)",1,580
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[20,30)",2,1290
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[20,30)",3,170
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[30,40)",1,220
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[30,40)",2,570
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[30,40)",3,80
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[40,50)",1,80
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[40,50)",2,210
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[40,50)",3,50
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[50,60)",1,80
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[50,60)",2,100
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[50,60)",3,30
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[60,70)",1,10
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[60,70)",2,20
Autochtoon,Man,"[0,20)",1,Surinaams,Man,"[60,70)",3,10
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[0,20)",1,27280
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[0,20)",2,530
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[20,30)",1,360
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[20,30)",2,1300
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[20,30)",3,170
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[30,40)",1,110
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[30,40)",2,320
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[30,40)",3,150
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[40,50)",1,150
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[40,50)",2,170
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[40,50)",3,50
Autochtoon,Man,"[0,20)",1,Surinaams,Vrouw,"[50,60)",1,90
