etngrp_src,geslacht_src,oplniv_src,etngrp_dst,geslacht_dst,oplniv_dst,n
Autochtoon,Man,1,Autochtoon,Man,1,289070
Autochtoon,Man,1,Autochtoon,Man,2,47720
Autochtoon,Man,1,Autochtoon,Man,3,37090
Autochtoon,Man,1,Autochtoon,Vrouw,1,262580
Autochtoon,Man,1,Autochtoon,Vrouw,2,27350
Autochtoon,Man,1,Autochtoon,Vrouw,3,36110
Autochtoon,Man,1,Marokkaans,Man,1,68900
Autochtoon,Man,1,Marokkaans,Man,2,11250
Autochtoon,Man,1,Marokkaans,Man,3,2190
Autochtoon,Man,1,Marokkaans,Vrouw,1,57450
Autochtoon,Man,1,Marokkaans,Vrouw,2,7110
Autochtoon,Man,1,Marokkaans,Vrouw,3,2410
Autochtoon,Man,1,Overig,Man,1,175790
Autochtoon,Man,1,Overig,Man,2,25210
Autochtoon,Man,1,Overig,Man,3,16710
Autochtoon,Man,1,Overig,Vrouw,1,153990
Autochtoon,Man,1,Overig,Vrouw,2,27890
Autochtoon,Man,1,Overig,Vrouw,3,14680
Autochtoon,Man,1,Surinaams,Man,1,39900
Autochtoon,Man,1,Surinaams,Man,2,12360
Autochtoon,Man,1,Surinaams,Man,3,2700
Autochtoon,Man,1,Surinaams,Vrouw,1,33610
Autochtoon,Man,1,Surinaams,Vrouw,2,11210
Autochtoon,Man,1,Surinaams,Vrouw,3,2980
Autochtoon,Man,1,Turks,Man,1,30080
Autochtoon,Man,1,Turks,Man,2,7040
Autochtoon,Man,1,Turks,Man,3,1810
Autochtoon,Man,1,Turks,Vrouw,1,22730
Autochtoon,Man,1,Turks,Vrouw,2,3620
Autochtoon,Man,1,Turks,Vrouw,3,1280
Autochtoon,Man,2,Autochtoon,Man,1,48350
Autochtoon,Man,2,Autochtoon,Man,2,229670
Autochtoon,Man,2,Autochtoon,Man,3,178040
Autochtoon,Man,2,Autochtoon,Vrouw,1,31400
Autochtoon,Man,2,Autochtoon,Vrouw,2,189190
Autochtoon,Man,2,Autochtoon,Vrouw,3,200370
Autochtoon,Man,2,Marokkaans,Man,1,17950
Autochtoon,Man,2,Marokkaans,Man,2,38620
Autochtoon,Man,2,Marokkaans,Man,3,8330
Autochtoon,Man,2,Marokkaans,Vrouw,1,9580
Autochtoon,Man,2,Marokkaans,Vrouw,2,23300
Autochtoon,Man,2,Marokkaans,Vrouw,3,8890
Autochtoon,Man,2,Overig,Man,1,39420
Autochtoon,Man,2,Overig,Man,2,121710
Autochtoon,Man,2,Overig,Man,3,79900
Autochtoon,Man,2,Overig,Vrouw,1,22640
Autochtoon,Man,2,Overig,Vrouw,2,116430
Autochtoon,Man,2,Overig,Vrouw,3,77020
Autochtoon,Man,2,Surinaams,Man,1,18050
Autochtoon,Man,2,Surinaams,Man,2,40420
Autochtoon,Man,2,Surinaams,Man,3,9830
Autochtoon,Man,2,Surinaams,Vrouw,1,12450
Autochtoon,Man,2,Surinaams,Vrouw,2,38200
Autochtoon,Man,2,Surinaams,Vrouw,3,13800
Autochtoon,Man,2,Turks,Man,1,10320
Autochtoon,Man,2,Turks,Man,2,22600
Autochtoon,Man,2,Turks,Man,3,5860
Autochtoon,Man,2,Turks,Vrouw,1,4170
Autochtoon,Man,2,Turks,Vrouw,2,12300
Autochtoon,Man,2,Turks,Vrouw,3,4560
Autochtoon,Man,3,Autochtoon,Man,1,35160
Autochtoon,Man,3,Autochtoon,Man,2,169420
Autochtoon,Man,3,Autochtoon,Man,3,776860
Autochtoon,Man,3,Autochtoon,Vrouw,1,27890
Autochtoon,Man,3,Autochtoon,Vrouw,2,151830
Autochtoon,Man,3,Autochtoon,Vrouw,3,816920
Autochtoon,Man,3,Marokkaans,Man,1,14570
Autochtoon,Man,3,Marokkaans,Man,2,27030
Autochtoon,Man,3,Marokkaans,Man,3,20220
Autochtoon,Man,3,Marokkaans,Vrouw,1,9930
Autochtoon,Man,3,Marokkaans,Vrouw,2,23930
Autochtoon,Man,3,Marokkaans,Vrouw,3,23400
Autochtoon,Man,3,Overig,Man,1,31630
Autochtoon,Man,3,Overig,Man,2,78600
Autochtoon,Man,3,Overig,Man,3,359840
Autochtoon,Man,3,Overig,Vrouw,1,20040
Autochtoon,Man,3,Overig,Vrouw,2,104860
Autochtoon,Man,3,Overig,Vrouw,3,336850
Autochtoon,Man,3,Surinaams,Man,1,13950
Autochtoon,Man,3,Surinaams,Man,2,31630
Autochtoon,Man,3,Surinaams,Man,3,23000
Autochtoon,Man,3,Surinaams,Vrouw,1,11000
Autochtoon,Man,3,Surinaams,Vrouw,2,41360
Autochtoon,Man,3,Surinaams,Vrouw,3,36260
Autochtoon,Man,3,Turks,Man,1,8050
Autochtoon,Man,3,Turks,Man,2,11370
Autochtoon,Man,3,Turks,Man,3,13410
Autochtoon,Man,3,Turks,Vrouw,1,3430
Autochtoon,Man,3,Turks,Vrouw,2,9750
Autochtoon,Man,3,Turks,Vrouw,3,13930
Autochtoon,Vrouw,1,Autochtoon,Man,1,262180
Autochtoon,Vrouw,1,Autochtoon,Man,2,31650
Autochtoon,Vrouw,1,Autochtoon,Man,3,30270
