etngrp_src,lft_src,etngrp_dst,lft_dst,n
Autochtoon,"[0,20)",Autochtoon,"[0,20)",1082650
Autochtoon,"[0,20)",Autochtoon,"[20,30)",92950
Autochtoon,"[0,20)",Autochtoon,"[30,40)",18930
Autochtoon,"[0,20)",Autochtoon,"[40,50)",10350
Autochtoon,"[0,20)",Autochtoon,"[50,60)",10870
Autochtoon,"[0,20)",Autochtoon,"[60,70)",3710
Autochtoon,"[0,20)",Autochtoon,"[70,80)",60
Autochtoon,"[0,20)",Marokkaans,"[0,20)",225810
Autochtoon,"[0,20)",Marokkaans,"[20,30)",16130
Autochtoon,"[0,20)",Marokkaans,"[30,40)",3540
Autochtoon,"[0,20)",Marokkaans,"[40,50)",1830
Autochtoon,"[0,20)",Marokkaans,"[50,60)",690
Autochtoon,"[0,20)",Marokkaans,"[60,70)",90
Autochtoon,"[0,20)",Overig,"[0,20)",619830
Autochtoon,"[0,20)",Overig,"[20,30)",76190
Autochtoon,"[0,20)",Overig,"[30,40)",19550
Autochtoon,"[0,20)",Overig,"[40,50)",6930
Autochtoon,"[0,20)",Overig,"[50,60)",4760
Autochtoon,"[0,20)",Overig,"[60,70)",1910
Autochtoon,"[0,20)",Surinaams,"[0,20)",118020
Autochtoon,"[0,20)",Surinaams,"[20,30)",15080
Autochtoon,"[0,20)",Surinaams,"[30,40)",4100
Autochtoon,"[0,20)",Surinaams,"[40,50)",2430
Autochtoon,"[0,20)",Surinaams,"[50,60)",2780
Autochtoon,"[0,20)",Surinaams,"[60,70)",500
Autochtoon,"[0,20)",Turks,"[0,20)",88800
Autochtoon,"[0,20)",Turks,"[20,30)",9500
Autochtoon,"[0,20)",Turks,"[30,40)",2220
Autochtoon,"[0,20)",Turks,"[40,50)",1160
Autochtoon,"[0,20)",Turks,"[50,60)",210
Autochtoon,"[20,30)",Autochtoon,"[0,20)",92080
Autochtoon,"[20,30)",Autochtoon,"[20,30)",1305810
Autochtoon,"[20,30)",Autochtoon,"[30,40)",461070
Autochtoon,"[20,30)",Autochtoon,"[40,50)",205170
Autochtoon,"[20,30)",Autochtoon,"[50,60)",182300
Autochtoon,"[20,30)",Autochtoon,"[60,70)",80670
Autochtoon,"[20,30)",Autochtoon,"[70,80)",2390
Autochtoon,"[20,30)",Marokkaans,"[0,20)",29250
Autochtoon,"[20,30)",Marokkaans,"[20,30)",80450
Autochtoon,"[20,30)",Marokkaans,"[30,40)",28420
Autochtoon,"[20,30)",Marokkaans,"[40,50)",17790
Autochtoon,"[20,30)",Marokkaans,"[50,60)",7310
Autochtoon,"[20,30)",Marokkaans,"[60,70)",2060
Autochtoon,"[20,30)",Overig,"[0,20)",57580
Autochtoon,"[20,30)",Overig,"[20,30)",555190
Autochtoon,"[20,30)",Overig,"[30,40)",281670
Autochtoon,"[20,30)",Overig,"[40,50)",96060
Autochtoon,"[20,30)",Overig,"[50,60)",73230
Autochtoon,"[20,30)",Overig,"[60,70)",26450
Autochtoon,"[20,30)",Overig,"[70,80)",780
Autochtoon,"[20,30)",Surinaams,"[0,20)",17370
Autochtoon,"[20,30)",Surinaams,"[20,30)",84540
Autochtoon,"[20,30)",Surinaams,"[30,40)",37920
Autochtoon,"[20,30)",Surinaams,"[40,50)",25230
Autochtoon,"[20,30)",Surinaams,"[50,60)",26870
Autochtoon,"[20,30)",Surinaams,"[60,70)",13970
Autochtoon,"[20,30)",Surinaams,"[70,80)",40
Autochtoon,"[20,30)",Turks,"[0,20)",10800
Autochtoon,"[20,30)",Turks,"[20,30)",47420
Autochtoon,"[20,30)",Turks,"[30,40)",16620
Autochtoon,"[20,30)",Turks,"[40,50)",8370
Autochtoon,"[20,30)",Turks,"[50,60)",5430
Autochtoon,"[20,30)",Turks,"[60,70)",860
Autochtoon,"[30,40)",Autochtoon,"[0,20)",17990
Autochtoon,"[30,40)",Autochtoon,"[20,30)",457490
Autochtoon,"[30,40)",Autochtoon,"[30,40)",471330
Autochtoon,"[30,40)",Autochtoon,"[40,50)",260010
Autochtoon,"[30,40)",Autochtoon,"[50,60)",239050
Autochtoon,"[30,40)",Autochtoon,"[60,70)",111040
Autochtoon,"[30,40)",Autochtoon,"[70,80)",1740
Autochtoon,"[30,40)",Marokkaans,"[0,20)",11720
Autochtoon,"[30,40)",Marokkaans,"[20,30)",31790
Autochtoon,"[30,40)",Marokkaans,"[30,40)",28340
Autochtoon,"[30,40)",Marokkaans,"[40,50)",21940
Autochtoon,"[30,40)",Marokkaans,"[50,60)",9390
Autochtoon,"[30,40)",Marokkaans,"[60,70)",2360
Autochtoon,"[30,40)",Overig,"[0,20)",12290
Autochtoon,"[30,40)",Overig,"[20,30)",216590
Autochtoon,"[30,40)",Overig,"[30,40)",289740
Autochtoon,"[30,40)",Overig,"[40,50)",109300
Autochtoon,"[30,40)",Overig,"[50,60)",81540
Autochtoon,"[30,40)",Overig,"[60,70)",30850
Autochtoon,"[30,40)",Overig,"[70,80)",120
Autochtoon,"[30,40)",Surinaams,"[0,20)",4750
Autochtoon,"[30,40)",Surinaams,"[20,30)",28540
Autochtoon,"[30,40)",Surinaams,"[30,40)",31540
Autochtoon,"[30,40)",Surinaams,"[40,50)",27350
Autochtoon,"[30,40)",Surinaams,"[50,60)",30540
Autochtoon,"[30,40)",Surinaams,"[60,70)",12750
Autochtoon,"[30,40)",Surinaams,"[70,80)",10
