etngrp_src,lft_src,oplniv_src,etngrp_dst,lft_dst,oplniv_dst,n
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",1,1024310
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",2,8390
Autochtoon,"[0,20)",1,Autochtoon,"[0,20)",3,70
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",1,3090
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",2,20490
Autochtoon,"[0,20)",1,Autochtoon,"[20,30)",3,12140
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",1,1240
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",2,3240
Autochtoon,"[0,20)",1,Autochtoon,"[30,40)",3,6950
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",1,950
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",2,2270
Autochtoon,"[0,20)",1,Autochtoon,"[40,50)",3,3030
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",1,2160
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",2,2910
Autochtoon,"[0,20)",1,Autochtoon,"[50,60)",3,1930
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",1,860
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",2,750
Autochtoon,"[0,20)",1,Autochtoon,"[60,70)",3,580
Autochtoon,"[0,20)",1,Autochtoon,"[70,80)",1,30
Autochtoon,"[0,20)",1,Autochtoon,"[70,80)",2,20
Autochtoon,"[0,20)",1,Autochtoon,"[70,80)",3,10
Autochtoon,"[0,20)",1,Marokkaans,"[0,20)",1,211350
Autochtoon,"[0,20)",1,Marokkaans,"[0,20)",2,3500
Autochtoon,"[0,20)",1,Marokkaans,"[0,20)",3,10
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",1,1810
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",2,6170
Autochtoon,"[0,20)",1,Marokkaans,"[20,30)",3,740
Autochtoon,"[0,20)",1,Marokkaans,"[30,40)",1,630
