etngrp_src,oplniv_src,etngrp_dst,oplniv_dst,n
Autochtoon,1,Autochtoon,1,1100190
Autochtoon,1,Autochtoon,2,150020
Autochtoon,1,Autochtoon,3,149420
Autochtoon,1,Marokkaans,1,241790
Autochtoon,1,Marokkaans,2,38030
Autochtoon,1,Marokkaans,3,8330
Autochtoon,1,Overig,1,644410
Autochtoon,1,Overig,2,100370
Autochtoon,1,Overig,3,65790
Autochtoon,1,Surinaams,1,141430
Autochtoon,1,Surinaams,2,45030
Autochtoon,1,Surinaams,3,10670
Autochtoon,1,Turks,1,99450
Autochtoon,1,Turks,2,20310
Autochtoon,1,Turks,3,4810
Autochtoon,2,Autochtoon,1,149380
Autochtoon,2,Autochtoon,2,923990
Autochtoon,2,Autochtoon,3,795860
Autochtoon,2,Marokkaans,1,54300
Autochtoon,2,Marokkaans,2,130860
Autochtoon,2,Marokkaans,3,34500
Autochtoon,2,Overig,1,117570
Autochtoon,2,Overig,2,509200
Autochtoon,2,Overig,3,324460
Autochtoon,2,Surinaams,1,56210
Autochtoon,2,Surinaams,2,171820
Autochtoon,2,Surinaams,3,48080
Autochtoon,2,Turks,1,25760
Autochtoon,2,Turks,2,70110
Autochtoon,2,Turks,3,21240
Autochtoon,3,Autochtoon,1,139050
Autochtoon,3,Autochtoon,2,758370
Autochtoon,3,Autochtoon,3,3672490
Autochtoon,3,Marokkaans,1,55630
Autochtoon,3,Marokkaans,2,120870
Autochtoon,3,Marokkaans,3,100730
Autochtoon,3,Overig,1,111530
Autochtoon,3,Overig,2,404900
Autochtoon,3,Overig,3,1440390
Autochtoon,3,Surinaams,1,53550
Autochtoon,3,Surinaams,2,168970
Autochtoon,3,Surinaams,3,137670
Autochtoon,3,Turks,1,26310
Autochtoon,3,Turks,2,51820
Autochtoon,3,Turks,3,62840
Marokkaans,1,Autochtoon,1,239900
Marokkaans,1,Autochtoon,2,51830
Marokkaans,1,Autochtoon,3,55420
Marokkaans,1,Marokkaans,1,392810
Marokkaans,1,Marokkaans,2,58250
Marokkaans,1,Marokkaans,3,8790
Marokkaans,1,Overig,1,282430
Marokkaans,1,Overig,2,55530
Marokkaans,1,Overig,3,39140
Marokkaans,1,Surinaams,1,82880
Marokkaans,1,Surinaams,2,24580
Marokkaans,1,Surinaams,3,4310
Marokkaans,1,Turks,1,161340
Marokkaans,1,Turks,2,26670
Marokkaans,1,Turks,3,3510
Marokkaans,2,Autochtoon,1,37000
Marokkaans,2,Autochtoon,2,131870
Marokkaans,2,Autochtoon,3,130360
Marokkaans,2,Marokkaans,1,58340
Marokkaans,2,Marokkaans,2,86690
Marokkaans,2,Marokkaans,3,17480
Marokkaans,2,Overig,1,47720
Marokkaans,2,Overig,2,95870
Marokkaans,2,Overig,3,63080
Marokkaans,2,Surinaams,1,22110
Marokkaans,2,Surinaams,2,50850
Marokkaans,2,Surinaams,3,12150
Marokkaans,2,Turks,1,23070
Marokkaans,2,Turks,2,40360
Marokkaans,2,Turks,3,8580
Marokkaans,3,Autochtoon,1,7850
Marokkaans,3,Autochtoon,2,34830
Marokkaans,3,Autochtoon,3,114430
Marokkaans,3,Marokkaans,1,9120
Marokkaans,3,Marokkaans,2,17780
Marokkaans,3,Marokkaans,3,18350
Marokkaans,3,Overig,1,8830
Marokkaans,3,Overig,2,19010
Marokkaans,3,Overig,3,46480
Marokkaans,3,Surinaams,1,4350
Marokkaans,3,Surinaams,2,13290
Marokkaans,3,Surinaams,3,10340
Marokkaans,3,Turks,1,4360
Marokkaans,3,Turks,2,8370
Marokkaans,3,Turks,3,8600
Overig,1,Autochtoon,1,640790
Overig,1,Autochtoon,2,122490
Overig,1,Autochtoon,3,121950
Overig,1,Marokkaans,1,285520
Overig,1,Marokkaans,2,48900
Overig,1,Marokkaans,3,8910
Overig,1,Overig,1,729310
Overig,1,Overig,2,154130
Overig,1,Overig,3,93950
Overig,1,Surinaams,1,192820
Overig,1,Surinaams,2,72900
Overig,1,Surinaams,3,12380
Overig,1,Turks,1,124480
Overig,1,Turks,2,23550
Overig,1,Turks,3,5160
Overig,2,Autochtoon,1,103310
Overig,2,Autochtoon,2,519130
Overig,2,Autochtoon,3,423240
Overig,2,Marokkaans,1,57740
Overig,2,Marokkaans,2,94750
Overig,2,Marokkaans,3,18730
Overig,2,Overig,1,153590
Overig,2,Overig,2,502750
Overig,2,Overig,3,319930
Overig,2,Surinaams,1,67660
Overig,2,Surinaams,2,146120
Overig,2,Surinaams,3,33690
Overig,2,Turks,1,36380
Overig,2,Turks,2,49560
Overig,2,Turks,3,13870
Overig,3,Autochtoon,1,58430
Overig,3,Autochtoon,2,317410
Overig,3,Autochtoon,3,1451250
Overig,3,Marokkaans,1,38970
Overig,3,Marokkaans,2,61140
Overig,3,Marokkaans,3,43040
Overig,3,Overig,1,86550
Overig,3,Overig,2,283920
Overig,3,Overig,3,1650250
Overig,3,Surinaams,1,30280
Overig,3,Surinaams,2,76830
Overig,3,Surinaams,3,59000
Overig,3,Turks,1,17010
Overig,3,Turks,2,28470
Overig,3,Turks,3,32310
Surinaams,1,Autochtoon,1,141550
Surinaams,1,Autochtoon,2,57760
Surinaams,1,Autochtoon,3,58830
Surinaams,1,Marokkaans,1,82870
Surinaams,1,Marokkaans,2,22590
Surinaams,1,Marokkaans,3,4410
Surinaams,1,Overig,1,198100
Surinaams,1,Overig,2,69310
Surinaams,1,Overig,3,32940
Surinaams,1,Surinaams,1,121760
Surinaams,1,Surinaams,2,54030
Surinaams,1,Surinaams,3,10530
Surinaams,1,Turks,1,36580
Surinaams,1,Turks,2,10350
Surinaams,1,Turks,3,3530
Surinaams,2,Autochtoon,1,45430
Surinaams,2,Autochtoon,2,172910
Surinaams,2,Autochtoon,3,184760
Surinaams,2,Marokkaans,1,26200
Surinaams,2,Marokkaans,2,52640
Surinaams,2,Marokkaans,3,13510
Surinaams,2,Overig,1,71260
Surinaams,2,Overig,2,155020
Surinaams,2,Overig,3,87400
Surinaams,2,Surinaams,1,54160
Surinaams,2,Surinaams,2,125110
Surinaams,2,Surinaams,3,32820
Surinaams,2,Turks,1,12250
Surinaams,2,Turks,2,25960
Surinaams,2,Turks,3,8030
Surinaams,3,Autochtoon,1,10780
Surinaams,3,Autochtoon,2,49180
Surinaams,3,Autochtoon,3,156530
Surinaams,3,Marokkaans,1,4510
Surinaams,3,Marokkaans,2,12680
Surinaams,3,Marokkaans,3,10630
Surinaams,3,Overig,1,12050
Surinaams,3,Overig,2,34900
Surinaams,3,Overig,3,66630
Surinaams,3,Surinaams,1,10560
Surinaams,3,Surinaams,2,32570
Surinaams,3,Surinaams,3,22750
Surinaams,3,Turks,1,2120
Surinaams,3,Turks,2,5810
Surinaams,3,Turks,3,5740
Turks,1,Autochtoon,1,99090
Turks,1,Autochtoon,2,25130
Turks,1,Autochtoon,3,24640
Turks,1,Marokkaans,1,162460
Turks,1,Marokkaans,2,23030
