geslacht_src,etngrp_src,geslacht_dst,etngrp_dst,n
Man,Autochtoon,Man,Autochtoon,1811380
Man,Autochtoon,Man,Marokkaans,209060
Man,Autochtoon,Man,Overig,928810
Man,Autochtoon,Man,Surinaams,191840
Man,Autochtoon,Man,Turks,110540
Man,Autochtoon,Vrouw,Autochtoon,1743640
Man,Autochtoon,Vrouw,Marokkaans,166000
Man,Autochtoon,Vrouw,Overig,874400
Man,Autochtoon,Vrouw,Surinaams,200870
Man,Autochtoon,Vrouw,Turks,75770
Man,Marokkaans,Man,Autochtoon,213180
Man,Marokkaans,Man,Marokkaans,173000
Man,Marokkaans,Man,Overig,184700
Man,Marokkaans,Man,Surinaams,62380
Man,Marokkaans,Man,Turks,79550
Man,Marokkaans,Vrouw,Autochtoon,172960
Man,Marokkaans,Vrouw,Marokkaans,138700
Man,Marokkaans,Vrouw,Overig,147640
Man,Marokkaans,Vrouw,Surinaams,49020
Man,Marokkaans,Vrouw,Turks,60570
Man,Overig,Man,Autochtoon,937020
Man,Overig,Man,Marokkaans,183990
Man,Overig,Man,Overig,1121490
Man,Overig,Man,Surinaams,173910
Man,Overig,Man,Turks,94780
Man,Overig,Vrouw,Autochtoon,827880
Man,Overig,Vrouw,Marokkaans,141250
Man,Overig,Vrouw,Overig,996370
Man,Overig,Vrouw,Surinaams,159070
Man,Overig,Vrouw,Turks,65230
Man,Surinaams,Man,Autochtoon,201220
Man,Surinaams,Man,Marokkaans,63290
Man,Surinaams,Man,Overig,187790
Man,Surinaams,Man,Surinaams,107650
Man,Surinaams,Man,Turks,36160
Man,Surinaams,Vrouw,Autochtoon,161570
Man,Surinaams,Vrouw,Marokkaans,38820
Man,Surinaams,Vrouw,Overig,150520
Man,Surinaams,Vrouw,Surinaams,85510
Man,Surinaams,Vrouw,Turks,16890
Man,Turks,Man,Autochtoon,117350
Man,Turks,Man,Marokkaans,80410
Man,Turks,Man,Overig,97400
Man,Turks,Man,Surinaams,34760
Man,Turks,Man,Turks,73640
Man,Turks,Vrouw,Autochtoon,88670
Man,Turks,Vrouw,Marokkaans,55800
Man,Turks,Vrouw,Overig,83640
Man,Turks,Vrouw,Surinaams,22520
Man,Turks,Vrouw,Turks,40700
Vrouw,Autochtoon,Man,Autochtoon,1727600
Vrouw,Autochtoon,Man,Marokkaans,169820
Vrouw,Autochtoon,Man,Overig,815450
Vrouw,Autochtoon,Man,Surinaams,153400
Vrouw,Autochtoon,Man,Turks,83640
Vrouw,Autochtoon,Vrouw,Autochtoon,2556150
Vrouw,Autochtoon,Vrouw,Marokkaans,240160
Vrouw,Autochtoon,Vrouw,Overig,1099960
Vrouw,Autochtoon,Vrouw,Surinaams,287320
Vrouw,Autochtoon,Vrouw,Turks,112700
Vrouw,Marokkaans,Man,Autochtoon,171050
Vrouw,Marokkaans,Man,Marokkaans,139550
Vrouw,Marokkaans,Man,Overig,140830
Vrouw,Marokkaans,Man,Surinaams,38570
Vrouw,Marokkaans,Man,Turks,56080
Vrouw,Marokkaans,Vrouw,Autochtoon,246300
Vrouw,Marokkaans,Vrouw,Marokkaans,216360
Vrouw,Marokkaans,Vrouw,Overig,184920
Vrouw,Marokkaans,Vrouw,Surinaams,74890
Vrouw,Marokkaans,Vrouw,Turks,88660
Vrouw,Overig,Man,Autochtoon,877280
Vrouw,Overig,Man,Marokkaans,147730
Vrouw,Overig,Man,Overig,998270
Vrouw,Overig,Man,Surinaams,144210
Vrouw,Overig,Man,Turks,81600
Vrouw,Overig,Vrouw,Autochtoon,1115820
Vrouw,Overig,Vrouw,Marokkaans,184730
Vrouw,Overig,Vrouw,Overig,858250
Vrouw,Overig,Vrouw,Surinaams,214490
Vrouw,Overig,Vrouw,Turks,89180
Vrouw,Surinaams,Man,Autochtoon,211530
Vrouw,Surinaams,Man,Marokkaans,50680
Vrouw,Surinaams,Man,Overig,166910
Vrouw,Surinaams,Man,Surinaams,86600
Vrouw,Surinaams,Man,Turks,22940
Vrouw,Surinaams,Vrouw,Autochtoon,303410
Vrouw,Surinaams,Vrouw,Marokkaans,77250
Vrouw,Surinaams,Vrouw,Overig,222390
Vrouw,Surinaams,Vrouw,Surinaams,184530
Vrouw,Surinaams,Vrouw,Turks,34380
Vrouw,Turks,Man,Autochtoon,78530
Vrouw,Turks,Man,Marokkaans,61030
Vrouw,Turks,Man,Overig,64900
Vrouw,Turks,Man,Surinaams,16560
Vrouw,Turks,Man,Turks,42700
Vrouw,Turks,Vrouw,Autochtoon,117300
Vrouw,Turks,Vrouw,Marokkaans,89170
Vrouw,Turks,Vrouw,Overig,89920
Vrouw,Turks,Vrouw,Surinaams,34010
Vrouw,Turks,Vrouw,Turks,53430
