geslacht_src,etngrp_src,oplniv_src,geslacht_dst,etngrp_dst,oplniv_dst,n
Man,Autochtoon,1,Man,Autochtoon,1,289070
Man,Autochtoon,1,Man,Autochtoon,2,47720
Man,Autochtoon,1,Man,Autochtoon,3,37090
Man,Autochtoon,1,Man,Marokkaans,1,68900
Man,Autochtoon,1,Man,Marokkaans,2,11250
Man,Autochtoon,1,Man,Marokkaans,3,2190
Man,Autochtoon,1,Man,Overig,1,175790
Man,Autochtoon,1,Man,Overig,2,25210
Man,Autochtoon,1,Man,Overig,3,16710
Man,Autochtoon,1,Man,Surinaams,1,39900
Man,Autochtoon,1,Man,Surinaams,2,12360
Man,Autochtoon,1,Man,Surinaams,3,2700
Man,Autochtoon,1,Man,Turks,1,30080
Man,Autochtoon,1,Man,Turks,2,7040
Man,Autochtoon,1,Man,Turks,3,1810
Man,Autochtoon,1,Vrouw,Autochtoon,1,262580
Man,Autochtoon,1,Vrouw,Autochtoon,2,27350
Man,Autochtoon,1,Vrouw,Autochtoon,3,36110
Man,Autochtoon,1,Vrouw,Marokkaans,1,57450
Man,Autochtoon,1,Vrouw,Marokkaans,2,7110
Man,Autochtoon,1,Vrouw,Marokkaans,3,2410
Man,Autochtoon,1,Vrouw,Overig,1,153990
Man,Autochtoon,1,Vrouw,Overig,2,27890
Man,Autochtoon,1,Vrouw,Overig,3,14680
Man,Autochtoon,1,Vrouw,Surinaams,1,33610
Man,Autochtoon,1,Vrouw,Surinaams,2,11210
Man,Autochtoon,1,Vrouw,Surinaams,3,2980
Man,Autochtoon,1,Vrouw,Turks,1,22730
Man,Autochtoon,1,Vrouw,Turks,2,3620
Man,Autochtoon,1,Vrouw,Turks,3,1280
Man,Autochtoon,2,Man,Autochtoon,1,48350
Man,Autochtoon,2,Man,Autochtoon,2,229670
Man,Autochtoon,2,Man,Autochtoon,3,178040
Man,Autochtoon,2,Man,Marokkaans,1,17950
Man,Autochtoon,2,Man,Marokkaans,2,38620
